# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      26.080206     0.74887304      19.955441      0.5748558      35.015416      1.0083897
     0.31415927       26.90151     0.75811265      20.629796     0.58332955      36.055993      1.0197557
     0.62831853      29.078976     0.78467743      22.316622     0.60350286      38.952676      1.0574298
      0.9424778      28.904342     0.78088289      22.274027      0.6040372      38.570581      1.0461111
      1.2566371      33.423649     0.85047764      25.918233     0.66116674       44.33281      1.1340448
      1.5707963      41.016231     0.93003616      32.219954     0.73389673       53.71216      1.2241113
      1.8849556      54.428321      1.1119255      43.452971     0.88799261      70.090205      1.4451135
      2.1991149      83.545504      1.3716963      67.864989      1.1143507      105.59231      1.7527462
      2.5132741      167.73692      1.9580308      136.83816      1.5995153      210.95105      2.4822207
      2.8274334      411.42676      3.3784953      329.61978      2.7084872      527.70047      4.3589832
      3.1415927      411.42676      3.3784953      329.61978      2.7084872      527.70047      4.3589832
