#total-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      39154.323      1.2487733      32848.701      1.0900119      47473.671      1.9928494
              1      39154.323      1.2487733      32848.701      1.0900119      47473.671      1.9928494
