# dy_bbZ-j1-ptj        central        num_err    min (scale)        num_err    max (scale)        num_err
# 20
             -8      1.2286933     0.29286767       0.999975     0.23805145      1.5442433     0.37347675
           -7.9      1.3152667     0.29408786      1.0424983     0.23404849        1.70447     0.38290981
           -7.8         1.6691     0.37302099      1.3328267     0.29358816       2.147845     0.49053785
           -7.7       2.782315     0.63014518       2.166475     0.47747506      3.6711517     0.85692516
           -7.6      2.6305333     0.41589992      2.1239217     0.33718429      3.3414333     0.53090408
           -7.5       2.534495     0.41186555      2.0635217     0.33718087       3.187025     0.52291422
           -7.4        3.64072     0.49796441       2.884825     0.39591727      4.7168767     0.64803644
           -7.3      5.4003233     0.66054706      4.3188383     0.52218483      6.9246967     0.86446364
           -7.2      5.8594733     0.62109746        4.77857     0.50857049      7.3612883      0.7845106
           -7.1       6.979045     0.72587056      5.5084634     0.56909958      9.0902333     0.95999455
             -7      8.4348933     0.76089061      6.7751783     0.61227839      10.775368     0.97986778
           -6.9      9.7568833     0.81135507      7.7939083     0.64884865      12.543768      1.0522547
           -6.8      11.891037     0.93288161        9.77567     0.76264793      14.806425      1.1844552
           -6.7      13.245958     0.95921359      10.905057     0.79046379      16.476135      1.2050305
           -6.6      16.431668      1.0445122      13.281675     0.84711798      20.841993      1.3326068
           -6.5       20.05201      1.1671314      16.256678     0.94934969      25.345902      1.4844189
           -6.4      20.774447      1.1984291      16.705993     0.96614771        26.5043      1.5427586
           -6.3       28.91728      1.4161714      23.195558      1.1379782      36.987665      1.8289558
           -6.2       32.61927      1.5311975      26.623738      1.2501521      40.961352      1.9435865
           -6.1      37.009532      1.5864915      30.088697      1.2920531      46.659312      2.0192691
             -6       43.09932      1.7082652      34.769797      1.3845246       54.77762      2.1808682
           -5.9      48.797048      1.8629686      39.382767      1.5025252      61.990462      2.3903894
           -5.8      53.135585      1.9120991      43.095408      1.5511775      67.122518      2.4375188
           -5.7      66.453857      2.1177527      53.890213       1.719701      83.986846      2.6995682
           -5.6      75.748467      2.2588216      61.630908      1.8435217      95.383568       2.861697
           -5.5      85.911237      2.3980198      69.592207        1.95116      108.71602      3.0476552
           -5.4      98.597597      2.5952702       80.21742      2.1139094      124.17124      3.2969322
           -5.3      105.30306      2.6478935      85.683007      2.1624528      132.56559      3.3525697
           -5.2      124.08531      2.8984509      100.63359      2.3577539      156.79059      3.6866936
           -5.1      144.21664      3.0908045      117.44316      2.5277192       181.4065      3.9114827
             -5      160.44507      4.2781759       130.8114      3.5124469      201.53923       5.347975
           -4.9      183.84114      3.4945286      149.94097      2.8589632      230.82121      4.4139995
           -4.8      201.09595      3.6481181      164.91507       3.001734      250.97185      4.5785878
           -4.7      224.55065      3.8675522      183.90817      3.1776607      280.68858      4.8680922
           -4.6      259.25137      4.5164372      211.90102      3.6708723      324.73725      5.7389779
           -4.5      277.64577      4.2875107      226.98652      3.5174267      347.66289      5.3978679
           -4.4      312.65405      4.5694678      256.52123      3.7617767      389.97084      5.7423653
           -4.3      349.08488       4.810448      286.51001      3.9583726      435.28382      6.0414115
           -4.2      380.51921       5.028672      312.34509       4.128211      474.18181      6.3164004
           -4.1      424.21508      5.2989014      348.25942      4.3532711      527.30862        6.62059
             -4      465.48857      5.7629547       382.6409      4.7293127      577.76715      7.2246841
           -3.9      513.45895       6.031276      421.50977       4.937884       638.3353      7.5673052
           -3.8      569.05644      6.2412914      466.74637      5.1201449      708.23679      7.8078805
           -3.7      619.50477      8.1834048      508.48409       6.574465      770.44136      10.477641
           -3.6      685.30256      6.8518866      561.87658      5.6115049      853.40003      8.5934236
           -3.5      732.87249      6.9856424      600.67848      5.7288581      913.03489      8.7495221
           -3.4      806.27112      7.3757422      661.19908      6.0506932      1003.9201       9.245799
           -3.3      889.08511       7.908893      728.64533      6.4656141      1108.0025      9.9407336
           -3.2      957.82017      8.3371842      785.93935      6.8155521      1191.9986      10.495311
           -3.1      1018.7011       8.533518       835.8137        6.97735      1267.9679      10.728182
             -3       1110.411      8.6078608      911.99368      7.0761718      1380.6283      10.774257
           -2.9      1191.7533      9.1141091      978.12542      7.4720891       1482.954      11.452483
           -2.8      1285.9811      9.7954483      1055.9925      7.9920112      1599.4391      12.348374
           -2.7      1362.4639      9.7553295      1119.0767      8.0008395      1694.1067      12.222325
           -2.6      1437.7144      9.7950973      1181.0959      8.0470514      1787.4808      12.257597
           -2.5      1536.4293      10.163376      1263.3694      8.3567609      1908.2877      12.718467
           -2.4       1651.325      10.632529      1358.9355      8.8650126      2049.0593      13.560376
           -2.3      1743.9762      10.794344       1433.915      8.8842118      2166.5697      13.487162
           -2.2      1852.7368      11.104762      1523.6241      9.1362026      2301.3109      13.877041
           -2.1      1932.8075      11.311606       1590.954      9.3192051      2398.3133      14.119211
             -2      2018.0138      11.542205      1663.0892      9.5233475      2500.5583      14.388533
           -1.9      2139.9794      11.931537       1766.303       10.08594      2646.7767      15.383349
           -1.8      2224.8296      12.142147      1835.1207       10.02824      2754.3164      15.128201
           -1.7      2316.5266      12.438482      1909.9721      10.264131      2869.4967      15.498753
           -1.6      2413.5113      12.639592      1993.0268      10.451496      2984.1781      15.727329
           -1.5      2501.0653      12.841643      2067.4876      10.640059      3088.7648      15.988032
           -1.4      2594.2786      13.050174      2146.2495      10.813894      3201.0642      16.213779
           -1.3      2716.7874      13.399654      2249.9314      11.114533      3348.0351      16.619519
           -1.2      2783.4005       13.53074      2306.2427      11.229868      3428.5102      16.769196
           -1.1      2829.5169      13.637892       2347.484      11.344393      3479.8019      16.894008
             -1       2898.157      13.837312      2406.1957      11.513738      3561.1657      17.170495
           -0.9      3003.6723      14.041519      2494.2302      11.682465      3690.2886      17.339298
           -0.8      3037.1576      14.124859      2525.4047      11.761467      3725.4641      17.432911
           -0.7      3054.5669      14.159616      2543.3013      11.847347      3740.6554      17.601039
           -0.6      3116.8061      14.291482       2595.363      11.919343      3816.6431      17.603574
           -0.5      3106.4021       14.26891      2589.1688      11.929739       3799.535      17.661286
           -0.4      3058.4588      14.166212      2547.8557      11.823606      3743.4031      17.468241
           -0.3      3018.6008      14.065624      2515.4013      11.737213      3693.2813       17.31428
           -0.2      3003.4988      14.031403      2504.2324      11.715475      3672.1816      17.263351
           -0.1      2997.8314      14.048367       2499.446      11.723143       3665.336      17.287847
              0      3006.1304      14.048407      2506.6932      11.728027      3674.9345      17.282883
            0.1      3020.8773      14.072379      2521.4137        11.7902      3688.5953      17.378048
            0.2      3052.8307      14.167643      2543.4436      11.817051      3735.9572      17.450058
            0.3      3063.7194      14.170479      2552.5491      11.830438      3749.3233      17.455434
            0.4      3096.2131      15.129932      2580.7918       12.52854      3786.9392        18.8476
            0.5      3066.0611      14.172243       2553.081      11.821941      3754.5372      17.467139
            0.6      3076.7635      14.192933      2558.5259      11.823275      3773.8779      17.501207
            0.7      3000.3385      14.039945      2492.9939      11.685856      3683.5535      17.345192
            0.8      2973.8872      13.982197       2470.074      11.627793      3652.7751       17.27418
            0.9      2921.9245      13.894959      2426.4916      11.549829      3589.4933      17.198252
              1      2852.1577        13.6777      2365.3536      11.360214      3509.4044      16.928119
            1.1      2758.4087       13.44763      2284.0497       11.15766      3400.3994      16.676196
            1.2      2715.8449      13.464373      2248.8057       11.15675      3347.7203      16.729488
            1.3      2600.4749      13.071493       2151.562      10.835663      3208.3101      16.260518
            1.4      2546.2147      12.960775      2106.5782      10.749799      3141.3332      16.139624
            1.5      2419.4042       12.63221      1997.9071       10.44791      2991.4621      15.707935
            1.6      2338.1335       12.43334       1929.461      10.269945      2893.3028      15.481018
            1.7      2224.4508       12.17352      1834.3558       10.04471      2754.7735      15.176687
            1.8        2140.93      11.898229      1766.0613      9.8262389      2650.0419      14.830832
            1.9      2025.0051      11.563554      1668.5791      9.5401259      2509.8542      14.410111
              2      1952.9352       11.39965      1607.5223      9.3906549      2423.2949      14.223696
            2.1      1843.9521       11.10057      1517.7471      9.1368453      2287.9911      13.875113
            2.2      1740.3887      10.836351      1431.5615      8.9139688      2160.9584      13.571318
            2.3      1655.0046       10.52223      1360.4801      8.6507918      2056.3965      13.160371
            2.4       1544.844      10.131817       1270.312      8.3463476      1918.6372      12.672031
            2.5      1468.4293      9.9336471      1206.7358       8.173042      1825.0851      12.459909
            2.6      1366.4596      9.7320339      1122.1393      7.9805516      1699.5494      12.195708
            2.7      1293.4853      9.3339359      1062.3835      7.6664478      1608.2493      11.711854
            2.8       1186.532      9.1058925      974.78004      7.4711329      1474.7896       11.45699
            2.9      1120.0736      8.7439473      919.52416      7.1754208       1393.314      10.956611
              3      1024.8005      8.2718149      841.14904      6.7922894      1275.0123      10.349936
            3.1      946.14375       7.986626      776.04853       6.548623      1177.9531      10.003897
            3.2      898.08579      7.7891836      737.46569      6.3955581      1116.4548      9.7648142
            3.3      818.20391      7.4545641      671.88911      6.1245439      1017.1589       9.332868
            3.4      740.47996      7.3017424       607.1296      5.9638856      922.11492      9.1867685
            3.5      687.45964      6.7629565      564.33025      5.5565076      854.85871       8.463459
            3.6      619.67331      6.5210951       508.3957      5.3415521      771.03432      8.1727484
            3.7      560.46899      6.1071832      460.34647      5.0177465      696.38084       7.643262
            3.8      522.06468      5.9572788      428.23037      4.8880015      649.69937      7.4459172
            3.9       461.8965       5.725187       378.9405      4.6859329      574.59501       7.181711
