#          y_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      944.55897      7.9691742      790.82033       6.671686      1147.3839       9.732133
           -4.9      1083.6893      8.5095909        906.836      7.1210292      1317.3196      10.396148
           -4.8      1237.3707      9.0370368      1035.8001      7.5696253      1503.3983       11.03892
           -4.7      1417.9654      9.7345579      1187.5464      8.1551081      1721.7944        11.9009
           -4.6      1607.1072      10.588533      1344.8807       8.851701      1953.4836      12.942647
           -4.5      1762.5926      10.808957      1476.2474      9.0556142      2140.2627      13.198269
           -4.4      1979.2078      11.429707      1657.4322      9.5769526      2403.7386      13.947809
           -4.3      2171.5498      12.071419      1819.3807      10.115095      2635.7424      14.743492
           -4.2      2391.4564      12.625897      2003.6994      10.574878      2902.5461       15.41434
           -4.1      2586.3026      13.118906      2168.8556      11.011518      3135.6879      16.029834
             -4      2761.0033      13.483092      2316.6785      11.363703      3344.9642      16.608744
           -3.9      2972.5759      14.017309      2493.1732      11.764392      3603.3372      17.116006
           -3.8      3161.8635      14.571234       2650.484       12.20847      3835.7189      17.785715
           -3.7       3303.179      14.792551      2770.1664      12.421224      4004.8939      18.068829
           -3.6      3484.8783       15.14172      2923.3976      12.793008      4223.8018      18.667692
           -3.5      3618.8066      15.538985      3034.1581      13.044242      4389.2383      19.094501
           -3.4      3727.0461      15.658636      3125.3369      13.166266      4519.8326       19.23223
           -3.3      3842.6184      15.895634      3221.2034       13.33635      4662.0168      19.460512
           -3.2       3948.737      16.089969      3308.0863      13.491504      4794.8327      19.627919
           -3.1       4034.208      16.272401       3382.222      13.661057      4894.0644      19.899406
             -3      4114.9617      16.437287      3450.4175      13.791523      4991.3592      20.062171
           -2.9      4193.3759      16.580378      3515.5427      13.981803      5087.7784      20.476145
           -2.8      4244.1298      16.691769      3557.6007      14.008844      5150.5311       20.38595
           -2.7      4320.1558      16.950104      3621.5429      14.202956      5242.5543      20.740837
           -2.6        4385.12      17.019519      3675.6927      14.268336      5322.3013      20.829517
           -2.5      4425.4874      17.083193      3709.9633      14.335993      5370.4047      20.897556
           -2.4      4465.5303      17.098664      3744.4247       14.35583      5417.5978      20.885707
           -2.3       4496.056      17.249785      3769.2915      14.457945      5456.3898      21.122754
