#    y_j1-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6    0.065763333    0.065760045    0.056069997    0.056067193       0.077755    0.077751112
           -4.5      5.6556467      0.6168804      4.7184833     0.51532166      6.9093433     0.75750314
           -4.4        8.68076      0.7555191      7.2218284     0.62981302      10.644417     0.92919652
           -4.3      14.928277     0.99944971      12.404442     0.82871127      18.320922       1.237181
           -4.2       21.30732      1.1836516      17.609683     0.98039944      26.327903       1.467234
           -4.1      31.126963      1.4312439       25.56569      1.1778813      38.746432      1.7867301
             -4      44.938818      1.7217646      36.975058      1.4190688       55.81448      2.1449554
           -3.9      61.278512      2.0145584      50.527208      1.6636932      75.923175      2.5052956
           -3.8      76.592557      2.2550334      63.240837      1.8620626      94.725463      2.8082859
           -3.7      98.406432      2.5853624      81.367077      2.1369224      121.49817      3.2158131
           -3.6      125.82429      2.8824345      103.95346      2.3886736      155.50405      3.5818002
           -3.5      151.63548      3.1591237      124.61708      2.6016189      188.56679      3.9424534
           -3.4      182.54437      3.9337124      150.22684      3.2074569       226.6215      4.9590884
           -3.3      217.44711      3.9187402       178.3861       3.206716      270.95497      4.9284074
           -3.2      252.91513      4.0912918      208.08792      3.3669188      314.05693      5.1228841
           -3.1      283.30833      4.3306821      233.15077      3.5669782      351.67073      5.4093982
             -3      322.90638      4.6356905      265.25401       3.812263      401.69779      5.8001939
           -2.9      347.07037      4.7947542      286.00243      3.9968973      430.14037      6.1282361
           -2.8      396.41193      5.1340855      326.05737      4.2481634      492.40502      6.4890839
           -2.7      436.02012      5.3935223      357.68897      4.4266843      543.34309      6.7608184
           -2.6      477.20282      5.6923336      391.35135      4.6686625      594.76206      7.1417118
           -2.5      520.72678      5.9284296      426.80281       4.862153      649.49787       7.441003
           -2.4       541.0408      6.0254354      443.58887       4.940541      674.54865      7.5638838
           -2.3      583.66383      6.2313877      478.55225      5.1131475      727.68018      7.8166965
           -2.2      619.36978      6.4311155      506.91061       5.266578      773.88594      8.0809778
           -2.1      658.62335      6.6506809      538.41175      5.4419026      823.93492      8.3655598
             -2      686.60305      6.7952887      562.14131      5.5665956      857.42169      8.5383141
           -1.9       718.5566      6.9008159      588.31859      5.6573418       897.3658      8.6642096
           -1.8      734.26675      6.9807502      601.24376      5.7222612      916.81842      8.7687422
           -1.7      785.36886      9.1180306      642.68835      7.3005871      981.35784      11.737841
           -1.6      792.45095      7.2804663      648.65862      5.9664481      989.83824      9.1400462
           -1.5       811.3856      7.3592514      664.56617       6.038522      1012.7122      9.2679797
           -1.4      844.64061      7.5033971      691.61168      6.1806426       1054.589      9.4742472
           -1.3      836.03936      7.4558546      684.34106      6.1114482      1044.2888       9.358867
           -1.2      875.21497      7.7020931      715.85118      6.3027293      1094.2324      9.6968911
           -1.1      886.20973      7.6663859       725.7012      6.2882206      1106.3614      9.6223121
             -1      909.08111      8.1985614       743.3111      6.6780755      1136.9248      10.358943
           -0.9      923.66863      8.0942879      755.47326      6.6146194      1154.7309      10.203218
           -0.8      918.87725      7.9936454      751.75724      6.5357254      1148.3397      10.065134
           -0.7      936.70424      7.8842321      766.94523       6.463631      1169.6065      9.8992756
           -0.6      943.55588      7.9650655      771.84404      6.5192506      1179.4248      10.016783
           -0.5      955.67937      7.9664177       781.9745      6.5298207      1194.2063      10.015948
           -0.4      962.67425      8.1140667      787.61163      6.6366731      1203.1238      10.209895
           -0.3      971.59834      8.0812351       795.4074      6.6298011      1213.3436      10.161115
           -0.2      976.32478      8.1426063      798.28223      6.6585827      1220.9607      10.245719
           -0.1      975.65825      8.1547879      797.43986      6.6632779      1220.7836      10.271972
              0      980.84089      8.1213792      802.53761      6.6741549      1225.7077      10.243448
            0.1      971.58781      8.0800289      794.79182      6.6141027      1214.4224        10.1546
            0.2       975.8047      9.5116706      799.11363      7.7393941      1218.0428      12.332201
            0.3      958.28469      8.0591171      783.81041      6.5899376      1197.9701       10.14914
            0.4      953.74525      8.0367075      779.61171      6.5712122      1193.1699      10.123027
            0.5      962.25773      8.0302424      786.57266       6.570093      1203.8346      10.109443
            0.6      945.40905      8.1346178      773.18834      6.6514589       1182.057      10.243338
