#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      7.4842305      0.3451893      6.0590512     0.27993404      9.4367723     0.43661369
           -4.9      19.190006     0.55367422      15.509447     0.44702003      24.166558      0.7038323
           -4.8      45.892575      0.8597551      37.417065     0.70055087      57.230147      1.0819282
           -4.7      95.182453      1.2313054      78.263378      1.0162778      117.57575      1.5353495
           -4.6      181.19144      1.7079182      149.68454      1.4113698       223.2128       2.112737
           -4.5      308.07754      2.2223577      255.23983        1.84086       379.1157      2.7460933
           -4.4      488.17982      2.8206422      404.80856      2.3375402      600.08013      3.4836345
           -4.3      712.40248      3.3877233      591.44071      2.8124386       874.4291       4.175616
           -4.2      979.55906      3.9595711      814.31371      3.2919891      1200.4011      4.8779601
           -4.1      1291.8003      4.5426103      1074.0651      3.7780598      1582.7242      5.5884008
             -4      1630.8407      5.1185999      1357.3857      4.2611807      1995.5564      6.2959947
           -3.9      1986.9924      5.6545911      1654.6201      4.7090155      2429.8929      6.9511547
           -3.8      2341.7145      6.1524785      1951.4596      5.1370818      2861.1317       7.587407
           -3.7      2700.8912      6.6516803      2251.2516      5.5417442        3299.14      8.1754431
           -3.6      3022.7211       6.946183      2521.0365       5.798594      3689.5825      8.5426924
           -3.5       3351.149      7.3756337      2795.8645      6.1485072      4088.8887       9.073511
           -3.4      3649.2706      7.6145959      3045.8018      6.3630224      4450.6782      9.3516604
           -3.3      3936.2215       7.936311      3286.2699      6.6360668      4799.0273      9.7651677
           -3.2      4184.1995      8.1268082      3493.8839       6.794867      5100.5031      9.9667123
           -3.1       4400.022      8.3641602      3675.7762      6.9950604      5360.6511      10.268587
             -3      4607.6408      8.5321501      3851.3507      7.1368789      5610.0834      10.451348
           -2.9      4776.6893      8.6877182      3993.8379      7.2744793      5813.8823      10.652695
           -2.8      4903.4299      8.7989063       4101.741      7.3905528      5964.9353       10.84352
           -2.7      5048.6165      8.9216561      4223.5252      7.4694843      6141.2067      10.921017
           -2.6      5139.9443       9.003564      4302.2049      7.5501614      6248.3386      11.051445
           -2.5      5210.0173      9.0728986       4360.942        7.60162      6333.5432      11.110639
           -2.4      5306.2676      9.1823076      4444.3353      7.6937211      6445.7344      11.250124
           -2.3      5341.4574      9.1665024      4476.5572      7.6889496      6483.7467      11.209029
           -2.2      5409.3053      9.2412419      4533.8615      7.7535439      6565.6924      11.309362
           -2.1      5425.8655      9.2510167      4549.3402      7.7605676      6583.0958      11.303106
             -2      5454.2806      9.3930526      4576.2541      7.8784767      6612.2231      11.508224
           -1.9      5487.2058      9.3367072      4605.6471      7.8378201      6649.1858      11.419327
           -1.8      5509.4035      9.3858773       4625.931      7.8794478      6673.3721      11.478317
           -1.7      5524.3556      9.3911409      4638.2652      7.8877217      6692.2174      11.465643
           -1.6      5518.1025       9.393488      4636.0224      7.8898766      6679.2991      11.473581
           -1.5      5522.3822      9.3672362      4640.7625      7.8730429      6682.7414      11.441096
           -1.4      5536.1869      9.3504769      4652.7427      7.8628947      6699.0489      11.409974
           -1.3      5545.2663      9.3838839       4662.268      7.8980033      6706.7337      11.465157
           -1.2      5543.8679      9.3740036      4662.4417      7.8864872      6702.7681       11.43561
           -1.1      5538.1554      9.4352907      4657.5361      7.9249495      6696.2868      11.527249
             -1      5531.4537      9.3427628      4655.4301      7.8878281      6681.8127      11.444546
           -0.9      5540.4583      9.3592594      4663.8487      7.8907314      6691.3897      11.435377
           -0.8      5552.3509      9.4189963      4674.7243      7.9352202      6704.2978      11.513223
           -0.7      5532.8836      9.3424599      4657.6014       7.866639      6682.3461      11.380136
           -0.6      5545.5331      9.3796584      4668.7007      7.9219298      6696.7636      11.489971
           -0.5      5541.8696      9.4282508      4666.9085      7.9347484      6690.2429      11.502957
           -0.4      5525.6156       9.469952      4654.1365      7.9846209      6669.0224      11.623398
           -0.3      5512.4695       9.331542      4643.2708      7.8667204      6652.7469      11.375364
           -0.2      5533.5413      9.3747489      4661.0618      7.8984862      6678.2456      11.424151
           -0.1      5531.4534      9.5856079      4659.6833      8.0723687      6674.9395      11.782188
              0      5537.3223      9.3370784      4664.3165      7.8689198      6682.6769      11.361465
            0.1      5526.0093      9.3410917      4654.5927      7.8716343      6669.3776      11.379536
            0.2      5518.8087      9.4782778      4648.3534      7.9684303       6660.974      11.579128
            0.3      5521.2284      9.3420503      4649.6075      7.8911319      6665.1229      11.444774
            0.4      5521.1913       9.368966      4648.5926      7.8885789      6666.9553      11.424415
            0.5      5530.7573      9.3537231      4657.1522      7.9068408      6677.4157      11.475236
            0.6      5543.9424      9.3752443      4666.6586      7.8968447      6696.1177      11.440279
            0.7      5523.7351       9.365395      4651.6689      7.8915749      6667.8795       11.41943
            0.8      5546.3227      9.4418294      4667.5392      7.9442244      6700.6963      11.530292
            0.9      5548.5946      9.4456176      4669.8323      7.9445918       6702.554       11.52576
              1      5543.4064      9.3704394      4662.8889      7.8828881      6700.9167      11.424454
            1.1      5557.7336      9.3854241      4675.5725      7.9063562      6716.8379      11.461229
            1.2      5546.1584      9.3612176      4662.8299      7.8754325      6708.2027       11.42148
            1.3       5522.877      9.4174748       4642.737      7.9145918       6680.717      11.497829
            1.4      5545.9525      9.3654451      4660.7464       7.878769      6710.9196      11.427924
            1.5      5524.0291      9.3443597      4641.0332      7.8629921      6686.5006      11.416505
            1.6      5511.0719      9.3209023      4627.9599      7.8321651      6674.6362      11.366398
            1.7      5496.9577      9.2975214      4614.8458      7.8112233      6659.4956      11.342228
            1.8      5484.9224      9.2897317      4603.4048      7.8065349       6647.013      11.336494
            1.9      5459.7492      9.2711409      4579.9126      7.7907366        6620.52      11.331772
              2      5429.7153       9.343411      4552.8496      7.8328308      6587.3235      11.421401
            2.1      5401.3394       9.215011      4527.4976      7.7360158      6555.3469      11.274737
            2.2      5346.3393      9.1871838      4480.6819      7.7329965      6489.6542      11.308617
            2.3      5279.5934      9.1300376      4422.6629      7.6623628      6412.2127       11.17743
            2.4      5225.8132      9.0652898      4375.2974       7.600011      6350.7143      11.091362
            2.5      5129.7853      8.9798345      4293.4149      7.5257843      6236.6295      10.987264
            2.6        5039.24      8.9127528      4215.8868      7.4642488      6129.4158      10.902456
            2.7      4904.6132      8.7982902      4101.4008      7.3655826      5968.7521      10.767426
            2.8      4762.9451      8.6787106      3982.6719      7.2670466      5796.6489      10.641767
            2.9      4605.3047      8.5225176      3848.9777      7.1318849      5607.9661      10.437641
              3      4406.9857      8.3742606      3681.8302      7.0016617      5368.8086      10.263432
            3.1      4174.9329      8.1556394      3487.4296      6.8212474      5086.7927       9.988884
            3.2      3943.6892      7.8934946       3293.519      6.6600475      4806.2114      9.8299561
            3.3      3654.6903      7.6032262        3050.23      6.3518429      4457.3988      9.3202912
            3.4      3374.1728      7.3057962      2814.3546      6.1000052      4118.3518       8.956454
            3.5      3027.1796      6.9666499      2524.1049       5.815276      3696.1888      8.5565273
            3.6      2695.6315      6.6032651      2246.9112      5.5093661      3292.6277      8.1005259
            3.7      2329.8632      6.0757963      1941.5852      5.0678758      2846.6582      7.4560641
            3.8      1989.3451      5.6262013      1656.6455      4.6885027      2432.6606      6.9094806
            3.9      1623.0854      5.1143277      1351.5149      4.2608738      1984.9624      6.2828696
              4      1294.9734      4.5508508      1077.1199      3.7917983      1585.8605      5.5983993
            4.1      987.38772      3.9727162      821.14445      3.3121324      1209.4262      4.9082256
            4.2      718.68848      3.4130227      596.89824      2.8361876      881.75356      4.2027575
            4.3      485.86034      2.8156825      403.69534      2.3444431      595.76525      3.4914962
            4.4      307.33805      2.2249764       254.5107      1.8433499      378.41037      2.7500603
            4.5      178.10335      1.6829299      147.18732      1.3936572      219.40024      2.0798342
            4.6      95.467336      1.2331072      78.357622      1.0134657      118.22256      1.5365935
            4.7      44.759568     0.84311154      36.532211      0.6894062       55.75838      1.0563199
            4.8      18.360259     0.54093719      14.906391     0.44017367      23.003834     0.68506191
            4.9      6.8684394     0.32929666      5.5566194     0.26679257      8.7062273     0.41833168
              5      6.8684394     0.32929666      5.5566194     0.26679257      8.7062273     0.41833168
