# dphi_Z_bjet1-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS-1bjet
              0      260.69125      1.6974081      218.36553      1.4257032      316.86208      2.0815137
            0.6       283.2182      1.9554207      236.72244      1.6160911      345.15357       2.450277
            1.2      389.01802      2.0717509      323.68661      1.7259349      476.70114      2.5562608
            1.8      631.16654      3.2460053      525.45225      2.7057388      772.94356      4.0092123
            2.2      1090.8375      4.2274066      909.34321      3.5289162      1333.6557      5.2048398
            2.6      2022.4378       6.638756      1693.1072      5.5672847      2459.7228      8.1474716
            2.9      3836.7653      10.168574      3237.0556      8.5827146       4622.984      12.377324
          3.142      3836.7653      10.168574      3237.0556      8.5827146       4622.984      12.377324
