# total-mbbZ150        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      22378.398      3.9390966      18963.357      3.3500915      26789.273      4.8140438
              1      22378.398      3.9390966      18963.357      3.3500915      26789.273      4.8140438
