# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      73.417448     0.34173448      62.302263     0.29020928       87.80345     0.41107287
              1      229.78002     0.85865461      194.35521     0.71620658      276.01129      1.0593182
            1.6      381.95937      1.2378293      322.04005      1.0443236      460.70275      1.5059174
              2      612.98063      1.5608451      515.98015      1.3161186      740.84224      1.9022602
            2.4       935.5183      2.7265719      787.26816      2.2974382      1130.9785      3.3185355
            2.6       1315.592      3.2330637      1107.9304      2.7326075       1588.857      3.9534416
            2.8      2001.4299      3.9830721      1688.1928      3.3660645      2412.1886      4.8501953
              3      2983.3319      4.8577608      2522.9686      4.1104011      3584.2047      5.8927928
            3.2      1720.1669      3.7036372      1448.4477      3.1199813      2077.8884      4.5184341
            3.4       1101.247      2.9589452      922.21856      2.4797422      1339.1764        3.62491
            3.6      672.40293      1.6320531      558.87169       1.358778      825.01587      2.0182296
              4      382.72923       1.232031      315.02321      1.0158715      474.87892      1.5383846
            4.4      201.08347      0.7307529      162.88704     0.59356405      253.78728     0.92798452
              5      91.313193     0.49207097      72.780387     0.39331714      117.19813     0.63456128
            5.6      91.313193     0.49207097      72.780387     0.39331714      117.19813     0.63456128
