#          m_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      2304.1316     0.39859553      1937.7811      0.3359402      2785.1605     0.49275568
             20      769.60714     0.31572956      644.97298     0.26491087      934.40723      0.3872374
             30      322.81037     0.21764089      269.72298     0.18221984      393.38056     0.26757907
             40      167.18386     0.16007187       139.3331     0.13356684      204.36284     0.19706373
             50      98.343385     0.12364292      81.810991     0.10299029      120.47258     0.15241307
             60      63.439651    0.099835763      52.695645    0.083059059      77.850937      0.1233873
             70      43.396498    0.083086092      36.012125    0.069064241       53.31378     0.10291643
             80      30.834787    0.071162969       25.57027    0.058959047      37.909915     0.08816236
             90      22.862967    0.060755848      18.963023    0.050421886      28.102011    0.075211443
            100      17.309792    0.052672938      14.349377    0.043776702      21.315837    0.065277389
            110      13.561677    0.047122571      11.223796    0.039084543      16.729589    0.058539327
            120      10.697677    0.044415206      8.8317779    0.036471977      13.232342    0.055748725
            130      8.6047155    0.037153613       7.094247    0.030715073      10.658604    0.046313466
            140      7.0607024     0.03600315       5.814463    0.029580019      8.7569231    0.045124444
            150      5.7698174    0.030618569      4.7485149     0.02525569      7.1607226     0.03828644
            160      4.7695164    0.027755109      3.9153051    0.022847109       5.935737    0.034773438
            170      4.0477777    0.026530887      3.3234025    0.021786007        5.03653    0.033310566
            180      3.3945595    0.023438168      2.7829214    0.019264241      4.2301582    0.029397286
            190      2.8779255    0.021887792      2.3589346    0.017962254      3.5870165    0.027510963
            200      2.4845161    0.020292459      2.0336833    0.016636092      3.1012106    0.025525822
            210      2.1548873    0.018690226      1.7616835    0.015315196       2.693466    0.023525248
            220      1.8523164    0.017746032      1.5141007    0.014509328      2.3155482    0.022371319
            230      1.6079647    0.016155685      1.3151221     0.01324705      2.0086608      0.0203184
            240      1.4094647    0.015301029      1.1513342    0.012523313      1.7630472    0.019285525
            250      1.2617191    0.014206684      1.0318096    0.011659312      1.5762534    0.017860593
            260      1.0932443    0.013269025     0.89213258    0.010872559      1.3690758    0.016749105
            270     0.96695142    0.012636519     0.78867944    0.010322052      1.2114634    0.015960935
            280     0.87112748    0.011927183     0.71026158   0.0097494845      1.0918003    0.015057687
            290     0.76262339    0.011196583     0.62142861   0.0091439351     0.95645569    0.014149401
            300     0.66770132     0.01036001     0.54441377   0.0084710693     0.83689837    0.013078025
            310     0.63066098    0.010058149     0.51366277   0.0082209945     0.79118801    0.012696667
            320     0.55797381   0.0097837327     0.45518605   0.0079824881     0.69886918    0.012368831
            330     0.49799333   0.0089513397     0.40545464   0.0073180195     0.62505437    0.011313522
            340      0.4440648   0.0084461472     0.36196479   0.0069077588     0.55672707    0.010662403
            350     0.40171098   0.0084105288     0.32686091   0.0068355827     0.50448166    0.010676111
            360     0.36266893   0.0076847263     0.29664743   0.0063012276     0.45287285   0.0096745995
            370     0.32694586   0.0073169102     0.26581774   0.0059641842     0.41097782   0.0092737478
            380     0.31056932   0.0070709656     0.25415006   0.0058082748     0.38756845   0.0088921959
            390     0.27259019    0.006640547     0.22147222   0.0054136444     0.34292286     0.00841488
            400      0.2539376   0.0064130923     0.20553894   0.0052064563     0.32071589    0.008155131
            410     0.22646048   0.0061223021     0.18374982   0.0049802878     0.28526349   0.0077820794
            420     0.21048178   0.0058067065     0.17054519   0.0047212682     0.26547658   0.0073711328
            430     0.19506808   0.0055996847      0.1585274   0.0045666715     0.24527133   0.0070926983
            440     0.18318485   0.0088277664     0.14833836   0.0069858789     0.23113408    0.011433977
            450     0.16898834   0.0054155107     0.13634382   0.0043708818     0.21416416   0.0069245901
            460     0.14595886   0.0049508534     0.11872112   0.0040276928     0.18332392   0.0062854727
            470     0.13713084   0.0050791398     0.11146948   0.0041078659     0.17231422    0.006475704
            480     0.12736636    0.004647496     0.10388628   0.0037945473     0.15946127   0.0058757612
            490      0.1316646   0.0046517233      0.1070523   0.0037918509     0.16545354   0.0058968299
            500      0.1316646   0.0046517233      0.1070523   0.0037918509     0.16545354   0.0058968299
