#         eta_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      805.26742      3.6949079      678.85781      3.1018577      970.40271      4.5104929
           -4.9      906.07837      3.8525702       764.6319       3.254346      1090.3784      4.7138668
           -4.8      1018.1202      4.0725531      859.25759       3.432186      1225.1136        4.94251
           -4.7      1139.5068      4.3651778      962.85896      3.6839409      1369.0469       5.322236
           -4.6      1257.4461       4.528324       1062.087      3.8174558      1511.4809      5.4898347
           -4.5      1397.8022      4.7453602      1181.2678      4.0087734      1679.0261      5.7576295
           -4.4      1539.8396       4.980995      1302.1132      4.2132274      1848.1233      6.0313788
           -4.3      1694.9613      5.2304974      1433.1631      4.4301285      2034.4901      6.3481794
           -4.2      1839.5184      5.4385275      1556.2933      4.6006444      2206.3585      6.5873068
           -4.1      1998.5277      5.8269516      1690.5837       4.911817      2397.4496      7.0746751
             -4      2152.8396      6.0098486      1821.3883      5.0749273      2582.0689      7.2912271
           -3.9      2316.7576      6.0998784      1961.1818      5.1816675      2776.6043       7.420675
           -3.8      2481.9676      6.2834705      2099.6688      5.3178925      2977.1887      7.5874064
           -3.7       2653.916      6.5217514      2244.3671      5.5132599      3184.7696      7.8863037
           -3.6      2824.1425        6.71166      2387.6823      5.6755498      3390.2802      8.1090305
           -3.5      2997.8305      6.8885052      2534.8009       5.828836      3598.2632      8.3207067
           -3.4      3146.1913      7.2007906      2660.0764      6.0872361      3776.6306       8.756931
           -3.3      3312.4573      7.2964055      2798.5174      6.1607836      3980.1718      8.8432798
           -3.2      3459.5206       7.411111      2921.8206      6.2646456       4158.665      8.9743647
           -3.1      3622.0316      7.5647379       3057.964      6.4181178      4356.0727      9.2317777
             -3      3779.3121      7.7511928      3188.5497      6.5417069      4549.2845      9.3956423
           -2.9      3917.2825      7.8778542      3304.9482      6.6652167       4715.472      9.5923274
           -2.8      4082.8195       8.084104      3441.5911      6.8154514      4920.3011      9.8338106
           -2.7      4203.3663      8.1594085       3541.977      6.8813597       5067.839       9.919194
           -2.6      4344.4905      8.2968799      3657.7664      6.9973292      5243.7954      10.113064
           -2.5      4459.8037      8.4059853      3752.9501      7.0797905       5386.533      10.225788
           -2.4      4572.0094      8.5052357      3845.1994      7.1595712      5526.0061      10.359692
           -2.3       4692.883      8.6078221      3943.4047      7.2384186      5678.4848      10.484616
           -2.2      4809.0227      8.8386875      4039.0567      7.4185021      5822.5246      10.818682
           -2.1      4901.9578       8.780606      4114.0063      7.3755089      5940.8482      10.713651
             -2      4977.4786      8.8537114      4174.7649        7.43149      6037.1751      10.809631
           -1.9      5052.0873      8.9523417       4234.873      7.5055562      6132.1235      10.945861
           -1.8      5136.1841      8.9916722      4303.5518      7.5669543      6237.5516      11.068908
           -1.7      5184.3066      9.0183822      4340.4395      7.5880743      6302.1844      11.121661
           -1.6      5248.5224      9.0843552      4391.3799      7.6092004      6385.4179      11.133839
           -1.5      5292.5797      9.2374387      4425.9198      7.7197207      6443.1715      11.357237
           -1.4      5312.9563      9.1442703      4441.0332       7.653083      6471.5457      11.228497
           -1.3       5366.134      9.1912886      4482.0661      7.6883285       6542.528      11.304177
           -1.2      5359.0206      9.1809829      4475.0705      7.6790562       6535.726      11.289256
           -1.1      5362.1041      9.3382785      4476.7072      7.7902011      6541.1603      11.505178
             -1      5371.6246      9.1781965      4481.0866      7.6657644      6559.3683      11.286959
           -0.9      5384.6567       9.197914      4490.3463       7.683345      6578.1734      11.334654
           -0.8      5368.3609      9.1887537      4476.4572      7.6910546      6558.5762      11.365435
           -0.7      5347.8419      9.1716548      4456.8262      7.6491311      6538.3073      11.290022
           -0.6      5328.6109      9.1602779      4440.4897      7.6517568      6515.2454      11.318524
           -0.5      5312.8478       9.141845      4425.3941       7.622361      6499.5515      11.265364
           -0.4      5292.9464      9.1161096      4408.2764      7.6042334      6476.1202      11.246361
           -0.3      5279.3395      9.1199303      4397.0322       7.610634      6459.3434      11.273999
           -0.2      5289.7823      9.1152814      4404.0457      7.6003139      6475.2226      11.246327
           -0.1      5274.5153      9.1065689      4391.3159      7.5892427      6456.5386      11.226064
              0      5279.1794      9.1103088      4395.9531       7.624973       6460.784      11.311119
            0.1      5279.0278       9.115001      4395.1539       7.597457      6461.9632      11.239712
            0.2      5302.6497      9.1243611      4415.5926      7.6154037      6489.3808      11.272424
            0.3      5305.4641      9.1243286      4418.7538      7.6086647      6491.3164      11.245817
            0.4      5319.4389      9.2357099      4431.2252      7.6991253      6507.0202      11.414767
            0.5      5335.5452       9.163219       4446.677       7.650006      6522.9286      11.304676
            0.6      5341.7831      9.1733609      4452.0489      7.6551593      6530.2849      11.307135
            0.7      5367.0135      9.1871774      4475.4844      7.6917279      6556.8601      11.363305
            0.8      5377.0146      9.1885428       4484.465      7.6728628       6567.929      11.309184
            0.9      5363.6397      9.1994611       4475.146      7.6809034      6548.2238      11.318867
              1      5373.3157      9.1835717      4485.3737      7.6799555      6556.1673        11.3057
            1.1      5381.0654      9.2732415      4494.5143       7.741316      6560.7475      11.410658
            1.2      5356.0645      9.1723881      4475.1889      7.6757711      6527.5459      11.272868
            1.3         5324.2      9.1704521      4449.6121      7.6709311      6486.7646      11.258544
            1.4      5282.8342      9.3176138       4419.057      7.7811641      6429.0843      11.484661
            1.5      5235.9564      9.0808763      4381.2404      7.6052269      6369.4663      11.121159
            1.6      5188.8493      9.0372952      4344.3416       7.576522      6307.5828      11.069363
            1.7      5146.2375      9.1438667      4311.5317      7.6477544      6250.5931      11.211214
            1.8      5056.7341      8.9248192      4239.5214      7.4880168       6136.363      10.911273
            1.9      4977.8216      8.8962378        4175.54      7.4631214      6036.6668      10.877449
              2      4892.2089      8.7754577      4105.6018      7.3697319      5929.3851      10.705728
            2.1      4801.2029      8.7415251      4032.3851      7.3472874      5813.2355      10.667793
            2.2      4715.1158      8.6172218      3962.7421      7.2524531       5704.232      10.502062
            2.3       4583.033      8.5133193      3854.4368      7.1638559       5539.387        10.3585
            2.4      4456.5073      8.4523243      3750.6975       7.117652      5381.4641      10.319938
            2.5      4341.4572      8.3050124      3656.2548      6.9975169      5238.2039      10.092755
            2.6      4221.8542      8.1661115      3557.5865      6.8909095      5090.0337      9.9276945
            2.7      4061.4913      8.0156128      3422.6598      6.7581002      4896.3811       9.726749
            2.8      3920.2624      7.8957728      3306.0271      6.6590982      4721.7122      9.5750966
            2.9      3786.8987      7.7354714      3195.7709      6.5332149      4556.9611      9.3702338
              3       3630.551      7.5994865      3064.4042      6.4143452      4367.6661       9.204865
            3.1      3462.3976      7.4375405      2923.9129      6.2784578      4162.7474       9.004865
            3.2      3317.5949       7.354135      2802.3565      6.2057834       3987.332      8.9095424
            3.3      3152.6711      7.1146261      2664.1509      6.0096587      3787.0986      8.6082155
            3.4      2983.3621      6.8797619      2522.1146      5.8238268      3581.7299       8.325762
            3.5      2825.0367      6.7001833      2389.3196      5.6703313      3389.7302      8.1042604
            3.6      2649.9275      6.5384744      2240.7381      5.5334006      3180.4668      7.9199498
            3.7       2482.592      6.2744465      2100.1707      5.3096155      2978.0243      7.5780931
            3.8      2327.0442      6.0995584      1969.6746      5.1974075      2789.3358      7.4622914
            3.9      2163.9472      5.8866156      1830.3758      4.9825761      2596.2157      7.1198474
              4      1995.5545      5.7130579      1687.8912      4.8223894      2394.2126      6.9166003
            4.1       1834.769      5.4074544      1551.9638      4.5750651      2201.2277      6.5409493
            4.2      1689.1456      5.2033286      1428.9196      4.4867588      2026.2739      6.5286747
            4.3      1534.9859      4.9556006      1297.6892      4.1898208      1842.8913      5.9967926
            4.4      1405.1199      4.7441532      1186.9564      4.0060546      1688.7096      5.7375311
            4.5      1260.7326      4.5323287      1064.8919       3.821779      1515.3948      5.4934187
            4.6      1143.4002      4.3022747      965.76369      3.6297737      1374.4084       5.210826
            4.7      1014.8263      4.0512605      856.50706      3.4183817      1221.0847      4.9173846
            4.8      910.66896      3.8864403       768.6826      3.2707832      1095.5859      4.7259511
            4.9      804.75289       3.641324      679.02712      3.0683939      968.61848      4.4309868
              5      804.75289       3.641324      679.02712      3.0683939      968.61848      4.4309868
