#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      497.33429      5.8279171      421.42282      4.9325864      595.48631      7.0323622
           -4.9      591.69112      6.5258232      501.34039      5.5037959      708.42206      7.9076182
           -4.8      701.29291      6.9642864      593.89736      5.8808509      840.21777      8.4256971
           -4.7      806.57505      7.5148349      684.09062      6.3473853      964.41887      9.0985107
           -4.6      932.20851      7.9290222      791.20601      6.7318115      1113.5991      9.6170226
           -4.5      1031.8029      8.3035379      875.06527      7.0379385      1233.8355      9.9976803
           -4.4       1182.222      8.9182204      1003.1893      7.5709715      1412.5817      10.795214
           -4.3      1340.3842      9.4414039      1138.4572      8.0417311      1599.6252      11.398711
           -4.2      1484.0902      9.9772379      1259.2957      8.4594601      1773.3927      12.006252
           -4.1      1646.0529      10.724833      1396.7285      9.0913101      1966.7969      12.903232
             -4      1786.7025      10.924036      1515.3554       9.259456      2136.1351      13.151652
           -3.9       1971.686      11.461593      1673.3211      9.7377813      2355.3011      13.817208
           -3.8      2157.0739      13.089168      1830.0436       10.94343      2577.8867      16.060842
           -3.7        2323.59       12.47225      1968.8498      10.566357      2781.4537      15.020476
           -3.6      2501.7051      12.877754      2120.4182      10.925142      2993.4408      15.518332
           -3.5      2711.0171      13.496219      2296.2173       11.42142        3246.69       16.30584
           -3.4      2847.0254      13.939648      2409.3916      11.780583      3413.3831      16.848503
           -3.3      3057.1583      14.187235      2586.2912      12.011862      3667.1338      17.122673
           -3.2      3202.8203      14.511766      2709.2775      12.286735      3842.1984      17.525316
           -3.1       3390.005       15.27526      2869.6051      13.136216      4063.2084      19.166701
             -3      3547.0239      15.300083      3001.7576      13.087846      4252.5509      18.852607
           -2.9      3706.9444      15.583871      3129.0421      13.168292       4459.386      18.840829
           -2.8      3895.5133      16.246778      3286.2487      13.680611       4689.909      19.734487
           -2.7      4041.5126      16.305643      3411.5657      13.847022      4861.5781      19.981073
           -2.6      4221.3497      16.693151      3556.0822      14.074957      5091.5468      20.278547
           -2.5      4346.8536      16.911667      3659.9993      14.250249      5246.1211      20.561042
           -2.4      4492.8497      17.395019       3781.129      14.648669      5425.6602      21.146748
           -2.3      4663.4755      17.512816      3921.6419      14.735399      5637.3179      21.320146
           -2.2         4775.5       17.69211      4011.0725      14.879084      5781.5077       21.59327
           -2.1      4859.7884      17.917419      4078.4266      15.044968      5889.8886      21.912238
             -2      5029.3791      18.138019      4219.0747      15.228628      6098.4785      22.132343
           -1.9      5152.7317      18.378451      4321.5618      15.452964      6249.9128      22.546325
           -1.8      5250.2331      18.528041      4397.1785      15.531469      6379.4158        22.6596
           -1.7      5365.4289       18.91185        4492.19      15.948085      6522.0609      23.463112
           -1.6      5476.0799      18.986916      4582.2204      15.897883      6661.3348      23.293366
           -1.5      5582.5065      19.087156       4667.776      15.980308       6797.321      23.404021
           -1.4      5664.3249      19.224716      4732.7949      16.086998      6902.9945      23.610156
           -1.3      5707.3415      19.320653      4769.8333       16.15446      6953.5263      23.713671
           -1.2      5783.2594      19.450309      4827.0856      16.247577      7057.3543      23.904278
           -1.1      5896.9712      19.629489      4923.9997      16.414855      7192.2761      24.172206
             -1      5949.6764      19.725232      4965.5392      16.487919      7261.1425      24.302025
           -0.9      5986.6141      19.741045      4993.9198      16.522793      7310.5844      24.399995
           -0.8      6054.2609      19.879568        5045.76      16.579896      7401.7304      24.460702
           -0.7      6080.7586      20.534565      5066.6398       17.04402      7436.0293      25.440922
           -0.6      6124.8857      19.989166      5102.9423      16.672769      7491.0462      24.621599
           -0.5       6176.795      20.071526      5145.2554      16.743026      7556.2003      24.748187
           -0.4      6197.0415       20.11743      5164.3221      16.956223       7576.678      25.290616
           -0.3      6216.0392      20.129124      5176.9639      16.792285       7605.822      24.825868
           -0.2      6245.6787      20.181083      5202.9798      16.962423      7639.6636      25.177488
           -0.1      6243.0277        20.2228       5197.881      16.849238      7641.7403      24.953451
              0       6212.831      20.111963      5172.4701      16.764631      7605.3018       24.78623
            0.1      6236.0829      20.149582       5191.582      16.794746      7634.3062      24.855072
            0.2       6216.654      20.135934      5176.4895      16.784505      7608.5034      24.847399
            0.3      6171.1031      20.107584      5139.1725      16.768459       7551.549      24.821525
            0.4      6157.8408      20.080234      5130.1968       16.74958      7531.6196      24.776071
            0.5      6098.6691      19.965689      5079.1353      16.639866      7462.5502       24.59133
            0.6      6068.4594      19.882956      5056.1866      16.589756      7421.4451      24.500656
