# total-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      416.77358      1.7438729      352.18169      1.4630606      501.30568      2.1356225
              1      416.77358      1.7438729      352.18169      1.4630606      501.30568      2.1356225
