#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
            165      3.4064044    0.067119656      2.7449243    0.054274625      4.3299511    0.085853454
            170      2.9319743    0.062775471      2.3556859    0.050496506      3.7382205    0.080930457
            175      2.6137619    0.060242698      2.0977826    0.048418009      3.3367851     0.07745609
            180      2.2635604    0.054785587      1.8176166    0.044309108      2.8887638    0.071559269
            185      2.0559429    0.052083315      1.6478303    0.041970557      2.6284583    0.067077113
            190      1.7470053    0.048028227      1.4003608    0.038678294      2.2339706    0.061802625
            195      1.6629564    0.047776472      1.3311968     0.03834349      2.1289116    0.061512709
            200      1.5433617    0.045316836      1.2285735    0.036215177      1.9876724    0.058737673
            205      1.2650978    0.041267459      1.0098628    0.032958469      1.6246174    0.053542235
            210      1.1948462    0.040490923     0.95755057    0.032585438      1.5284431    0.052174897
            215      1.0853143    0.037873231     0.86257604    0.030179273      1.4003627    0.049279882
            220     0.94226687    0.035310982     0.74954935    0.028144361      1.2146966    0.045926829
            225     0.85527453    0.034514148      0.6813328    0.027512098      1.1013297    0.044837986
            230     0.79238463    0.032404416      0.6238781    0.025584842      1.0328693     0.04246799
            235     0.73287043    0.031217366      0.5859294    0.025067703     0.93971141    0.040307986
            240      0.6316811    0.028951505     0.50227883    0.023004356     0.81499137    0.037937388
            245      0.6189257    0.028556052     0.48420507    0.022434285     0.81220413    0.037644342
            250     0.50707517    0.025980108      0.3972913    0.020410605     0.66438703    0.034208591
            255     0.46823493    0.024883942      0.3674476    0.019597025     0.61255273    0.032720981
            260     0.45469903    0.024627995     0.35957207    0.019495989      0.5902445    0.032294199
            265     0.37153547    0.022282097     0.29352917    0.017589092     0.48285247    0.029313397
            270     0.36580043    0.032520307      0.2892626    0.025344531     0.47446887    0.042860435
            275      0.3630136     0.02192819     0.28734493    0.017411632     0.47075887    0.028632464
            280     0.34054483    0.021380612     0.26638543    0.016785604      0.4469816    0.028195758
            285     0.25779227     0.01850619     0.20259793    0.014556645      0.3367256     0.02440656
            290     0.26986553    0.018848141     0.21353753    0.014988267     0.34985917    0.024573601
            295      0.2446396    0.018128564     0.19511583     0.01445823     0.31480633    0.023606709
            300      0.2421039    0.017847252     0.18993657    0.014061744      0.3168315    0.023467762
            305       0.203303    0.017193161      0.1614718    0.013701919     0.26266748    0.022460202
            310     0.20194747    0.016333243     0.15839277    0.012875475     0.26428883    0.021507602
            315      0.1696694    0.015167466      0.1378437    0.012678479     0.21397893    0.020141097
            320      0.1420488    0.013667792     0.11074563    0.010700537      0.1870621    0.018082602
            325     0.15262197    0.014263908     0.11931367     0.01119292     0.20060523    0.018857635
            330     0.15026527    0.014076447      0.1194069    0.011242284      0.1940929     0.01829511
            335     0.14862513    0.014103824     0.11619137     0.01101657     0.19529123    0.018718078
            340     0.11486197    0.012321354    0.088045967   0.0094780313     0.15398773    0.016578956
            345     0.12889613    0.013151917    0.099333367    0.010156449     0.17218717    0.017665408
            350    0.099960267    0.011465565      0.0779346    0.008982805      0.1317761    0.015196068
            355    0.096014467     0.01123702       0.074327   0.0087382572      0.1274725    0.014990769
            360     0.11311293    0.012196615    0.088050967   0.0095351212      0.1492798    0.016172104
            365    0.099960267    0.011615451    0.079022233   0.0091566644     0.12989183    0.015284827
            370    0.065763333   0.0094839939       0.051258   0.0074083792    0.086677867    0.012605756
            375    0.080231267    0.010272047      0.0623828   0.0080286844     0.10609607    0.013664381
            380    0.080231267    0.010271997    0.064084533   0.0082488635       0.103005    0.013275362
            385    0.077600733    0.010272031      0.0603957   0.0079722879     0.10258193    0.013759298
            390    0.053925933   0.0084213332    0.042140867   0.0066136127      0.0709494    0.011141307
            395    0.061517033   0.0093126734    0.047517766   0.0070669635      0.0818661    0.012733825
            400      0.0434038   0.0075552311      0.0336534    0.005884068    0.057588667    0.010075372
            405    0.048664867   0.0080000331    0.038954866   0.0064462801    0.062487967     0.01035459
            410      0.0473496   0.0078912054       0.036167   0.0060461309    0.063665833    0.010646699
            415    0.044719067   0.0076688506    0.035157033   0.0060544034    0.058421734    0.010067698
            420    0.038142733   0.0073227287    0.029799433    0.005695093    0.050132466   0.0097404633
            425      0.0355122   0.0068339843       0.028394   0.0054968974    0.045637433   0.0088476379
            430       0.039458    0.007203652    0.030827133    0.005663923      0.0519278   0.0095506434
            435      0.0276206   0.0063073997      0.0216964    0.004759058      0.0362319   0.0088071236
            440       0.039458    0.007203628    0.030774733   0.0056470625    0.052022433   0.0095538754
            445    0.033280467   0.0066671674    0.026659567   0.0053695751    0.042420033   0.0085664238
            450      0.0399221   0.0076162888    0.030877767   0.0058986618    0.052981167    0.010147676
            455      0.0276206   0.0060270077       0.021791   0.0047745816      0.0358938     0.00786959
            460    0.026305333   0.0058817572    0.020388734   0.0045748509      0.0349013   0.0078362962
            465    0.026305333   0.0058817572      0.0206987   0.0046749421    0.034484667   0.0077986627
            470       0.019729   0.0050937512    0.014912133   0.0038726152      0.0270285   0.0070231902
            475    0.030251133   0.0063074819    0.024631467   0.0051672547      0.0380349   0.0079943414
            480    0.027986867   0.0061173801    0.021733933   0.0047669492    0.036950066    0.008111278
            485    0.013152667   0.0041590304    0.010010667   0.0031767824    0.017812967   0.0056543136
            490      0.0157832   0.0049210312      0.0123003   0.0038091415    0.020829467   0.0065940809
            495      0.0157832   0.0045559896    0.012508033   0.0036324696    0.020441733   0.0059433844
            500      0.0157832   0.0045559896    0.012508033   0.0036324696    0.020441733   0.0059433844
