# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ750
              0      525.83338     0.90893057      447.98191      0.7739553      624.91193      1.0915312
              1        1513.83      1.5222476      1291.0778      1.3007521      1796.6453      1.8296408
              2       1876.349      1.6879351      1600.0469      1.4416391      2227.5249      2.0258146
              3       1873.642      1.6856598      1596.5842       1.436721      2226.5898      2.0184588
              4       1762.499        1.63653      1500.6441      1.3959828      2096.8754      1.9683138
              5      1604.6149      1.5654781      1364.4526      1.3317788      1912.3734      1.8798806
              6      1472.2173      1.5027311      1250.3841      1.2769948      1757.3722      1.8073771
              7      1352.1004      1.4452719      1147.2968      1.2306846      1615.9737      1.7518103
              8      1243.4381      1.3845035      1053.5309      1.1749089      1489.0127      1.6734012
              9      1146.8502      1.3330754      970.60316      1.1292662      1375.3641      1.6127304
             10      1064.4041      1.2836138      899.69987      1.0859469      1278.5607      1.5532592
             11      988.90673      1.2384265      835.03446      1.0480197      1189.4426       1.504635
             12       924.5326      1.1981506      779.97404      1.0156435      1113.2937      1.4644438
             13      867.62369      1.1625372      731.09042     0.98041749       1046.362      1.4126467
             14      816.30575       1.136354      687.32097     0.95740841      985.43325      1.3842744
             15       767.8223      1.0949466      645.82819     0.92234899      928.13569      1.3352276
             16      724.74113      1.0637243      609.17159     0.89492716      876.81135      1.2964601
             17      686.52605      1.0361592      576.48575       0.870933      831.60878      1.2637691
             18      648.63388        1.00812      544.19246     0.84676698      786.57763      1.2318713
             19      616.76859     0.98294297      517.07527     0.82490581      748.62894      1.2008532
             20      587.42243     0.96292337      492.02895     0.80700387      713.81185      1.1789082
             21      558.37529     0.93545339      467.53752     0.78457442      678.80184      1.1456841
             22      532.41555     0.91581985      445.47286     0.76686287      647.84033      1.1224869
             23      508.40545     0.89461924      425.15893     0.74903149      619.01625      1.0973245
             24      485.34281      0.8731574      405.50099     0.73042691      591.62273      1.0712566
             25      465.13167     0.85595115      388.35362     0.71578571      567.45553      1.0527569
             26      442.72358     0.83549618      369.48932      0.6980096      540.39654      1.0269061
             27       424.0749     0.81826752      353.70439     0.68300612      518.03083       1.007101
             28      407.47474       0.801992      339.62075     0.66913438      498.18663     0.98731339
             29      390.08311      0.7840283      324.96869     0.65582127      477.20154     0.96997508
             30      373.96356     0.76825012      311.34037     0.64035918      457.84894      0.9471765
             31      359.40153     0.75507253      299.11625     0.62891288      440.20114      0.9315304
             32      344.36718     0.75380126      286.37704     0.62534625      422.20076     0.93422869
             33       331.5936     0.72471469      275.77666     0.60413023      406.49892     0.89696431
             34      318.79846     0.71316591      264.95252     0.59352413      391.13789     0.88281081
             35      305.99382     0.69681556      254.19559     0.57972942      375.64647     0.86288963
             36      294.23656     0.68279124      244.31881     0.56760819      361.40505     0.84483376
             37      284.55258      0.6746785       236.0959     0.55998374      349.84121     0.83547872
             38      273.28681     0.66284788      226.69504     0.54987411      336.08578     0.82129569
             39      263.94795      0.6510217      218.92393      0.5401766      324.65001     0.80745477
             40      253.24242     0.63416065      209.89655     0.52619279      311.74587       0.785561
             41      242.86446     0.62218323      201.19501     0.51584416      299.15383     0.77180893
             42       235.5857     0.61327641      195.12035     0.50901275      290.26628     0.76258812
             43      227.93589     0.60138521      188.67416     0.49946147      281.04622     0.74920116
             44      218.10957      0.5895757      180.52772     0.48857465      268.94413     0.73279503
             45      211.77703     0.58039114      175.15617     0.48061656      261.38443     0.72120816
             46      204.21851     0.57263172      168.88967     0.47392383      252.07574     0.71215074
             47        196.298      0.5603623      162.28991     0.46532687      242.38703     0.70117973
             48      190.41053     0.55191251      157.35645     0.45641109      235.23752     0.68680563
             49      183.61301     0.54059141      151.68704     0.44715043      226.93037     0.67277915
             50      183.61301     0.54059141      151.68704     0.44715043      226.93037     0.67277915
