# eta_bjet1-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
# -1bjet
              0      1458.8465      2.4006689       1218.448      2.0072977      1779.7081      2.9533342
            0.4      1399.0594      2.3510412       1169.489      1.9674245      1704.9783       2.888039
            0.8      1281.1484      2.2491655      1072.1015      1.8850643      1559.0944      2.7598979
            1.2      1116.0571      2.1644683       935.4313      1.8101423      1355.4671      2.6714098
            1.6       915.2419      1.9030322      769.16254      1.6018031      1107.8969      2.3234133
              2      712.38524      1.6852976       600.0651      1.4208857         859.88      2.0515269
            2.4      712.38524      1.6852976       600.0651      1.4208857         859.88      2.0515269
