# dR_bb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            0.4      196.82379      1.4219307      162.45159      1.1593842      243.48764      1.7961971
            1.2      101.60318      0.9340018       84.97491     0.78006416      123.72523      1.1468872
              2      102.15596      1.2982005       87.12247      1.1084013      121.46531      1.5514019
            2.4      137.47604      1.2379221      119.37538      1.0745625      159.77913      1.4482683
              3      110.56982      1.4055272      96.887601       1.220795      127.02377      1.6508424
            3.4      14.540946     0.40957413      12.570131     0.35441797      17.065906     0.48663288
              4      2.5554573     0.19957403      2.1510457     0.16597757      3.0893003     0.24645769
            4.5       0.236748    0.055799249       0.197811    0.046802121        0.28836    0.068306179
              5       0.236748    0.055799249       0.197811    0.046802121        0.28836    0.068306179
