#  m_bbZ-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
              1              0              0              0              0              0              0
              2              0              0              0              0              0              0
              3              0              0              0              0              0              0
              4              0              0              0              0              0              0
              5              0              0              0              0              0              0
              6              0              0              0              0              0              0
              7              0              0              0              0              0              0
              8              0              0              0              0              0              0
              9              0              0              0              0              0              0
             10              0              0              0              0              0              0
             11              0              0              0              0              0              0
             12              0              0              0              0              0              0
             13              0              0              0              0              0              0
             14              0              0              0              0              0              0
             15              0              0              0              0              0              0
             16              0              0              0              0              0              0
             17              0              0              0              0              0              0
             18              0              0              0              0              0              0
             19              0              0              0              0              0              0
             20              0              0              0              0              0              0
             21              0              0              0              0              0              0
             22              0              0              0              0              0              0
             23              0              0              0              0              0              0
             24              0              0              0              0              0              0
             25              0              0              0              0              0              0
             26              0              0              0              0              0              0
             27              0              0              0              0              0              0
             28              0              0              0              0              0              0
             29              0              0              0              0              0              0
             30              0              0              0              0              0              0
             31              0              0              0              0              0              0
             32              0              0              0              0              0              0
             33              0              0              0              0              0              0
             34              0              0              0              0              0              0
             35              0              0              0              0              0              0
             36              0              0              0              0              0              0
             37              0              0              0              0              0              0
             38              0              0              0              0              0              0
             39              0              0              0              0              0              0
             40              0              0              0              0              0              0
             41              0              0              0              0              0              0
             42              0              0              0              0              0              0
             43              0              0              0              0              0              0
             44              0              0              0              0              0              0
             45              0              0              0              0              0              0
             46              0              0              0              0              0              0
             47              0              0              0              0              0              0
             48              0              0              0              0              0              0
             49              0              0              0              0              0              0
             50              0              0              0              0              0              0
             51              0              0              0              0              0              0
             52              0              0              0              0              0              0
             53              0              0              0              0              0              0
             54              0              0              0              0              0              0
             55              0              0              0              0              0              0
             56              0              0              0              0              0              0
             57              0              0              0              0              0              0
             58              0              0              0              0              0              0
             59              0              0              0              0              0              0
             60              0              0              0              0              0              0
             61              0              0              0              0              0              0
             62              0              0              0              0              0              0
             63              0              0              0              0              0              0
             64              0              0              0              0              0              0
             65              0              0              0              0              0              0
             66              0              0              0              0              0              0
             67              0              0              0              0              0              0
             68              0              0              0              0              0              0
             69              0              0              0              0              0              0
             70              0              0              0              0              0              0
             71              0              0              0              0              0              0
             72              0              0              0              0              0              0
             73              0              0              0              0              0              0
             74              0              0              0              0              0              0
             75              0              0              0              0              0              0
             76              0              0              0              0              0              0
             77              0              0              0              0              0              0
             78              0              0              0              0              0              0
             79              0              0              0              0              0              0
             80              0              0              0              0              0              0
             81   0.0065763333   0.0065760045      0.0046985    0.004698265   0.0095093333   0.0095088578
             82              0              0              0              0              0              0
             83   0.0065763333   0.0065760045   0.0024238333   0.0024237122   0.0083426667   0.0083422495
             84              0              0              0              0              0              0
             85    0.013152667   0.0092998748      0.0115935   0.0082053341    0.014845166    0.010520199
             86   0.0065763333   0.0065760045   0.0048041668   0.0048039265    0.009362833   0.0093623648
             87    0.026305333    0.013152009      0.0220935    0.011048928       0.031833    0.015922923
             88    0.013152667   0.0092998748      0.0111265    0.007867243    0.015761833    0.011144776
             89              0              0              0              0              0              0
             90    0.013152667   0.0092998748    0.010352167   0.0073374447       0.017269    0.012250514
             91    0.032881667    0.014704393    0.028334999    0.012688276      0.0384055    0.017222121
             92    0.046034333    0.017398473    0.039030833    0.014790237    0.055009667     0.02089375
             93       0.059187    0.019728014       0.049456     0.01651928    0.072137499    0.024134006
             94    0.072339667    0.021809941    0.060095666    0.018147044    0.088985833     0.02689601
             95       0.078916    0.022779948    0.066534332    0.019248352      0.0951855     0.02758284
             96    0.092068667    0.024605156    0.076777667    0.020542108     0.11253633    0.030131849
             97        0.19729     0.03601826      0.1638685    0.029983509       0.242378    0.044417587
             98     0.17970183     0.03464536     0.14496783    0.027986007     0.22893433    0.044244901
             99        0.19729     0.03601814     0.16355883    0.029882149     0.24283567    0.044386882
            100     0.19071367    0.035412868     0.16148983    0.030024664     0.22830417    0.042491245
            101     0.23017167    0.038903945     0.19321617    0.032702723     0.27893517    0.047260591
            102     0.20386633    0.036613644     0.17002683    0.030566882     0.24914183    0.044821919
            103     0.24332433    0.040000166       0.204739     0.03370555     0.29391616    0.048438918
            104       0.335393    0.046961973      0.2734735    0.038374522     0.42192067    0.059272699
            105       0.295935    0.044112787       0.246153    0.036759874     0.36287133    0.054257572
            106     0.21044267    0.037199499     0.17768317    0.031468147     0.25299067    0.044871674
            107       0.355122    0.048323477     0.29758833    0.040545364       0.431358    0.058824363
            108       0.355122    0.048322761     0.29382817    0.040043205       0.438601    0.059827969
            109       0.335393    0.046962065     0.27355767    0.038398247     0.42137467    0.059221923
            110     0.36827467     0.04920996        0.30914    0.041383638     0.44631417    0.059825514
            111     0.34196933     0.04742006     0.28219583    0.039199484     0.42378517    0.058927885
            112     0.48664867    0.056568853      0.4047955    0.047388372     0.59700432    0.070208562
            113       0.473496    0.055799171     0.39051467    0.046111086     0.58728283    0.069419104
            114     0.50637767    0.057704055      0.4197975    0.047955174     0.62400367    0.071387623
            115     0.40773267    0.051778927     0.33522933    0.042699695     0.50744367    0.064744226
            116       0.473496    0.055798784     0.39357817    0.046511611     0.58135983    0.068825699
            117     0.51953033    0.058448659     0.43010616    0.048481269      0.6411135     0.07234782
            118     0.39460617    0.050940557       0.324557    0.041971179       0.490827    0.063533161
            119     0.49980133    0.057327901       0.411678    0.047336041     0.62084983    0.071484714
            120     0.48664867    0.056568318       0.399896    0.046606039       0.606376    0.070766372
            121     0.42169117     0.05352855     0.34616667    0.043686586     0.52608383    0.067749933
            122     0.58571033    0.062083101     0.48407516    0.051449707      0.7242905    0.077109146
            123       0.473496    0.055798784     0.38861734    0.045904802       0.590638    0.069854639
            124     0.53996733    0.059630071     0.44043183    0.048749137     0.67869783    0.075230417
