#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      372.20382     0.34487734      313.44423     0.29034875      448.91493     0.42022264
              5       865.8304     0.49776174      728.77659     0.41930547      1045.0413     0.60639504
             10       983.8081     0.52409032      827.78941     0.44175553      1188.0863     0.63936827
             15      911.77477     0.50673448      766.92697     0.42687261      1101.6564     0.61793776
             20      784.24314     0.47468959      659.43793      0.4003014      948.04301     0.58059954
             25      655.09572     0.43860769      550.51691     0.36885655       792.5759     0.53521648
             30      540.14714     0.40283607      453.58949     0.33824617      654.14671     0.49206887
             35      444.37575     0.36646429      372.84822     0.30770016      538.77632     0.44782769
             40      365.09608     0.33410843      306.07752     0.28058752      443.14253     0.40946488
             45      300.97372      0.3070457      252.05756     0.25745247      365.81551     0.37779148
             50      249.68284       0.278862      208.87001      0.2335542      303.91457     0.34228207
             55       206.7708     0.25454165      172.78994     0.21297839       252.0253      0.3130793
             60      172.36454     0.23276868      143.88708     0.19448711      210.37307     0.28635373
             65       144.0757     0.21391055      120.12642     0.17864253      176.11619     0.26417521
             70      121.19329     0.20110092      100.94948     0.16708579      148.32889     0.24920934
             75      101.99068     0.18266262      84.847227     0.15192236       125.0232     0.22596156
             80      86.158531     0.16855132      71.616482     0.14005238      105.72887     0.20897832
             85      73.251085     0.15290534      60.851179     0.12728776      89.957725     0.18971797
             90      62.499595     0.14096694      51.832196     0.11705534      76.910984     0.17478447
             95      53.516803     0.13141503      44.360538     0.10905501      65.897191     0.16314876
            100      45.868853     0.12159662      37.997381      0.1008072      56.523843     0.15112394
            105      39.551424      0.1154461       32.74297    0.095395796      48.776938     0.14415695
            110       34.18138     0.10488549      28.288425    0.087026613      42.170163     0.13077043
            115      29.723105    0.098266904      24.572282    0.081303108      36.716956     0.12243142
            120      25.934026    0.091177997      21.435875    0.075471022      32.043818       0.113441
            125      22.568291     0.08507594      18.638796     0.07034114      27.912073     0.10593427
            130      19.740775    0.080391059      16.311373    0.066448671      24.401419     0.10028488
            135      17.163024    0.078749882      14.173875    0.064736301      21.228555    0.098748842
            140      15.165684    0.070068276      12.509808    0.057844715      18.789272    0.087539732
            145      13.363093    0.066419377      11.011863     0.05474113      16.576726    0.083304872
            150      11.798985    0.061570118      9.7112012    0.050808332      14.656045      0.0771502
            155      10.392568    0.057804112      8.5463577    0.047643125      12.921633    0.072480405
            160      9.3655519    0.055017634      7.6827695    0.045237703      11.677141    0.069198849
            165      8.3340155    0.053533301      6.8362416    0.043941475      10.391341    0.067685961
            170      7.4789356    0.049303666      6.1243183    0.040467345      9.3434275     0.06215494
            175      6.6957525    0.046530081      5.4734038    0.038151302      8.3812624     0.05886435
            180      5.9137666     0.04390409      4.8311198     0.03600487      7.4078656    0.055678966
            185      5.3507191    0.041627987      4.3618648    0.034011231      6.7178548     0.05270732
            190      4.8342279    0.039310557      3.9419441    0.032174932      6.0679427    0.049750698
            195      4.2848384     0.03734115      3.4837397    0.030423699      5.3955358    0.047414169
            200       3.935835    0.035635297      3.2021154    0.029055129      4.9525781    0.045255923
            205      3.5423218    0.034129337      2.8757993    0.027751852      4.4677482    0.043462798
            210      3.1891641    0.032094141       2.590249     0.02613434      4.0209699    0.040853589
            215      2.9960841    0.030934923      2.4286399    0.025157737      3.7853844    0.039427063
            220      2.6188645    0.029047961      2.1247695    0.023714875      3.3054631    0.037126489
            225      2.3945631    0.031732933       1.938772    0.025557585      3.0292336     0.04065855
            230      2.2075225     0.02656019      1.7881035    0.021580375      2.7913474    0.033882712
            235      1.9757929    0.025219662      1.5955844    0.020444132      2.5069319    0.032256863
            240      1.8021203    0.024189769       1.455565    0.019559795      2.2860585    0.030999714
            245      1.6850383    0.023204315      1.3598545    0.018790946      2.1394062    0.029693443
            250      1.5363501     0.02221195      1.2397526    0.017961085      1.9510773    0.028475537
            255      1.3807594    0.021119405      1.1146572    0.017095103      1.7527243    0.027059695
            260      1.2899584    0.021511012      1.0371182     0.01727169      1.6446476    0.027715178
            265      1.1487354    0.019195786     0.92513806    0.015484628      1.4620126     0.02465559
            270      1.0837644    0.018686393     0.86833831    0.015002949      1.3870343    0.024105989
            275     0.99018355    0.018160517     0.79348515    0.014590695      1.2669675    0.023442739
            280     0.89664864     0.01694248     0.72098198    0.013657968      1.1429821    0.021860464
            285     0.82199821    0.016240873     0.65857014    0.013057678      1.0521696    0.020939857
            290      0.7775492    0.015786117     0.62175371    0.012656737     0.99731147    0.020414117
            295     0.74486923    0.015500304     0.59607582    0.012403749     0.95473966    0.020102483
            300     0.71369587    0.025938985     0.57276472    0.020315809     0.91189926    0.034026053
            305     0.62766967    0.015039061     0.50166617    0.011998532     0.80544664    0.019523456
            310      0.5747474    0.013568039     0.46037445    0.010899156     0.73578499    0.017531894
            315     0.53638131    0.013785886     0.42883605    0.011013811     0.68822657    0.017920231
            320     0.49469436    0.012685365     0.39590348    0.010175407     0.63403739    0.016432593
            325     0.51105128    0.014455358     0.40841847    0.011463948     0.65590008    0.018858165
            330     0.46105356    0.012131091     0.36913814   0.0097509931     0.59059902    0.015682327
