#         m_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
            100       527.5857     0.54908579      447.53476     0.46709645      630.46797     0.66389582
            110       474.3834     0.52498128      402.57434     0.44781757      566.79417     0.63732157
            120      379.11999     0.47641553      321.40753     0.40469956      453.71911     0.57591158
            130      298.87951     0.42839523      253.06277     0.36400836      358.36869     0.52149638
            140      239.20456      0.3871361      202.11416      0.3271947      287.65411      0.4699647
            150      194.38376     0.35022151      163.89806     0.29593644      234.42603     0.42689575
            160      160.06823     0.31994432      134.63686     0.26931114      193.65677     0.39058055
            170       134.1439     0.29352154      112.50954     0.24636134      162.88631     0.35920121
            180      113.86046     0.27212346       95.27442      0.2279429      138.66482     0.33454439
            190      97.600059     0.25391107      81.444242      0.2118887       119.2686     0.31323842
            200      84.619892       0.234796      70.437652     0.19565117      103.71996     0.28995679
            210      74.443017     0.22054265       61.81981     0.18348259      91.503486     0.27337999
            220      65.493776     0.20715669      54.261997     0.17186956       80.72233     0.25731309
            230      58.132374     0.19628145      48.080029     0.16256496      71.791832     0.24456609
            240       52.04293      0.1933461       42.94546     0.15888426      64.440977     0.24243186
            250      46.512695     0.17615365      38.275491     0.14500994       57.77795     0.22068877
            260      41.767237     0.16580908       34.35101     0.13652306      51.913486     0.20755088
            270      37.990041     0.16740151      31.171832     0.13656659      47.341679     0.21149222
            280      34.863337     0.15233426      28.570608     0.12491596      43.503005     0.19141209
            290      31.666608     0.14561779      25.931434     0.11929683      39.543427     0.18303858
            300       29.12777     0.13942979      23.814213     0.11408024      36.435715     0.17564456
            310      26.786918     0.13342835      21.873721     0.10914714      33.550891     0.16859617
            320      24.406566     0.12708754      19.904257     0.10375408      30.611386     0.16027661
            330       22.61709     0.12250482      18.409117    0.099930603      28.374843     0.15484631
            340      20.855425     0.11743542      16.926705    0.095548864      26.235708     0.14879972
            350       19.51007     0.11438595      15.778171    0.092633847      24.636978     0.14525598
            360      17.782857      0.1088269      14.365021    0.088131708       22.48304      0.1384682
            370      16.792765     0.10549597       13.53037    0.085176703      21.289265     0.13449671
            380      15.600292     0.10190861      12.551317    0.082127794       19.80705     0.13007858
            390      14.499457    0.098472574      11.631722    0.079136544      18.466469     0.12606459
            400      13.513631    0.096335709       10.82557    0.077331773      17.236604     0.12360871
            410       12.61639    0.091510487      10.084469    0.073310698      16.129936     0.11768425
            420      11.880573    0.090476763      9.4791973    0.072218952      15.217027     0.11666825
            430      11.290589    0.086751549       8.997335    0.069262534      14.481241     0.11187927
            440      10.438041    0.083281511      8.3026814    0.066379455      13.413468     0.10748397
            450      9.7884562    0.081079861      7.7657786    0.064505692      12.611726     0.10480945
            460      9.2338885     0.07915401      7.3299756    0.063011921      11.890516     0.10234267
            470        8.67603    0.077231715      6.8702672    0.061327981      11.200653     0.10008453
            480      8.2229764    0.074743046      6.4940984    0.059215925      10.645113    0.097020228
            490      7.6824291    0.071975326       6.067489    0.057016685      9.9451302    0.093462765
            500      7.3139732    0.070675092      5.7635748    0.055858268      9.4900201     0.09198782
            510      6.8679966    0.069752227      5.4111326    0.055213041      8.9133026    0.090598408
            520      6.5307386    0.067264317      5.1360929    0.053156993      8.4909439    0.087524287
            530      6.1377054     0.06503321      4.8284292    0.051361298      7.9781676     0.08469153
            540      5.8176808    0.062830107      4.5719727    0.049529402      7.5701847    0.082041752
            550      5.5085839    0.061520686      4.3247878    0.048531159      7.1757389    0.080682017
            560      5.3245254    0.060772205      4.1698685    0.047813244      6.9525576    0.079451283
            570      5.0173058     0.05807581      3.9248278     0.04558482      6.5595901    0.076110524
            580      4.6897129    0.057258553      3.6641592    0.044885668      6.1389526    0.075086001
            590      4.4602065     0.05495416      3.4764419    0.042980871      5.8529206    0.072216013
            600      4.2674196    0.053722043      3.3201629    0.041914659      5.6100659    0.070762471
            610      4.0381303    0.053184175      3.1465833    0.041570444      5.3011135    0.069937977
            620      3.9027474      0.0522186      3.0445669    0.040825274      5.1173333    0.068750951
