# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      18.174169     0.45680215      15.747142     0.39410181      21.182619     0.53989782
            0.6      57.492236      1.1784031      49.741873     0.95873622      67.150868      1.4944957
            1.2      108.40142      1.1250472      93.606695      0.9666584      126.92536      1.3349697
            1.8      161.51596      1.3391457      137.76239      1.1431497      192.08743      1.6032546
            2.4      188.87802      2.0462766      158.72611      1.7201012      228.75176      2.4950519
            2.7      210.28838      2.1511717      175.40368      1.7975705       256.9389       2.640522
              3       137.9371      1.7589269      114.40315      1.4664288      169.64141       2.192297
            3.3       50.28397     0.68764395      40.861128     0.56120909      63.270045     0.87091681
              4      11.574347      0.2758372      9.2219688     0.22048501      14.867883     0.35554783
              5      11.574347      0.2758372      9.2219688     0.22048501      14.867883     0.35554783
