#m_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
             81      10.888631     0.13131689      9.1450718     0.11034279      13.174152     0.15995329
             82      11.978609     0.13777159      10.058951      0.1157056       14.49703     0.16793883
             83      13.776064     0.14767875      11.599742      0.1248152      16.611623      0.1804117
             84      15.516238     0.15676349      13.062935     0.13200288      18.715367     0.19054511
             85      17.923034     0.16841049      15.087863     0.14187871      21.621865     0.20461221
             86      20.706601     0.18107204      17.454774     0.15270193      24.935079     0.22012184
             87      25.381339     0.20035283      21.393916     0.16919161      30.569145     0.24290637
             88      31.778005     0.22425709      26.834068     0.18948064      38.180837     0.27157481
             89      42.221481     0.25837266       35.69787     0.21855948      50.643677     0.31219799
             90       63.42502     0.31661416      53.659489     0.26803525      76.014708     0.38187936
             91      100.87255     0.39899987       85.46541     0.33933583      120.66112     0.48372558
             92      154.81761     0.49393001      131.10976     0.41899294      185.31794     0.59538281
             93      213.22772     0.57935202      180.52797     0.49086114      255.33941     0.69819867
             94       274.6935     0.65706971      232.70521     0.55740483      328.69428     0.79284003
             95      330.01801      0.7197032      279.63825      0.6130335      394.79049     0.87439133
             96      377.28295     0.76896947      319.66168     0.65239479      451.40197     0.92628788
             97      418.36857     0.80946584      354.65258     0.68771426       500.2346     0.97708472
             98      453.33065     0.84212173      384.18896     0.71424345      542.25976      1.0138608
             99      477.87457     0.86440162      405.11974     0.73327094      571.39543      1.0399603
            100      500.12829      0.8840384      424.05941     0.75092261      597.88768      1.0661505
            101      516.77265     0.89849351      438.21436     0.76254141      617.73351      1.0808008
            102      526.13484     0.90654191       446.1636     0.76964192      628.93361      1.0917116
            103      534.20988     0.91328555      453.08163     0.77528075      638.48162      1.0983404
            104      536.08103     0.91486365      454.75236     0.77885851      640.58428      1.1065322
            105      537.35353     0.91601668      455.91209     0.77911989      641.98026      1.1057053
            106      536.76903     0.91566048      455.49145     0.77889466      641.16541      1.1058049
            107      533.29951     0.91265431      452.43468     0.77489734      637.26285      1.0978577
            108      527.24503     0.90753825      447.27859     0.77094938       630.0943      1.0928346
            109      523.64714     0.90484881      444.39103     0.76907789      625.50776      1.0907134
            110      514.96863     0.89727869      437.12395     0.76398545      614.97779      1.0835669
            111      505.41143     0.88907809      428.82474     0.75487192        603.945      1.0695165
            112      498.35097     0.88338657      422.91021     0.75053053      595.38851      1.0637953
            113      491.63728     0.87730646      417.30366      0.7477755      587.21901      1.0620349
            114      480.19294     0.86682032      407.54728     0.74171635       573.6538      1.0572503
            115      470.94964     0.85850066      399.64048     0.72947282      562.74714      1.0332001
            116      458.14265     0.84765325      388.83274     0.72260563      547.34919      1.0271695
            117       449.1777     0.83930177        381.039     0.71245283      537.00633      1.0101824
            118      439.86857     0.83049462      373.13901      0.7049655      525.89857     0.99926939
            119      430.80079     0.82222733       365.5257     0.69863061       514.9252     0.99073443
            120      421.25261     0.81307278      357.26143     0.69001359      503.83349     0.97893878
            121      411.50713     0.80340783      348.93727     0.68165753      492.30169     0.96708357
            122      401.43299     0.79526135      340.38864     0.67542975      480.27374     0.96058454
            123      391.65385     0.78523538       332.0677     0.66625434      468.64055     0.94636563
            124      383.15905     0.77658786      324.75862     0.65880553      458.68786     0.93625573
            125      372.76263     0.76721684       315.9643     0.65052724      446.21966     0.92546547
            126      364.73048     0.75893637      309.20841     0.64393352      436.51659     0.91664273
            127      356.29447      0.7499339      301.95001     0.63768319      426.63073     0.90914636
            128      348.13713      0.7407853      294.98607     0.62856529      416.96877     0.89557129
            129      340.78678     0.73290175      288.71148     0.62155256      408.26267     0.88532563
            130      331.57251     0.72308296      280.92793     0.61325487      397.18985     0.87481272
            131      323.02129     0.73360823      273.63168     0.61890693      387.04844     0.89070621
            132      317.09005     0.70693049      268.53747     0.59916208      380.08202     0.85388497
            133      309.06059     0.69844759       261.6119     0.59233196       370.6999     0.84653487
            134       302.7883     0.69204924      256.29701     0.58627839      363.19419     0.83781023
            135       294.6108      0.6840401      249.49373     0.58260119      353.17297     0.83640475
            136      288.18296     0.67372952      243.85177     0.57083692       345.8422     0.81439893
            137      281.11724     0.66743441      237.81094     0.56456584      337.48499      0.8071484
            138      276.09306     0.66097834      233.56579     0.55922095      331.45205     0.79931022
            139      269.85756     0.65450327      228.28245     0.55703736      323.98673      0.8011351
            140      263.55855     0.64498307      222.82086     0.54577233      316.67916     0.78056371
            141      256.92881      0.6425793      217.25014     0.54272909      308.65353     0.77931809
            142      253.64621     0.63314108      214.43247     0.53574207      304.79431     0.76693685
            143      246.69277     0.62425211      208.48273     0.52796302      296.57619      0.7560984
            144      240.62264     0.61996269      203.29352     0.52425598      289.39387       0.753552
            145      235.49064     0.61043325      199.00613     0.51640534      283.13729     0.74052902
            146      231.52871     0.60516467      195.61749     0.51163569      278.45312     0.73327089
            147      227.37123       0.601692      192.02319     0.50848204      273.60928     0.73101382
            148      221.35016     0.59224388      186.85797     0.50039057       266.5156     0.71886255
            149      216.34204      0.5868939      182.63938     0.49542913      260.47237     0.71237326
            150      211.80442     0.57852046      178.79535     0.49030734      255.03925     0.70532624
            151        207.387     0.57564698      175.03557     0.48586477      249.77861     0.69995059
            152      202.92392     0.56780971      171.10236      0.4788367      244.71237     0.68978337
            153      199.35858     0.57708616      168.14024     0.48482342       240.3348     0.70604868
            154      196.26738     0.55771022      165.48763     0.47140145      236.69683     0.68044145
            155      191.06954     0.55327688      161.14172     0.46702987      230.36174     0.67577179
            156      188.37991     0.54795384      158.77368     0.46182221      227.30321     0.66648561
            157      184.69183     0.54158515      155.56943     0.45621102      223.03194     0.65904162
            158      181.27538     0.53680579      152.72196     0.45237209       218.8531     0.65308367
            159      177.02404     0.53048292       149.0557     0.44705113        213.876      0.6462307
            160      174.06802     0.52608148      146.60318      0.4431494      210.24033     0.64054935
            161      170.08719     0.51995286      143.16441     0.43789438      205.59162     0.63351684
            162      168.13208     0.51660424      141.50088     0.43502611      203.26103     0.62967125
            163       164.4537      0.5116155      138.39442     0.43184751      198.83694     0.62614257
            164      160.45411     0.50511169      134.98773     0.42510905      194.07629     0.61537741
            165      158.83709     0.50575977      133.54198     0.42521247      192.27622     0.61828365
            166      156.11634      0.5080732      131.23383     0.42589494      189.02205      0.6219568
            167      152.53699     0.49400049      128.18675      0.4153401      184.75832     0.60377164
            168      149.30323     0.48711611      125.43658     0.40951382      180.90206     0.59424798
            169      147.90486      0.4884637      124.24989     0.41116543      179.23025     0.60059174
            170      145.26085     0.48043265      121.94866     0.40356757      176.17254     0.58675562
            171      143.45613     0.47954368      120.42889     0.40259375      173.99297     0.58610606
            172      139.56905      0.4715415      117.11855      0.3959162      169.36569     0.57675658
            173      137.10267     0.46729848      115.05439     0.39239255      166.36362     0.57203494
            174      134.93076     0.46731851      113.15749     0.39156263      163.86313     0.57289991
            175      132.48659      0.4594722      111.16499     0.38675062      160.79281     0.56439297
            176       130.0972     0.45618949      109.06622     0.38240979      158.06292     0.55865613
            177      128.30818     0.45140072      107.54506     0.37873886      155.92916     0.55288246
            178      126.44079     0.44920778      105.96321     0.37666089      153.68914     0.55089537
            179      125.01399     0.44916538      104.75666     0.37648438      151.97536     0.55212576
            180       122.3518      0.4420109      102.52636     0.37048689      148.73868     0.54153002
            181      119.74402     0.43651625      100.26261      0.3657742      145.71161     0.53471404
            182      118.80922     0.43600733      99.477683     0.36565994      144.57723     0.53592128
            183      116.35707     0.43719591      97.388847     0.36529789      141.65811     0.53803159
            184      113.54425     0.42491215      95.012229     0.35607713      138.27448     0.52145413
            185      112.23431     0.42197463      93.923245     0.35358247      136.66698     0.51734961
            186      111.98022     0.42247737      93.643402     0.35360043      136.47967     0.51958034
            187        109.397     0.41858561      91.479393     0.35046148      133.33868     0.51458119
            188      107.28702      0.4274027      89.658561     0.35564945      130.86919     0.52825704
            189      106.17923     0.41142128      88.740627     0.34437789      129.50427     0.50697087
            190      104.78849     0.40845913      87.503035     0.34154393      127.94433     0.50247668
            191      102.98338     0.40744731      86.042353     0.34176875      125.65685     0.50602687
            192      100.55493     0.40525899      83.953599     0.33804932      122.80051     0.49938801
            193      99.761233     0.40330541      83.280291     0.33646442      121.85082     0.49726991
            194      98.700393     0.40550073      82.348419     0.33755616      120.63885     0.50108222
            195       96.83979     0.39234739      80.805575     0.32772599      118.34755     0.48283956
            196      94.678546     0.39001939      78.984677     0.32559044      115.73776     0.48085372
            197      93.892234     0.39572659      78.309219     0.32939974      114.81148      0.4895899
            198       92.21956     0.38280389      76.883623     0.31946039      112.82141     0.47169097
            199      91.059443     0.38106035      75.925039     0.31801475      111.38631     0.46986163
            200      89.759218     0.37991965      74.786249     0.31661699      109.89402      0.4690482
            201      88.795109      0.3771387      73.981431     0.31429772      108.71614     0.46518434
            202      88.045783     0.37426688      73.324233     0.31202473      107.85745     0.46157615
            203      86.576435     0.39412326      72.061049     0.32650118      106.12678     0.48904553
            204      85.442351     0.36937937      71.170322     0.30846698      104.64205     0.45702823
            205      84.219793     0.36748435      70.109182     0.30618982      103.22183     0.45469507
            206      82.654921     0.39517639      68.782963     0.32524907      101.34514     0.49515122
            207       81.93128      0.3650923       68.15172     0.30355713      100.50909     0.45191221
            208      80.334052     0.35876239      66.781906     0.29845456      98.623174     0.44360141
            209      79.695459     0.35963058      66.295294     0.29902499      97.759688     0.44512037
            210      78.876229     0.35460745       65.56982     0.29503213      96.833393      0.4385481
            211      77.787204     0.35219448      64.668926     0.29301152      95.487755     0.43545959
            212      76.924179     0.35111016      63.952011     0.29228074      94.426589     0.43448647
            213      75.394302     0.34730564      62.623155     0.28923145       92.64974     0.43125556
            214      74.568886     0.34514457      61.909227     0.28681009      91.685758     0.42718301
            215       74.29678     0.34466385      61.630285      0.2862168      91.444797     0.42710724
            216      72.920152     0.34402555      60.511663     0.28545323      89.708011     0.42671133
            217      71.778066     0.33981428      59.553824     0.28205449      88.321031     0.42194243
            218      70.831927     0.33862962      58.759756     0.28092417      87.172169     0.42001642
            219      69.632327     0.33310689      57.794266     0.27720249      85.642631     0.41322799
            220      68.924661     0.33190821      57.194833     0.27677063        84.7933     0.41495223
