#   y_j1-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5              0              0              0              0              0              0
           -4.4              0              0              0              0              0              0
           -4.3              0              0              0              0              0              0
           -4.2              0              0              0              0              0              0
           -4.1              0              0              0              0              0              0
             -4              0              0              0              0              0              0
           -3.9    0.065763333    0.065760045    0.043376665    0.043374497       0.102805     0.10279986
           -3.8    0.065763333    0.065760045    0.056801668    0.056798828    0.076679998    0.076676165
           -3.7    0.065763333    0.065760045    0.054836667    0.054833925    0.080381667    0.080377648
           -3.6     0.26305333     0.13152009     0.20919667     0.10578076     0.34325667     0.17399472
           -3.5     0.65763333     0.20795152       0.471905     0.14988409       0.946875     0.30051989
           -3.4        0.59187     0.19728013     0.48126833     0.16127629     0.74738666     0.25092139
           -3.3        2.17019      0.3777627      1.7290883      0.3032214      2.8147633     0.49421231
           -3.2      2.0386633     0.36613644      1.6647267       0.300835      2.5682117     0.46490234
           -3.1      3.6827467     0.49210048      2.9077767      0.3912752        4.82077     0.64907612
             -3      4.4696983     0.54965882      3.5444567      0.4379063      5.8048167     0.71847674
           -2.9      7.5627833     0.71129635       5.999225     0.56638015      9.8416467     0.93442585
           -2.8       10.31262     0.83676543         8.2665     0.67310852      13.237132      1.0824051
           -2.7       11.97905     0.88794756      9.5100516     0.70854053       15.52829      1.1576964
           -2.6      14.597503     0.99254843      11.551418     0.78833974      18.975632      1.2984351
           -2.5      19.794763      1.1408604      15.835223     0.91762474      25.432753      1.4749462
           -2.4      22.792845      1.3664198      18.167665      1.0927093       29.40335      1.7693276
           -2.3      26.880805      1.3536538      21.603897      1.0911973      34.361157      1.7422212
           -2.2      28.235898       1.366491      22.534868      1.0956146      36.385023      1.7712352
           -2.1       32.67961      1.4835593      25.844495      1.1791578      42.482608      1.9372471
             -2      39.344268      1.6551085       31.39498      1.3265814      50.668085      2.1411885
           -1.9      38.387967      1.5927009      30.558173      1.2737962      49.589102      2.0690138
           -1.8      44.131007      1.7431363      35.208542      1.3946962      56.839433      2.2603319
           -1.7       53.43426      5.3766072       42.62634      4.2688492      68.791842      6.9160291
           -1.6      52.836797      1.8738173      42.525363      1.5155156      67.414437      2.4068325
           -1.5      56.951047      1.9350358      45.661465        1.55953      72.982402      2.4940708
           -1.4      58.244203      1.9613651      46.530052      1.5742089        74.8834      2.5348754
           -1.3       61.24381      2.0290833      48.940137      1.6273345      78.776428      2.6269514
           -1.2      60.914277      2.0091904      48.471303      1.6052273      78.660308      2.6080922
           -1.1      61.200673      2.0269415      49.038567      1.6301365      78.444697      2.6134254
             -1      66.492437      2.1173968      53.076372      1.6954108      85.576618      2.7416451
           -0.9      65.456577      2.0769901      52.351663      1.6688688      84.086996      2.6839065
           -0.8        69.2015      2.3389281      55.400892      1.8634747      88.817017      3.0437156
           -0.7      71.699465      2.1779749      57.315414      1.7459592      92.186728      2.8248563
           -0.6      67.851078      2.1320394      54.170283      1.7068679      87.348308      2.7670063
           -0.5      71.312818      2.1899942      56.966437      1.7551242      91.762822      2.8363361
           -0.4      72.844223      2.1976152      58.204602      1.7636122      93.680117      2.8409209
           -0.3      71.680818      2.1738616        57.1514      1.7409403      92.380285      2.8158683
           -0.2      75.098353      2.2644699      59.739872      1.8065757      97.017128       2.942312
           -0.1       75.21129      2.2320033      60.015185      1.7864009      96.896173      2.8993003
              0      73.951233      2.3573606        58.9765      1.8810627      95.303013      3.0600248
            0.1      71.375565      2.1813219      57.407068      1.7596125       91.16549      2.8064183
            0.2      75.819685      2.2522568       60.40208      1.8000554      97.840865      2.9280547
            0.3      72.725058      2.2509383      58.244567      1.8059134      93.311906      2.9136872
            0.4      72.654077       2.236693      58.094262      1.7917707      93.329485      2.8926243
            0.5      73.184445      2.2188643      58.552955      1.7817858      93.987752      2.8668645
            0.6      70.121113      2.3411651      55.978917      1.8637248      90.304809      3.0490698
            0.7       68.52803      2.1405288       54.71771      1.7152533      88.161202      2.7703265
            0.8      67.883042      2.1148867       54.18988      1.6954697      87.385963      2.7372637
            0.9       64.66691       2.066374       52.07845      1.6727695      82.481076      2.6531205
