#   m_bbZ-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
             96      47.278202     0.27328413      39.672933     0.22968979      57.312818      0.3328192
             97      54.203495     0.29270533      45.527309     0.24615617       65.62727      0.3567022
             98      60.403552     0.30887205      50.707085     0.25961608      73.190128      0.3762357
             99      65.428256     0.32145221      54.927075     0.27014375       79.27788      0.3916805
            100      70.150385     0.33288566      58.952275      0.2811477      84.884487     0.40896864
            101      73.921523     0.34180328      62.075976      0.2873968      89.537086     0.41641987
            102      77.935141     0.35123899         65.517     0.29646008      94.267344     0.43107144
            103      81.487605     0.35887308       68.49002     0.30208951      98.594291     0.43701379
            104      83.131769     0.36236613      69.825837     0.30476256      100.67246     0.44129495
            105      85.642434     0.36789042      71.946457       0.309617      103.69495     0.44891315
            106      87.215866     0.37154387      73.326209      0.3150678      105.49071     0.46056178
            107      88.429131     0.37385615      74.302586      0.3144693       107.0451     0.45541169
            108      90.113122     0.37758739      75.717811     0.31866408      109.08669     0.46384447
            109       90.91069     0.37987548      76.391706     0.31941681      110.04841     0.46333978
            110      91.189114     0.37993087      76.568522     0.31954604      110.49465       0.462945
            111      91.448858     0.38053361      76.818237     0.32005427      110.75455     0.46462503
            112      92.633136     0.38413041      77.779031      0.3228378      112.25659     0.46845619
            113      92.584593      0.3834079      77.737644     0.32221598      112.20018     0.46783132
            114      92.008032     0.38152158       77.26889     0.32100512      111.47756     0.46560211
            115      92.309616     0.38222026      77.504766     0.32134382      111.87692     0.46585272
            116      91.497841     0.38185243      76.848556     0.32094058      110.84785     0.46650772
            117      91.791674     0.38167675      77.040327     0.32068364      111.30968     0.46571644
            118      91.432352     0.38083761      76.717695     0.31993541      110.91466      0.4650372
            119      90.163451     0.37875105      75.675638     0.31811126      109.33542     0.46290862
            120      90.449762     0.37926638      75.883669     0.31836521      109.74442     0.46322522
            121      89.498874     0.37642828      75.073342     0.31613452      108.61595     0.45940505
            122      89.055195     0.37842473      74.712009     0.31938227      108.05853     0.46753462
            123      88.145112     0.37548623      73.913057     0.31495594      107.02263     0.45935527
            124      87.371402     0.37395464      73.201873     0.31353642      106.20137     0.45788499
            125      86.793971     0.37429673      72.759154     0.31377686      105.42323     0.45862766
            126      85.838837     0.37256898      71.932865     0.31216144      104.31099     0.45704871
            127      84.911946     0.36989914      71.161151     0.31000022      103.17801     0.45288659
            128      84.906979     0.36878526      71.095147     0.30887231      103.28834     0.45208072
            129      84.187635     0.36678422      70.483858     0.30717284      102.43184     0.44951239
            130      83.053265     0.36344941       69.56598     0.30467806      100.99294     0.44552783
            131       81.39522     0.39864428      68.161088      0.3294709      99.005361     0.49664146
            132      81.154023     0.35983494      67.933331     0.30187832      98.762706     0.44267038
            133      80.330786     0.35843888      67.234119      0.3002126      97.781364      0.4394692
            134      79.670696     0.35788774      66.633748     0.29939563      97.066853     0.43946311
            135       78.64905     0.35838659      65.832528     0.29974013      95.724788     0.44072352
            136      77.441963      0.3504215      64.760161     0.29338342      94.371377     0.42960026
            137      76.911555     0.35283052      64.295353     0.29469472      93.764093     0.43395466
            138      75.827894     0.34866585      63.404247     0.29168604      92.418074     0.42850771
            139      75.626717     0.35021895      63.175242     0.29259155       92.28561     0.43135147
            140      74.281846     0.34363657      62.037339     0.28726189       90.67328     0.42222625
            141      73.014845      0.3514658      60.980699     0.29246908      89.123179     0.43423665
            142      73.057959     0.34158245      61.051787     0.28569503      89.112184     0.42065883
            143       71.55318     0.33756481        59.7366     0.28208942      87.384101     0.41533077
            144      70.883176     0.34205227      59.164492      0.2854289      86.590573      0.4234934
            145      70.283764     0.33552708      58.671465      0.2803125       85.84473     0.41309841
            146      69.438469     0.33293056      57.953836     0.27804354      84.835362     0.40962112
            147      68.442016     0.33126417      57.087487     0.27659652      83.683688     0.40867956
            148      67.456973     0.32893128      56.259443     0.27445299      82.490257     0.40580574
            149      66.240109     0.32616133      55.234272     0.27202046      81.021966      0.4018469
            150      65.302953     0.32200035      54.483208     0.27157598       79.82091     0.40222118
            151      64.286954     0.32495594      53.578521     0.27072813      78.683094     0.40223246
            152      63.845887     0.32058031      53.138397     0.26695463      78.276513     0.39615783
            153      63.074421     0.34372045      52.539081     0.28319269      77.251786     0.43117966
            154       62.06527     0.31520346      51.662877     0.26255098      76.083631     0.38910364
            155       60.99464     0.31573296      50.818588     0.26393438      74.684391     0.39439479
            156      60.516005     0.31381552      50.376119     0.26109161      74.177756      0.3881416
            157      60.164845     0.30986298      50.027354     0.25785352      73.851268     0.38293725
            158      59.061269      0.3082518      49.108014     0.25637664      72.499603      0.3814849
            159      58.321367     0.30634329      48.477959     0.25509639      71.617442     0.38004321
            160      57.685444      0.3047826      47.975064     0.25352168      70.790643     0.37741543
            161      56.564618     0.30037999      46.988488      0.2498313      69.514437     0.37142127
            162      56.452717     0.30058622      46.908672     0.24991486       69.35197     0.37220791
            163      54.932428     0.29763345      45.616197     0.24748207      67.538412     0.36941121
            164      54.023237     0.29439976      44.862491     0.24456535      66.418001     0.36469336
            165      53.886052     0.29973616      44.741109     0.24839326      66.262072     0.37281889
            166      53.625385     0.30969782       44.49434     0.25528376      65.996777      0.3868982
            167      52.456689     0.29287108      43.468427     0.24276359      64.660246     0.36463882
            168       51.52397     0.28792817      42.692645     0.23867968      63.515757      0.3572014
            169      51.311936     0.29259844      42.515072     0.24191106      63.257398     0.36450552
            170      50.750909     0.28526521      42.064255     0.23663613      62.539737     0.35433901
            171       50.55789     0.28819556      41.860312     0.23841125      62.381206     0.35855912
            172      49.174011     0.28082684      40.724258     0.23278403      60.656764     0.34909241
            173      48.441933     0.27912181      40.098588     0.23123398      59.788813     0.34776685
            174      48.254976      0.2850414      39.919795     0.23513758      59.600391     0.35675969
            175      47.491129     0.27623655      39.332801     0.23064738      58.576651      0.3476249
            176      46.660688     0.27542174      38.588216     0.22771177      57.653991      0.3431023
            177      46.191338     0.27150327      38.202944     0.22507142      57.069523     0.33849669
            178      45.924554     0.27149366      37.970466     0.22465654      56.759731     0.33837574
            179      45.695115     0.26995919      37.756001      0.2235982      56.521148      0.3368442
            180      44.669652     0.26856661      36.910334      0.2220037      55.249446     0.33462598
            181      44.083805      0.2657892      36.391627     0.21971539      54.587376     0.33126437
            182      43.687697     0.26712347        36.0726     0.22097415      54.081125      0.3348604
            183      42.567268     0.27271467      35.116219     0.22399215      52.750514     0.34244695
            184      41.895658     0.25913621      34.555779     0.21402007      51.929578     0.32337628
            185       41.64149     0.25734772      34.349999     0.21266411      51.607054     0.32093048
            186      41.792554     0.25917543      34.458631     0.21400984      51.823372     0.32395395
            187       40.83579     0.25817761      33.674844      0.2130428      50.627624     0.32257366
            188      39.703492     0.27513038      32.693997     0.22441783      49.308391     0.34768448
            189      39.789572     0.25298712      32.777247     0.20894642      49.392823     0.31689058
