#          y_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
           -1.6      5530.1054      19.049142      4627.1034      15.947217      6727.5548      23.364121
           -1.5      5633.3017      19.276747      4708.9188      16.124928      6861.5046      23.666164
           -1.4      5740.4208       19.40055      4795.0586      16.214302      6997.9134      23.822933
           -1.3      5820.4381      20.144023      4858.2906      16.743522      7101.8624      24.907204
           -1.2      5924.3472      19.655556      4943.5927      16.420304      7231.2223      24.154249
           -1.1      5993.0106      19.786864      4997.8499      16.523167      7320.7808      24.347127
             -1      6050.5081      19.852405      5041.9558      16.572844      7397.8247        24.4593
           -0.9      6107.0814      19.990677      5090.4752      16.852164      7464.2744      25.125459
           -0.8      6179.9877        20.0836      5147.0682      16.755824      7561.0452      24.797459
           -0.7      6249.4799      20.175479       5202.364      16.808867      7650.7106      24.861597
           -0.6      6254.7669       20.22013      5204.0235      16.840802      7662.2211      24.956525
           -0.5      6299.4689      20.282081      5240.7822      17.047784      7717.4808      25.426819
           -0.4      6368.5812      20.367937      5297.2428      16.967433      7804.2119      25.151818
           -0.3      6302.8088      20.273832      5241.6664      16.879549       7725.155      25.041091
           -0.2      6375.8057      20.392661      5301.6596       16.97712      7816.0807       25.18891
           -0.1      6380.2786       20.40667      5304.1804      16.989916       7823.549      25.229351
              0      6405.7766      20.479067      5327.1947      17.048014      7851.6058      25.305518
            0.1      6387.0604      20.386227       5307.539      16.958891      7836.1896      25.182044
            0.2      6356.9987       20.39594      5288.7886      16.986342      7787.7832       25.20353
            0.3      6304.9699      20.278034      5244.0297      16.879558       7726.743      25.042341
            0.4      6316.0154      20.316534      5253.8761      16.918104      7739.1176      25.082419
            0.5       6264.177      20.192914      5212.8408       16.82882      7671.9757      24.932442
            0.6      6199.6802      20.112795      5160.8149      16.760126      7590.1079      24.789609
            0.7       6160.223      20.049051       5130.564      16.734662      7536.8144      24.761868
            0.8      6119.2324      19.965151       5095.794      16.646085      7488.0756      24.589581
            0.9      6052.1415      19.987978      5043.5723      16.676154      7399.4277      24.669029
              1      5996.5716      19.785243      5002.1707      16.520205      7322.4336      24.363885
            1.1      5932.6747      19.675775      4947.0689      16.428639      7248.0215      24.192383
            1.2      5836.8787      19.622984      4873.3697      16.402566      7119.5823      24.185908
            1.3      5733.5419      19.388889      4789.5697      16.204983      6989.1158      23.794713
            1.4      5612.9587      19.146476      4693.9583      16.027835      6833.0387      23.477973
            1.5      5544.6721       19.03327      4638.9142       15.94317        6745.85      23.322583
            1.6      5429.0638      18.831383      4544.9069      15.783584      6600.2147      23.040866
            1.7       5329.325      18.748027      4465.9698      15.715728      6470.9131      22.916411
            1.8      5195.5021       18.49388      4357.3156      15.515704      6302.1095      22.597011
            1.9      5103.7052      18.359926      4285.3176      15.432846      6181.3171      22.451349
              2      4932.5573      17.972014      4142.1769      15.108412      5973.1861       21.92139
            2.1      4803.7353      17.752043      4039.7416      14.944842      5806.7225      21.616247
            2.2      4662.2325      17.487968      3922.7585      14.726829      5632.0286      21.259937
            2.3      4502.5191      17.184383      3791.9466      14.481377      5432.5999      20.866578
            2.4       4379.485      16.965933      3690.9846       14.31337      5279.2106      20.584125
            2.5      4183.9955      16.558189      3528.6594      13.977288      5039.0872      20.055392
            2.6      4064.4664      16.402873      3433.2151      13.856692      4885.2952      19.855536
            2.7      3883.3267      15.963209       3281.474      13.501266      4665.2842      19.280948
            2.8      3712.8087      15.666774      3137.1802      13.240034       4460.644        18.9393
            2.9      3528.6893      15.260441      2984.9537      12.913286      4233.5144      18.436108
              3      3354.9964      14.880275      2840.5325       12.61028      4020.3985      17.925164
            3.1      3187.2794      14.518151      2701.8665      12.310737      3813.5769      17.476759
            3.2      3003.4816      14.102562      2546.2787      11.959311      3593.1329      16.970645
            3.3      2807.8326      13.626412      2382.0726      11.564121      3356.0094      16.390861
            3.4      2624.3141      13.158079      2228.2874      11.177515      3133.2374      15.812434
            3.5      2435.1626      12.702165      2067.3098      10.784523      2908.1594       15.25647
            3.6      2270.8917      12.265489      1930.2509      10.423639      2707.6475      14.711185
            3.7      2089.2646      11.787378      1776.0871      10.019725      2490.6803      14.146409
            3.8      1937.9133      11.353266      1647.9693      9.6562045      2309.3262      13.637205
            3.9      1712.2999      10.667408      1455.5885       9.064426      2041.4922       12.79537
              4      1570.2693      10.245612      1336.4903      8.7141687      1869.2074      12.325123
            4.1      1390.7434      9.6149047      1182.6104      8.1829487      1657.6272      11.559666
            4.2      1230.1925      9.0711128      1049.3849      8.5534807      1460.0019      13.079919
            4.3      1092.3134      8.5691917      928.40528      7.2768339      1302.8274        10.2818
            4.4      961.43347      8.2029659      818.44532      6.9865661      1144.4071      9.9329077
            4.5      834.80604      7.6956605      709.92187      6.5102172      995.10845       9.290994
            4.6      696.09627      6.8612714      591.80557      5.8175121      830.08308       8.269187
            4.7      602.96593      6.6328035      512.48655      5.5997076      719.27124      8.0236882
            4.8      502.01574      5.8526873      426.59296      4.9595053      599.12644      7.0506081
            4.9      422.35785      5.8507173      358.74217      4.9211071       504.3534       7.099947
              5      422.35785      5.8507173      358.74217      4.9211071       504.3534       7.099947
