#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         330          0.16518491      0.0196786       0.13534502      0.0143513       0.20434528      0.0280762       -18.06%     23.71%
         335          0.14898028      0.0236338       0.12079213      0.0176600       0.18637063      0.0329923       -18.92%     25.10%
         340          0.12744304      0.0126735       0.10445019     0.00997136       0.15679064      0.0172501       -18.04%     23.03%
         345          0.12414066      0.0449417       0.10237826      0.0319121       0.15169628      0.0651087       -17.53%     22.20%
         350          0.14034569      0.0401456       0.11103314      0.0285073       0.17824059      0.0586840       -20.89%     27.00%
         355         0.097116050      0.0159498      0.081617347      0.0114790       0.11538393      0.0232041       -15.96%     18.81%
         360          0.10100116      0.0117476      0.081105190     0.00853450       0.12791364      0.0169994       -19.70%     26.65%
         365         0.082452545      0.0163733      0.069457856      0.0116720      0.097989450      0.0226844       -15.76%     18.84%
         370         0.082073031      0.0153459      0.065288401      0.0110358       0.10513885      0.0223408       -20.45%     28.10%
         375         0.069693649      0.0160138      0.056951154      0.0115049      0.086487584      0.0232567       -18.28%     24.10%
         380         0.055861107      0.0154017      0.047593501      0.0114945      0.065728586      0.0214694       -14.80%     17.66%
         385         0.050136553      0.0143559      0.040317449      0.0108735      0.063552303      0.0198310       -19.58%     26.76%
         390         0.042174490      0.0215190      0.036184027      0.0153746      0.049456385      0.0311672       -14.20%     17.27%
         395         0.054083288      0.0133628      0.045877915     0.00967941      0.064158026      0.0192445       -15.17%     18.63%
         400         0.025337785      0.0425651      0.023700094      0.0305704      0.026368892      0.0437066        -6.46%      4.07%
         405         0.062921826      0.0115977      0.052522708     0.00847595      0.077667724      0.0166990       -16.53%     23.44%
         410         0.048992321      0.0126453      0.039315868     0.00926377      0.058097013      0.0170915       -19.75%     18.58%
         415         0.054670669      0.0114717      0.043587523     0.00805301      0.069277967      0.0169855       -20.27%     26.72%
         420         0.046127963     0.00684577      0.038453214     0.00559872      0.055255952     0.00928493       -16.64%     19.79%
         425         0.038567588     0.00851257      0.031305056     0.00683959      0.048220197      0.0121273       -18.83%     25.03%
         430         0.049931939      0.0238014      0.039778102      0.0168306      0.062679820      0.0345952       -20.34%     25.53%
         435         0.040220210      0.0100298      0.033341275     0.00770486      0.049005528      0.0136884       -17.10%     21.84%
         440         0.026610172      0.0123620      0.024557031      0.0171679      0.027384714      0.0130300        -7.72%      2.91%
         445         0.027818103     0.00967118      0.021941978     0.00714925      0.035072065      0.0139729       -21.12%     26.08%
         450         0.043751167      0.0196287      0.035027357      0.0154306      0.055833663      0.0258480       -19.94%     27.62%
         455         0.038085056     0.00884822      0.030724654     0.00656355      0.047691673      0.0123411       -19.33%     25.22%
         460         0.020190657     0.00566024      0.017575076     0.00422652      0.023391303     0.00820162       -12.95%     15.85%
         465         0.029280823      0.0137216      0.024875641      0.0110250      0.035332857      0.0172928       -15.04%     20.67%
         470         0.015222998     0.00485673      0.012874713     0.00345539      0.017809640     0.00708892       -15.43%     16.99%
         475         0.014241323     0.00568855      0.011720502     0.00425277      0.017426747     0.00810909       -17.70%     22.37%
         480         0.015015605     0.00518025      0.012950237     0.00382256      0.017248876     0.00733112       -13.75%     14.87%
         485         0.013490196      0.0172658      0.011832024      0.0122333      0.014887542      0.0250383       -12.29%     10.36%
         490         0.018708676     0.00730757      0.016749283     0.00560003      0.020438418      0.0103025       -10.47%      9.25%
         495        0.0093724185      0.0127153     0.0081819939     0.00903758      0.010528077      0.0184366       -12.70%     12.33%
