#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         1.4           3469.0180        27.9002        3099.4670        18.6871        3892.6980        39.8542       -10.65%     12.21%
         1.5           3401.5162        26.4246        3040.6786        19.4032        3819.1254        37.7109       -10.61%     12.28%
         1.6           3301.9529        30.4183        2958.0662        22.0187        3696.9773        44.0027       -10.41%     11.96%
         1.7           3180.1444        22.9915        2857.4498        16.9608        3547.9708        32.7616       -10.15%     11.57%
         1.8           3019.5197        30.5639        2724.1855        21.5249        3349.9000        43.5548        -9.78%     10.94%
         1.9           2963.5795        30.0355        2669.7595        21.5791        3295.3383        43.6980        -9.91%     11.19%
           2           2939.1860        33.0789        2639.5615        23.5245        3283.6040        48.5990       -10.19%     11.72%
         2.1           2792.1815        22.4046        2518.6690        16.4821        3101.7762        32.1235        -9.80%     11.09%
         2.2           2670.4557        26.3489        2414.0460        19.1636        2958.5906        38.0850        -9.60%     10.79%
         2.3           2636.6984        22.8269        2371.2657        16.7882        2945.2065        32.6100       -10.07%     11.70%
         2.4           2482.1440        23.7609        2239.1260        17.1677        2762.8553        34.6754        -9.79%     11.31%
         2.5           2378.5250        22.9584        2149.1499        16.9743        2639.6604        32.6987        -9.64%     10.98%
         2.6           2304.7631        25.0437        2080.3402        18.3501        2562.9549        35.8450        -9.74%     11.20%
         2.7           2169.2349        26.9007        1964.8442        19.4549        2401.4059        38.9146        -9.42%     10.70%
         2.8           2043.7533        25.4079        1854.9912        18.5418        2255.6006        36.4481        -9.24%     10.37%
         2.9           1957.1647        21.9114        1774.8785        16.0695        2164.2232        31.5089        -9.31%     10.58%
           3           1833.0666        21.0705        1667.9729        15.3633        2017.8511        30.4456        -9.01%     10.08%
         3.1           1728.4655        24.1993        1573.7293        17.6408        1900.7025        34.7893        -8.95%      9.96%
         3.2           1675.6474        34.3651        1518.9116        24.3999        1856.3273        50.4825        -9.35%     10.78%
         3.3           1501.4585        24.3692        1372.1370        17.5950        1644.8946        35.3305        -8.61%      9.55%
         3.4           1400.2339        23.2889        1281.7999        16.9205        1529.0271        33.5533        -8.46%      9.20%
         3.5           1265.2608        20.1818        1165.4735        14.6484        1369.7020        29.2083        -7.89%      8.25%
         3.6           1213.1268        16.8537        1112.9756        12.2491        1321.9821        24.4988        -8.26%      8.97%
         3.7           1100.3768        19.0543        1010.5256        13.8225        1197.4687        27.7097        -8.17%      8.82%
         3.8           1054.6945        21.0422        959.84201        15.1881        1164.4396        30.5223        -8.99%     10.41%
         3.9           912.59294        25.4721        844.17628        18.0279        982.33507        37.6830        -7.50%      7.64%
           4           892.91440        20.3003        812.63757        14.6120        984.22320        29.5029        -8.99%     10.23%
         4.1           734.06894        22.0792        679.65515        15.8460        789.66967        32.0906        -7.41%      7.57%
         4.2           717.59595        27.1082        653.56984        19.4410        789.70533        39.2500        -8.92%     10.05%
         4.3           633.19126        19.3578        581.43792        13.7494        687.00234        28.5595        -8.17%      8.50%
         4.4           534.10144        14.8582        491.02100        10.7793        580.69091        21.6090        -8.07%      8.72%
         4.5           498.94316        19.0762        456.85181        13.7383        543.62966        27.5987        -8.44%      8.96%
         4.6           440.86169        13.1202        399.94503        9.44414        487.94107        19.0807        -9.28%     10.68%
         4.7           423.70920        16.8434        377.66195        11.9946        484.48627        25.1065       -10.87%     14.34%
         4.8           333.98729        9.69786        302.54176        6.89614        369.90770        14.4293        -9.42%     10.76%
         4.9           295.42838        15.7412        265.06904        11.3529        330.56299        22.5979       -10.28%     11.89%
