          bin (pT_Wbb)   qTcut           order/list                                                                 dsigma +-            error

         0           5   extrapolation   dNNLO.QCD                                                                   -2662.7569 +-          31.4371
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   extrapolation   NNLO.QT-CS.42                 woVT2                                        -19986.1408 +-          22.9983
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    705.0804 +-           0.4013
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            7578.4204 +-           5.1657
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           11904.8172 +-          20.2900
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -2864.9341 +-           4.5650

         0           5   0.01            dNNLO.QCD                                                              -2684.0308 +-          33.9516
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.01            NNLO.QT-CS.42                 woVT2                                        -20007.4147 +-          26.3314
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    705.0804 +-           0.4013
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            7578.4204 +-           5.1657
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           11904.8172 +-          20.2900
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -2864.9341 +-           4.5650

         0           5   0.05            dNNLO.QCD                                                              -2710.1361 +-          25.7060
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.05            NNLO.QT-CS.42                 woVT2                                        -20033.5200 +-          14.1926
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    705.0804 +-           0.4013
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            7578.4204 +-           5.1657
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           11904.8172 +-          20.2900
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -2864.9341 +-           4.5650

         0           5   0.1             dNNLO.QCD                                                              -2751.8597 +-          24.2361
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.1             NNLO.QT-CS.42                 woVT2                                        -20075.2436 +-          11.3146
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    705.0804 +-           0.4013
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            7578.4204 +-           5.1657
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           11904.8172 +-          20.2900
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -2864.9341 +-           4.5650

         0           5   0.15            dNNLO.QCD                                                              -2787.4065 +-          23.6152
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.15            NNLO.QT-CS.42                 woVT2                                        -20110.7904 +-           9.9152
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    705.0804 +-           0.4013
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            7578.4204 +-           5.1657
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           11904.8172 +-          20.2900
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -2864.9341 +-           4.5650

         0           5   0.2             dNNLO.QCD                                                              -2797.6626 +-          23.3488
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.2             NNLO.QT-CS.42                 woVT2                                        -20121.0466 +-           9.2628
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    705.0804 +-           0.4013
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            7578.4204 +-           5.1657
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           11904.8172 +-          20.2900
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -2864.9341 +-           4.5650

         0           5   0.25            dNNLO.QCD                                                              -2805.6220 +-          23.2749
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.25            NNLO.QT-CS.42                 woVT2                                        -20129.0060 +-           9.0749
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    705.0804 +-           0.4013
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            7578.4204 +-           5.1657
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           11904.8172 +-          20.2900
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -2864.9341 +-           4.5650

         0           5   0.5             dNNLO.QCD                                                              -2857.1397 +-          22.5737
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.5             NNLO.QT-CS.42                 woVT2                                        -20180.5236 +-           7.0854
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    705.0804 +-           0.4013
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            7578.4204 +-           5.1657
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           11904.8172 +-          20.2900
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -2864.9341 +-           4.5650

===================================================================================================================================================

         5          10   extrapolation   dNNLO.QCD                                                                   5066.03664 +-          4.17073
---------------------------------------------------------------------------------------------------------------------------------------------------
