          bin (n_jets)   qTcut           order/list                                                                 dsigma +-            error

         1           2   extrapolation   dNLO.QCD.QT                                                                -8043.86557 +-        949.08825
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   extrapolation   NLO.QT.32                                                                  -8043.86557 +-        949.08825

         1           2   0.01            dNLO.QCD.QT                                                           -8417.25261 +-          2.76456
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   0.01            NLO.QT.32                                                                  -8417.25261 +-          2.76456

         1           2   0.05            dNLO.QCD.QT                                                           -5330.90671 +-          2.01649
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   0.05            NLO.QT.32                                                                  -5330.90671 +-          2.01649

         1           2   0.1             dNLO.QCD.QT                                                           -4179.61958 +-          1.75081
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   0.1             NLO.QT.32                                                                  -4179.61958 +-          1.75081

         1           2   0.15            dNLO.QCD.QT                                                           -3555.66199 +-          1.61128
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   0.15            NLO.QT.32                                                                  -3555.66199 +-          1.61128

         1           2   0.2             dNLO.QCD.QT                                                           -3135.09582 +-          1.51952
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   0.2             NLO.QT.32                                                                  -3135.09582 +-          1.51952

         1           2   0.25            dNLO.QCD.QT                                                           -2821.46010 +-          1.45257
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   0.25            NLO.QT.32                                                                  -2821.46010 +-          1.45257

         1           2   0.5             dNLO.QCD.QT                                                           -1916.91724 +-          1.26851
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   0.5             NLO.QT.32                                                                  -1916.91724 +-          1.26851

===================================================================================================================================================

         2           3   extrapolation   dNLO.QCD.QT                                                                -75810.8798 +-        9494.2788
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   extrapolation   NLO.QT.32                                                                  -75810.8798 +-        9494.2788

         2           3   0.01            dNLO.QCD.QT                                                           -79430.9212 +-           7.4332
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   0.01            NLO.QT.32                                                                  -79430.9212 +-           7.4332

         2           3   0.05            dNLO.QCD.QT                                                           -48392.0488 +-           5.4672
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   0.05            NLO.QT.32                                                                  -48392.0488 +-           5.4672

         2           3   0.1             dNLO.QCD.QT                                                           -36880.9922 +-           4.7838
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   0.1             NLO.QT.32                                                                  -36880.9922 +-           4.7838

         2           3   0.15            dNLO.QCD.QT                                                           -30664.3471 +-           4.4264
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   0.15            NLO.QT.32                                                                  -30664.3471 +-           4.4264

         2           3   0.2             dNLO.QCD.QT                                                           -26484.5516 +-           4.1913
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   0.2             NLO.QT.32                                                                  -26484.5516 +-           4.1913

         2           3   0.25            dNLO.QCD.QT                                                           -23373.3240 +-           4.0199
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   0.25            NLO.QT.32                                                                  -23373.3240 +-           4.0199

         2           3   0.5             dNLO.QCD.QT                                                           -14440.3294 +-           3.5463
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   0.5             NLO.QT.32                                                                  -14440.3294 +-           3.5463

===================================================================================================================================================

