            bin (y_bb)   qTcut           order/list                                                                 dsigma +-            error

        -5        -4.9   extrapolation   dNNLO.QCD                                                                   21.5838718 +-        0.8799900
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   extrapolation   NNLO.QT-CS.42                 woVT2                                          0.1092450 +-        0.5565623
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.7943591 +-        0.0134937
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            8.7697307 +-        0.0651740
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           13.3146701 +-        0.6757367
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -1.4041330 +-        0.0597566

        -5        -4.9   0.01            dNNLO.QCD                                                              21.6901178 +-        0.9713044
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.01            NNLO.QT-CS.42                 woVT2                                          0.2154910 +-        0.6919621
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.7943591 +-        0.0134937
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            8.7697307 +-        0.0651740
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           13.3146701 +-        0.6757367
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -1.4041330 +-        0.0597566

        -5        -4.9   0.05            dNNLO.QCD                                                              21.3510604 +-        0.8069342
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.05            NNLO.QT-CS.42                 woVT2                                         -0.1235665 +-        0.4318821
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.7943591 +-        0.0134937
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            8.7697307 +-        0.0651740
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           13.3146701 +-        0.6757367
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -1.4041330 +-        0.0597566

        -5        -4.9   0.1             dNNLO.QCD                                                              21.3114627 +-        0.7877512
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.1             NNLO.QT-CS.42                 woVT2                                         -0.1631642 +-        0.3948813
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.7943591 +-        0.0134937
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            8.7697307 +-        0.0651740
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           13.3146701 +-        0.6757367
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -1.4041330 +-        0.0597566

        -5        -4.9   0.15            dNNLO.QCD                                                              20.9465804 +-        0.7809465
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.15            NNLO.QT-CS.42                 woVT2                                         -0.5280465 +-        0.3811257
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.7943591 +-        0.0134937
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            8.7697307 +-        0.0651740
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           13.3146701 +-        0.6757367
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -1.4041330 +-        0.0597566

        -5        -4.9   0.2             dNNLO.QCD                                                              21.0974081 +-        0.7723279
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.2             NNLO.QT-CS.42                 woVT2                                         -0.3772187 +-        0.3631386
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.7943591 +-        0.0134937
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            8.7697307 +-        0.0651740
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           13.3146701 +-        0.6757367
        -5        -4.9   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -1.4041330 +-        0.0597566

        -5        -4.9   0.25            dNNLO.QCD                                                              21.0014004 +-        0.7661740
---------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.25            NNLO.QT-CS.42                 woVT2                                         -0.4732265 +-        0.3498599
