            bin (pT_b)   qTcut           order/list                                                                 dsigma +-            error

        70          75   independent     NLO.QCD                                                                     172.159659 +-         0.457154
---------------------------------------------------------------------------------------------------------------------------------------------------
        70          75   independent     LO.22                                                                        61.447952 +-         0.062042
        70          75   independent     NLO.CS.32                                                                   110.711707 +-         0.452925

        75          80   independent     NLO.QCD                                                                     141.650813 +-         0.423307
---------------------------------------------------------------------------------------------------------------------------------------------------
        75          80   independent     LO.22                                                                        49.810572 +-         0.055796
        75          80   independent     NLO.CS.32                                                                    91.840242 +-         0.419614

        80          85   independent     NLO.QCD                                                                     118.207315 +-         0.386065
---------------------------------------------------------------------------------------------------------------------------------------------------
        80          85   independent     LO.22                                                                        40.759945 +-         0.050664
        80          85   independent     NLO.CS.32                                                                    77.447370 +-         0.382726

        85          90   independent     NLO.QCD                                                                     99.2400897 +-        0.3526891
---------------------------------------------------------------------------------------------------------------------------------------------------
        85          90   independent     LO.22                                                                       33.6792458 +-        0.0460599
        85          90   independent     NLO.CS.32                                                                   65.5608440 +-        0.3496686

        90          95   independent     NLO.QCD                                                                     83.8761764 +-        0.3357639
---------------------------------------------------------------------------------------------------------------------------------------------------
        90          95   independent     LO.22                                                                       28.0296235 +-        0.0421646
        90          95   independent     NLO.CS.32                                                                   55.8465528 +-        0.3331059

        95         100   independent     NLO.QCD                                                                     71.1528275 +-        0.3155356
---------------------------------------------------------------------------------------------------------------------------------------------------
        95         100   independent     LO.22                                                                       23.4391281 +-        0.0387154
        95         100   independent     NLO.CS.32                                                                   47.7136994 +-        0.3131515

       100         105   independent     NLO.QCD                                                                     60.8928114 +-        0.2947633
---------------------------------------------------------------------------------------------------------------------------------------------------
       100         105   independent     LO.22                                                                       19.7948303 +-        0.0356031
       100         105   independent     NLO.CS.32                                                                   41.0979810 +-        0.2926052

       105         110   independent     NLO.QCD                                                                     52.2520759 +-        0.2773796
---------------------------------------------------------------------------------------------------------------------------------------------------
       105         110   independent     LO.22                                                                       16.7751070 +-        0.0328471
       105         110   independent     NLO.CS.32                                                                   35.4769689 +-        0.2754278

       110         115   independent     NLO.QCD                                                                     45.3349955 +-        0.2538051
---------------------------------------------------------------------------------------------------------------------------------------------------
       110         115   independent     LO.22                                                                       14.3115220 +-        0.0304134
       110         115   independent     NLO.CS.32                                                                   31.0234735 +-        0.2519763

       115         120   independent     NLO.QCD                                                                     39.0901612 +-        0.2460575
---------------------------------------------------------------------------------------------------------------------------------------------------
       115         120   independent     LO.22                                                                       12.2604817 +-        0.0283689
       115         120   independent     NLO.CS.32                                                                   26.8296795 +-        0.2444166

       120         125   independent     NLO.QCD                                                                     34.0242093 +-        0.2234370
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         125   independent     LO.22                                                                       10.6359403 +-        0.0266822
       120         125   independent     NLO.CS.32                                                                   23.3882690 +-        0.2218381

       125         130   independent     NLO.QCD                                                                     30.0337536 +-        0.2216703
---------------------------------------------------------------------------------------------------------------------------------------------------
       125         130   independent     LO.22                                                                        9.1496553 +-        0.0251948
       125         130   independent     NLO.CS.32                                                                   20.8840983 +-        0.2202339

       130         135   independent     NLO.QCD                                                                     26.1348780 +-        0.2154030
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         135   independent     LO.22                                                                        7.9817257 +-        0.0231380
       130         135   independent     NLO.CS.32                                                                   18.1531523 +-        0.2141567

       135         140   independent     NLO.QCD                                                                     23.1093161 +-        0.1900961
---------------------------------------------------------------------------------------------------------------------------------------------------
       135         140   independent     LO.22                                                                        6.9222887 +-        0.0214922
