           bin (m_Wbb)   qTcut           order/list                                                                 dsigma +-            error

       110         120   0.1             NNLO.QT-CS.42                 woVT2                                         -103.13478 +-          5.08141
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   104.25128 +-          0.17868
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            896.66152 +-          0.65017
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1428.81192 +-          5.43301
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -214.50794 +-          0.85869

       110         120   0.15            dNNLO.QCD                                                              2110.88253 +-          7.19339
---------------------------------------------------------------------------------------------------------------------------------------------------
       110         120   0.15            NNLO.QT-CS.42                 woVT2                                         -104.33426 +-          4.58642
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   104.25128 +-          0.17868
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            896.66152 +-          0.65017
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1428.81192 +-          5.43301
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -214.50794 +-          0.85869

       110         120   0.2             dNNLO.QCD                                                              2111.18905 +-          7.03179
---------------------------------------------------------------------------------------------------------------------------------------------------
       110         120   0.2             NNLO.QT-CS.42                 woVT2                                         -104.02774 +-          4.32856
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   104.25128 +-          0.17868
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            896.66152 +-          0.65017
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1428.81192 +-          5.43301
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -214.50794 +-          0.85869

       110         120   0.25            dNNLO.QCD                                                              2115.57560 +-          7.38762
---------------------------------------------------------------------------------------------------------------------------------------------------
       110         120   0.25            NNLO.QT-CS.42                 woVT2                                          -99.64119 +-          4.88541
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   104.25128 +-          0.17868
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            896.66152 +-          0.65017
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1428.81192 +-          5.43301
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -214.50794 +-          0.85869

       110         120   0.5             dNNLO.QCD                                                              2116.10776 +-          6.62214
---------------------------------------------------------------------------------------------------------------------------------------------------
       110         120   0.5             NNLO.QT-CS.42                 woVT2                                          -99.10903 +-          3.62533
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   104.25128 +-          0.17868
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            896.66152 +-          0.65017
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1428.81192 +-          5.43301
       110         120   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -214.50794 +-          0.85869

===================================================================================================================================================

       120         130   extrapolation   dNNLO.QCD                                                                   1731.22368 +-          8.93419
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   extrapolation   NNLO.QT-CS.42                 woVT2                                          -98.48505 +-          7.34493
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    82.40581 +-          0.15393
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            758.59662 +-          0.60796
       120         130   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           1215.39644 +-          4.94781
