             bin (m_W)   qTcut           order/list                                                                 dsigma +-            error

        50          60   independent     NLO.QCD                                                                     211.344407 +-         0.177660
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   independent     LO.22                                                                        77.994636 +-         0.061378
        50          60   independent     NLO.CS.32                                                                   133.349771 +-         0.166721

        60          70   independent     NLO.QCD                                                                     626.094415 +-         0.330771
---------------------------------------------------------------------------------------------------------------------------------------------------
        60          70   independent     LO.22                                                                       238.445756 +-         0.117616
        60          70   independent     NLO.CS.32                                                                   387.648659 +-         0.309154

        70          80   independent     NLO.QCD                                                                     14142.6331 +-           1.5042
---------------------------------------------------------------------------------------------------------------------------------------------------
        70          80   independent     LO.22                                                                        5554.5635 +-           0.5281
        70          80   independent     NLO.CS.32                                                                    8588.0695 +-           1.4085

        80          90   independent     NLO.QCD                                                                     23074.8136 +-           1.8434
---------------------------------------------------------------------------------------------------------------------------------------------------
        80          90   independent     LO.22                                                                        9123.2425 +-           0.6254
        80          90   independent     NLO.CS.32                                                                   13951.5711 +-           1.7340

        90         100   independent     NLO.QCD                                                                     677.726818 +-         0.344844
---------------------------------------------------------------------------------------------------------------------------------------------------
        90         100   independent     LO.22                                                                       273.453598 +-         0.125572
        90         100   independent     NLO.CS.32                                                                   404.273220 +-         0.321168

       100         110   independent     NLO.QCD                                                                     214.026639 +-         0.182153
---------------------------------------------------------------------------------------------------------------------------------------------------
       100         110   independent     LO.22                                                                        87.678991 +-         0.063816
       100         110   independent     NLO.CS.32                                                                   126.347647 +-         0.170609

       110         120   independent     NLO.QCD                                                                     102.451347 +-         0.131474
---------------------------------------------------------------------------------------------------------------------------------------------------
       110         120   independent     LO.22                                                                        42.451147 +-         0.046717
       110         120   independent     NLO.CS.32                                                                    60.000200 +-         0.122894

       120         130   independent     NLO.QCD                                                                     58.8853778 +-        0.1066818
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   independent     LO.22                                                                       24.6851113 +-        0.0389981
       120         130   independent     NLO.CS.32                                                                   34.2002665 +-        0.0992983

       130         140   independent     NLO.QCD                                                                     37.5692360 +-        0.0902696
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   independent     LO.22                                                                       15.8695299 +-        0.0339452
       130         140   independent     NLO.CS.32                                                                   21.6997061 +-        0.0836440

       140         150   independent     NLO.QCD                                                                     25.5907918 +-        0.0794594
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   independent     LO.22                                                                       10.9053312 +-        0.0302605
       140         150   independent     NLO.CS.32                                                                   14.6854606 +-        0.0734717

