           bin (pT_bb)   qTcut           order/list                                                                 dsigma +-            error

         0          50   independent     LO                                                                          13757.5060 +-           0.6777
---------------------------------------------------------------------------------------------------------------------------------------------------
         0          50   independent     LO.22                                                                       13757.5060 +-           0.6777

        50         100   independent     LO                                                                          1469.48067 +-          0.28693
---------------------------------------------------------------------------------------------------------------------------------------------------
        50         100   independent     LO.22                                                                       1469.48067 +-          0.28693

       100         150   independent     LO                                                                          234.082251 +-         0.105179
---------------------------------------------------------------------------------------------------------------------------------------------------
       100         150   independent     LO.22                                                                       234.082251 +-         0.105179

       150         200   independent     LO                                                                          60.3048657 +-        0.0498068
---------------------------------------------------------------------------------------------------------------------------------------------------
       150         200   independent     LO.22                                                                       60.3048657 +-        0.0498068

       200         250   independent     LO                                                                          20.5426458 +-        0.0278488
---------------------------------------------------------------------------------------------------------------------------------------------------
       200         250   independent     LO.22                                                                       20.5426458 +-        0.0278488

       250         300   independent     LO                                                                          8.37956963 +-       0.01761724
---------------------------------------------------------------------------------------------------------------------------------------------------
       250         300   independent     LO.22                                                                       8.37956963 +-       0.01761724

       300         350   independent     LO                                                                          3.90843398 +-       0.01306583
---------------------------------------------------------------------------------------------------------------------------------------------------
       300         350   independent     LO.22                                                                       3.90843398 +-       0.01306583

       350         400   independent     LO                                                                          1.97060510 +-       0.00850107
---------------------------------------------------------------------------------------------------------------------------------------------------
       350         400   independent     LO.22                                                                       1.97060510 +-       0.00850107

       400         450   independent     LO                                                                          1.06619269 +-       0.00612558
---------------------------------------------------------------------------------------------------------------------------------------------------
       400         450   independent     LO.22                                                                       1.06619269 +-       0.00612558

       450         500   independent     LO                                                                          0.60366659 +-       0.00470910
---------------------------------------------------------------------------------------------------------------------------------------------------
       450         500   independent     LO.22                                                                       0.60366659 +-       0.00470910

       500         550   independent     LO                                                                          0.35958224 +-       0.00365803
---------------------------------------------------------------------------------------------------------------------------------------------------
       500         550   independent     LO.22                                                                       0.35958224 +-       0.00365803

       550         600   independent     LO                                                                          0.21450521 +-       0.00256896
---------------------------------------------------------------------------------------------------------------------------------------------------
       550         600   independent     LO.22                                                                       0.21450521 +-       0.00256896

       600         650   independent     LO                                                                          0.14130149 +-       0.00210423
---------------------------------------------------------------------------------------------------------------------------------------------------
       600         650   independent     LO.22                                                                       0.14130149 +-       0.00210423

       650         700   independent     LO                                                                         0.093701572 +-      0.001778430
---------------------------------------------------------------------------------------------------------------------------------------------------
       650         700   independent     LO.22                                                                      0.093701572 +-      0.001778430

       700         750   independent     LO                                                                         0.058395512 +-      0.001597996
---------------------------------------------------------------------------------------------------------------------------------------------------
       700         750   independent     LO.22                                                                      0.058395512 +-      0.001597996

       750         800   independent     LO                                                                         0.041964102 +-      0.001240115
---------------------------------------------------------------------------------------------------------------------------------------------------
       750         800   independent     LO.22                                                                      0.041964102 +-      0.001240115

       800         850   independent     LO                                                                         0.027777535 +-      0.000834102
---------------------------------------------------------------------------------------------------------------------------------------------------
       800         850   independent     LO.22                                                                      0.027777535 +-      0.000834102

       850         900   independent     LO                                                                         0.018750196 +-      0.000571142
---------------------------------------------------------------------------------------------------------------------------------------------------
       850         900   independent     LO.22                                                                      0.018750196 +-      0.000571142

       900         950   independent     LO                                                                         0.013724608 +-      0.000466780
---------------------------------------------------------------------------------------------------------------------------------------------------
       900         950   independent     LO.22                                                                      0.013724608 +-      0.000466780

       950        1000   independent     LO                                                                        0.0091914880 +-     0.0003131371
---------------------------------------------------------------------------------------------------------------------------------------------------
       950        1000   independent     LO.22                                                                     0.0091914880 +-     0.0003131371

