               10                -nan           -nan
               20                -nan           -nan
               30                -nan           -nan
               40                -nan           -nan
               50                -nan           -nan
               60                -nan           -nan
               70                -nan           -nan
               80                -nan           -nan
               90                -nan           -nan
              100                -nan           -nan
              110                -nan           -nan
              120                -nan           -nan
              130                -nan           -nan
              140                -nan           -nan
              150                -nan           -nan
              160                -nan           -nan
              170                -nan           -nan
              180                -nan           -nan
              190                -nan           -nan
              200                -nan           -nan
              210                -nan           -nan
              220          -1.5618964       0.115674
              230                -nan           -nan
              240                -nan           -nan
              250          -1.5112881       0.138115
              260                -nan           -nan
              270         -0.97029793       0.105208
              280          -1.0677608       0.112787
              290         -0.97701629       0.107589
              300         -0.75113441       0.102927
              310         -0.70954407       0.105902
              320         -0.72596732       0.167625
              330         -0.64590455      0.0918741
              340                -nan           -nan
              350         -0.69255138       0.116882
              360         -0.37709592      0.0698768
              370         -0.36986082      0.0717461
              380         -0.53368997       0.105774
              390         -0.34846798      0.0641399
              400         -0.29441849      0.0721659
              410         -0.29269894      0.0608500
              420         -0.25947706      0.0585574
              430         -0.31256379      0.0707462
              440         -0.23916358      0.0578985
              450         -0.21043987      0.0600661
              460         -0.29796559      0.0720963
              470         -0.10876891      0.0433640
              480         -0.29492916      0.0701707
              490         -0.17761532      0.0560510
