qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    1              0.5                 NLO.QCD                                                              37801.77995 +-         2.07661
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 LO.22                                                                14311.52869 +-         0.61534
independent    1              0.5                 NLO.CS.32                                                            23490.25126 +-         1.98335

independent    1              1                   NLO.QCD                                                              39470.42077 +-         2.20225
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                15558.85047 +-         0.66800
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    1              2                   NLO.QCD                                                              40782.07928 +-         2.32505
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   LO.22                                                                16661.35897 +-         0.71580
independent    1              2                   NLO.CS.32                                                            24120.72031 +-         2.21213

=====================================================================================================================================================

