# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      74.335012     0.57983647      59.046189     0.46144946      95.305465     0.81387413
              1      234.53062      1.3319997      187.37215      1.0505044      298.42345      1.8136258
            1.6      405.33428      2.1929573      325.65195      1.7842839      512.99859      3.7944061
              2      663.18519      2.8556721      534.59474      2.2820168      837.40824      4.5350258
            2.4      1005.3629      5.1519854      813.70161      4.0958104      1271.0945      10.589302
            2.6      1422.1671      6.3311268      1156.5369      5.0458486      1792.5193      15.660275
            2.8       2111.746      7.9706459      1721.0157      6.3184694      2681.7076      21.064455
              3      3001.2013      10.048213      2450.8331      7.8405218      3874.1528      36.923488
            3.2      1698.0036      7.4924887      1383.6488      5.8582976      2217.4838      28.165285
            3.4      1100.6997      5.9931695      897.47574      4.6988988      1420.1264      18.994049
            3.6      682.07388      3.2204157      555.14294      2.5631174      886.34954       9.052775
              4      387.03647      2.3771267      314.58565      1.8905216      511.07216      7.4216314
            4.4      187.96335       1.349458       153.1393      1.0845768      245.00293       2.602746
              5      69.097958     0.79701041      56.238913     0.64518511      87.543742       1.660617
            5.6      69.097958     0.79701041      56.238913     0.64518511      87.543742       1.660617
