#   y_bbZ-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7    0.074510826    0.052684633    0.045144686    0.031922871     0.12917914    0.091339523
           -4.6     0.15420866    0.094372121     0.10352067    0.059106893     0.23910826     0.16459139
           -4.5     0.45489075      0.1521812     0.31235925     0.10374036     0.69751477     0.23945441
           -4.4     0.93663877     0.19202291     0.65247441     0.13490361       1.410623     0.29160616
           -4.3        2.44269     0.32402759      1.7363622     0.22723347      3.5711171     0.49343566
           -4.2      5.7060866      0.4964478      4.1100689     0.34928919      8.2228327      0.7684356
           -4.1      9.7446358      0.6478901      7.1769262     0.47177373      13.690592     0.95040921
             -4      17.247122     0.88738244      12.784401     0.64329333      24.109458      1.3121778
           -3.9      31.726055      1.1650561      23.785523     0.86096467      43.642343      1.7022162
           -3.8      47.404826       1.461308      36.148807      1.1019719      63.800728      2.1330877
           -3.7      67.907097      1.7403624      51.920658      1.3363043      91.156913      2.5637169
           -3.6       101.4637      2.1143843      78.031674       1.603094      135.34809      3.0184784
           -3.5      138.55301      2.4762743      106.89473      1.8755477       184.2049      3.5209826
           -3.4      182.87308       2.832551      141.43038      2.1760152      242.50304      4.0561922
           -3.3      236.47254      3.2327104      183.05093      2.4690517      313.14254      4.5611285
           -3.2      295.74922       3.599611      229.67372      2.7551972      390.16113      4.9886806
           -3.1      366.53885      4.4636842      285.21471      3.3061594      482.60588      6.4868224
             -3      437.87857      4.3874319      342.86116      3.3913672      571.66767      6.1021318
           -2.9      510.29149      4.7395888      399.83747      3.6768564      665.78875      6.5437416
           -2.8       583.6023      5.1420345      458.50147      3.9800906      759.03589      7.1206784
           -2.7      673.29717      5.4867828      531.65678      4.2676852      869.57327      7.6111134
           -2.6      767.66374      6.6465174      605.51288      5.0544522      993.35129      9.4956266
           -2.5      838.82492      6.0955393      663.29633      4.7537965      1082.0471      8.2555985
           -2.4      925.96808      6.4409835      733.24486      5.0368416      1192.8035      8.7339107
           -2.3      988.53172      6.9004243      783.99536      5.4337456      1269.8426      9.3270834
           -2.2      1064.7536      6.8798312      845.13162      5.4022662      1367.1822      9.1988601
           -2.1      1140.7169      7.1484968      906.42889      5.6112055      1461.7994       9.569237
             -2      1226.9212      7.3905502      976.13042      5.8265202      1569.6923      9.8705659
           -1.9      1289.0371      7.6283766      1026.7808      6.0155656      1651.4954       11.60396
           -1.8      1341.6501      7.7811019      1070.4657      6.1389544      1709.4205      10.407887
           -1.7      1399.4494      7.9699483      1113.8795      6.2617703      1788.5307      10.699842
           -1.6      1441.4752      8.0695669      1152.0898      6.4164067      1831.9289      10.958231
           -1.5      1498.8087       8.395055      1198.3516      6.6305812      1903.6702      11.432437
           -1.4      1537.9577      8.4034217       1228.015      6.6624248      1956.5822      11.389413
           -1.3      1576.3883      8.4767564      1259.4317      6.7390636      2003.6048      11.434889
           -1.2      1609.3797      8.5870812      1288.0821      6.9894331      2040.8182      11.613579
           -1.1      1622.1408      8.6778156      1298.7063      7.0144682      2055.4171      12.028853
             -1      1639.1604      8.7923085      1310.5195      6.9458304       2081.261      11.865034
           -0.9      1678.6477      8.7940482      1341.9328      6.9755829      2131.5256      11.836855
           -0.8       1679.822      8.7761099      1340.0897      6.9215411      2138.1738      11.724144
           -0.7      1707.5426      8.8976433      1363.6734       7.040914      2170.4183      11.981519
           -0.6      1702.2549      8.9897876      1360.6396      8.0753722      2161.5472       13.06196
           -0.5      1724.1928      9.1298119      1376.6155      7.1559901      2191.9795      12.369005
           -0.4      1738.8877      9.1414646      1389.0045      7.2006588      2208.9146      12.355719
           -0.3      1725.7656      8.9852521      1376.6468      7.0750063      2195.6568        12.0452
           -0.2      1731.1151      8.9057996      1381.6689      7.0289582      2201.1693      11.928323
           -0.1      1758.5896      9.0259626      1406.2334      7.1571323      2230.4566      12.170118
              0      1723.8511      8.9188368      1377.2433      7.1697959      2189.3488      12.150201
            0.1       1730.702      8.8622777      1381.3639      7.0164248       2200.581      11.830078
            0.2      1726.9882      9.2896707      1378.7972      7.2639388      2195.2217      12.569029
            0.3      1733.5447      8.9184844       1384.862      7.0723482      2202.2204      11.984461
