# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      922.03021      3.7760514      748.51514      2.9560767      1166.7338      12.406566
            0.4       812.3148      2.8614593      659.75643      2.2466538       1046.218      8.9170085
              1      587.17192      2.3755299      477.01385      1.8886132      752.06219      5.7702848
            1.6      363.95557      1.7023196      295.27678      1.3648916      474.89043      4.1000706
            2.3       150.8012     0.86882308      121.96739     0.69567354      192.71277      1.8243836
            3.4      22.292694     0.33528454      17.785609     0.26389058      28.565848     0.47680515
            4.6      22.292694     0.33528454      17.785609     0.26389058      28.565848     0.47680515
