#  pt_bbZ-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.30529142    0.016576884     0.24463878    0.013004774     0.37993256    0.022925921
            420       0.295396    0.016967936     0.23429498    0.013054301     0.37359092    0.024018189
            425     0.26789793      0.0156423     0.21367821    0.011965314     0.33532583    0.023183985
            430     0.27203132    0.016000251     0.21303921    0.012130426     0.35006744    0.022749053
            435     0.27512787    0.016094429     0.21327319    0.012011765     0.35969711    0.022831463
            440     0.22210346     0.01451701     0.17555821     0.01105464     0.28202807    0.020506426
            445     0.25229338     0.03311335     0.19639262    0.022382145     0.32761843      0.0513093
            450      0.2087487    0.014416727     0.16426704    0.010794416     0.26691804    0.021144347
            455     0.20595994    0.013568644     0.16236358    0.010565449     0.26229421    0.018970867
            460     0.17332425    0.013031535     0.13554311   0.0097043208     0.22336921    0.018731818
            465     0.17705185    0.013501009     0.13740684    0.010017691     0.23062776    0.019463774
            470     0.15463827    0.012421218     0.11942142   0.0091293159     0.20296927    0.017925504
            475     0.14740092    0.012174637      0.1167024   0.0091725899     0.18592845    0.017469033
            480     0.14508526    0.011789737     0.11171254   0.0087191823     0.19147726    0.016942339
            485     0.14055516    0.011974715      0.1073745   0.0087233319      0.1872863    0.017469586
            490     0.15283746    0.011973682     0.11974719   0.0091269163     0.19632096    0.017518878
            495     0.13177681    0.010708163     0.12067636    0.020331187     0.13546148     0.01260932
            500     0.14377092    0.023747602     0.11066241     0.01605183      0.1891292    0.036793067
            505     0.12937866    0.010910238     0.10190722   0.0083883364     0.16501482    0.015076021
            510     0.10715508   0.0099915201    0.085514376   0.0077180362     0.13430138    0.014207253
            515      0.1184439    0.010542484    0.088980867    0.007709301     0.16135778    0.015148314
            520     0.11085211    0.010619563    0.089654429   0.0084440358     0.13589615     0.01682257
            525     0.14961728     0.03814254     0.11661435    0.031842958     0.19331921    0.052260538
            530    0.079989015   0.0090203546    0.062062146   0.0066547888     0.10378714    0.013075881
            535    0.095312637   0.0094396817    0.079263892   0.0084898344     0.11199395    0.015264646
            540    0.083363444   0.0086851027    0.066619992   0.0065832492      0.1037685     0.01274179
            545    0.076035984   0.0087935426    0.060758969   0.0064425608    0.094459941    0.012978848
            550    0.061323346    0.007994321    0.048564567   0.0058170324    0.077657598    0.012027449
            555    0.082819349    0.016507116    0.065056946    0.011219961     0.10598252    0.025787633
            560    0.093345748   0.0095635341    0.069896358   0.0070084661     0.12757904    0.013718077
            565    0.061558996   0.0076336683    0.047379573   0.0055705281    0.081075217    0.011134034
            570    0.065846457   0.0078586302    0.051714705   0.0061475881    0.084409213    0.011478611
            575     0.06187124   0.0076473784    0.049451909   0.0057663547    0.076940295    0.010995369
            580    0.060428031   0.0073520414    0.046761654   0.0055224628    0.078959587    0.010386735
            585    0.073057027    0.016125322    0.056168051    0.011112196    0.095999172    0.024517547
            590    0.054210334   0.0067773362    0.041544587    0.005189944    0.071630217   0.0092449353
            595    0.039976476   0.0066603315    0.032627736   0.0048459509    0.048362067    0.010172884
            600    0.050843169   0.0066976971    0.042425473   0.0064837404    0.058821911    0.012045232
            605    0.035147401   0.0063210953    0.028272835   0.0047873264    0.043652951   0.0089569629
            610     0.03973563   0.0063372732    0.032521555   0.0047486047    0.047411496    0.010021603
            615     0.03721626   0.0059890762    0.029715138   0.0046001111    0.046393839   0.0081875672
            620    0.039935374   0.0060737419      0.0302175   0.0044974827    0.053815217   0.0085762336
            625     0.03920996   0.0056740871    0.029460669   0.0042838682    0.053192421    0.007827986
            630    0.039078878   0.0057452079    0.029520689   0.0042950234    0.052575768   0.0080072382
            635    0.031955216   0.0058667695    0.025636693   0.0043723601      0.0394925   0.0082996837
            640    0.024207677   0.0046158422    0.018486634   0.0034128877    0.032117992   0.0065753921
            645    0.038338307   0.0070986348    0.029198031   0.0050568822    0.051096673    0.010474756
            650    0.037404646   0.0060185821    0.028582126   0.0043686224    0.049790492   0.0088025392
            655    0.022250295   0.0042713075    0.016802028    0.003179876    0.030035748   0.0059699647
            660     0.03428309   0.0052919278    0.025508819   0.0039105309    0.047202244   0.0075961517
            665    0.025432303   0.0046848322    0.019719291    0.003525948    0.033005315   0.0065914593
