#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      408.84133      5.4210746      319.83999      3.9903444       586.5088      33.771365
           -4.9      486.14325      5.7610282      381.44556      4.3470424      748.79673       26.46736
           -4.8      560.95149      6.2532614      440.76688      4.6732002      792.05982      38.339566
           -4.7      659.60197      6.8180457      518.71529      5.1454203       1067.689      33.400499
           -4.6      756.62701      7.1582527      593.74948      5.3478397      1170.8724       37.74001
           -4.5       881.0101      7.7862652      690.93159      5.8269284      1347.6602      38.638906
           -4.4      1027.3636      8.5598729      805.58201      6.2769243      1542.5137      41.170736
           -4.3      1143.2455      10.068906      897.55342      7.5490008       1783.522       42.71049
           -4.2      1275.0942      9.5539875      1003.9776      7.1417647      1839.2549      50.631141
           -4.1      1419.0587      10.271878      1114.6773      7.6595732      2177.1129      44.077394
             -4      1570.1274      10.222299      1233.4945      7.6430689       2374.223      52.002146
           -3.9       1744.803      10.902641       1372.831      8.1649681      2701.4578       57.25658
           -3.8      1950.0206      11.359974       1534.976      8.5338057       2966.105       58.76419
           -3.7      2132.7531      11.904825      1680.2547      8.9222506      3160.2404      61.774797
           -3.6      2279.2748      12.344013      1800.2182      9.3263838      3474.9682      64.295481
           -3.5      2479.7255       12.78928      1957.3384      9.6464953       3733.756      62.625223
           -3.4      2664.8809      13.222648      2102.7908      9.9251068      4000.4726      63.029678
           -3.3      2887.0188      13.696636      2279.9035      10.334486      4275.1391      66.455174
           -3.2      3078.4774      14.121795      2431.3127      10.692014      4588.7462      68.338252
           -3.1       3269.077      14.650366      2585.5411      11.239148      4702.1605      69.531406
             -3      3490.7206      15.034339      2760.0519      11.367202      5023.8411      70.417723
           -2.9       3696.726      15.427543      2925.1087      11.666289      5351.8991      76.122608
           -2.8      3889.7499      15.783172      3078.5114      12.120942      5778.3694      77.379673
           -2.7      4074.9393       16.05999      3227.4036      12.242389      5907.9804       77.50832
           -2.6      4295.6963      16.487355       3402.764      12.518012       6156.788      76.165713
           -2.5      4503.0527      16.886963      3568.8829      13.084431      6431.7243      82.127277
           -2.4      4669.5683       16.97731      3701.2544      12.948802      6715.1054      80.706185
           -2.3      4880.8664      17.374322      3868.0228      13.352546      7018.9201      80.830394
           -2.2       5036.842      17.564953       3997.838       13.48303        7233.25      84.545886
           -2.1      5242.5235       17.92403      4154.2183      13.611083      7628.9293      84.587596
             -2       5402.919      18.259323      4282.4074      13.961506      7831.4799      86.642309
           -1.9      5560.8469      18.484895      4411.9921      14.128444      7982.2839      83.285089
           -1.8      5737.7842       18.77527      4558.3276      15.206149      8177.5324      82.538379
           -1.7      5885.2184      18.810548      4673.8357      14.787547      8364.5917      83.304255
           -1.6      6037.1035      19.051154      4789.3706      14.587915      8674.5249      84.093176
           -1.5      6143.0535      19.121263      4877.2305      14.671034      8691.0516      85.308482
           -1.4      6279.1022      19.366921      4989.4083      14.868292      8812.1611      85.880004
           -1.3      6427.9332      19.447589      5102.9708       14.91669       9125.666      83.469768
           -1.2      6548.1655      19.605926      5199.1215      15.039188      9381.0587      84.727191
           -1.1      6612.9007      19.754433       5257.258       15.20459      9273.1225      89.414637
             -1       6751.549      20.016272      5365.9289      15.360827       9401.665      89.631913
           -0.9      6802.1872      20.076211      5405.4123      15.413977      9451.2377      86.882558
           -0.8      6906.2287      20.115078       5490.805      15.528693      9801.9977      88.647578
           -0.7      6973.2861      20.222439      5544.3584      15.605546      9840.9932      86.531951
           -0.6      6982.4669      20.195235      5550.9628      15.642472       9776.782      85.336931
           -0.5      7049.7344      20.356078      5606.8785      15.718484      9776.0974      90.026322
           -0.4      7138.3331      20.337227      5670.3089      15.686237      10085.015      84.068777
           -0.3      7139.1925      20.370453      5682.1298      15.769044      9919.9202      88.496487
           -0.2      7174.6368      20.486966       5707.992      15.806277      9954.1517      88.709524
           -0.1      7199.7873      20.549965       5720.211      15.733043      10106.964      89.001251
              0      7152.0476      20.477433        5687.28      15.787456      9923.7166      94.649974
            0.1      7125.6457      20.410626      5662.2511      15.631014      9940.9547      87.191845
            0.2      7166.7693      20.519267       5691.424      15.775561      10171.806        90.3307
            0.3      7132.1561      20.421477      5668.1664      15.782245      9958.3225      88.139304
            0.4      7089.4521      20.511462      5636.7874       15.70869      9970.9867      89.919314
            0.5      7018.1868      20.282286      5581.0647       15.65273       9868.353      89.998149
            0.6      6993.1559      20.274162       5560.794      15.688387      9820.7634      89.720783
            0.7      6861.5202      20.155445      5459.4189      15.505075      9530.9318      84.203241
            0.8      6813.5927      19.986498      5415.5397      15.372992      9557.5784      85.255267
            0.9      6719.3469      20.058901      5341.8604      15.380276      9447.3339      89.860017
              1      6644.6722      19.845792      5276.4674      15.235318      9452.5669      86.057221
            1.1      6542.5076      19.805135      5192.6447      15.156086       9157.926      88.478307
            1.2       6394.169      19.727247      5081.7509      15.012595      8929.2887      85.487766
            1.3      6291.2899      19.305804      4990.4716      14.767469      8903.9564      88.102367
            1.4      6160.1476      19.263409      4890.9214      14.740207      8833.3646      89.723685
            1.5      6002.2104      19.119086      4771.0548      14.794546      8416.1401      82.968533
            1.6      5861.6154      19.107959      4650.2235      14.524045      8398.1613      84.808954
            1.7      5719.6565      18.647032      4535.4315      14.196156      8183.5797      84.845349
            1.8      5564.2189      18.447595      4415.1675      14.080008      7892.4422      87.579933
            1.9       5389.808      18.262906      4277.5242      14.146698      7697.9537      89.813519
              2       5243.153       18.08266      4154.5213        13.7124      7542.3173      85.080378
            2.1      5042.9939      17.666476      3996.2065      13.440893      7280.1776      81.668971
            2.2       4857.779      17.497946      3851.4067        13.2796      7057.2751      84.021921
            2.3      4644.0728      17.147625      3681.1188      12.973615      6682.1323      81.975519
            2.4      4463.5325      17.026417      3536.4366      13.025325      6397.4737      78.949278
            2.5      4293.0156      16.701986      3399.4657      12.607521      6225.8583      84.174767
            2.6      4086.2426      16.964927      3234.6494      12.801183      5868.3697      80.401781
            2.7      3893.6513       15.93002      3079.6117      12.053154      5624.8311      73.918229
            2.8      3684.0885      15.616727      2917.3445      11.915573      5430.0266      77.436827
            2.9      3475.5559      15.094346      2747.5605      11.334632      4990.4762      78.931746
              3      3306.6502      14.725467      2607.2014      11.065466      4881.7589      71.717176
            3.1      3072.8693      14.346101      2425.6962      10.736783      4623.1543      71.638178
