#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      4.1280975    0.027646219      3.3133154    0.021808171      5.2164576    0.041960995
             50      3.1557763    0.027750715      2.5355635    0.021777669      4.0381836    0.088830082
             75      2.7286127    0.026760594      2.2079457    0.020961489      3.5488787    0.069218803
            100      1.9067489    0.022721673      1.5503843    0.017938188       2.508382    0.062320583
            125      1.2088919    0.018407073     0.99173017    0.014531533      1.4652576    0.032772752
            150     0.67047884   0.0096410057     0.55258103   0.0077046093     0.83665717    0.014328275
            200     0.33664887   0.0069531062     0.28084886   0.0056955315     0.41203242    0.009800075
            250     0.18272644   0.0054907159     0.15187395   0.0043966123     0.22373293   0.0073957243
            300    0.087557804   0.0025879278    0.073355622   0.0020999493     0.10704542   0.0035289175
            400    0.034237882   0.0017017085    0.028585667   0.0013452048    0.041640336    0.002301663
            500    0.034237882   0.0017017085    0.028585667   0.0013452048    0.041640336    0.002301663
