#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      15.340268    0.065507098      12.410784    0.052161563        19.6589     0.17591923
             20      34.818513     0.14360992      28.208322     0.11273462      45.676434       0.414002
             30      40.552082     0.16124306       32.75572     0.12574195       54.70806     0.62170658
             40      35.709157     0.15094023      28.886424     0.11773329      47.084561     0.53778967
             50      28.883708     0.10883256       23.44991     0.08602267      37.195108     0.33799223
             65      22.786984    0.094225789      18.517266    0.074805851      28.795766     0.25749604
             80      17.152722    0.080820986      13.966893    0.064239754      21.568631     0.21506288
             95      12.876977     0.06947391      10.480107    0.055298523      16.042103     0.14932611
            110      9.2589397    0.050968143      7.5455284    0.040573695      11.499289    0.074578546
            130      5.6887924     0.02959876      4.6271014    0.023718723      7.1153615    0.041188956
            165      3.1187398    0.021686147      2.5217946    0.017308862      3.9018127      0.0313325
            200      1.7598646    0.015318296      1.4142353    0.012105881      2.2235535    0.020895758
            240     0.86703034   0.0089377533     0.69314858   0.0069848314        1.10051    0.012128062
            300      0.1563361   0.0017056604     0.12474939   0.0013548394     0.19820313   0.0024881183
            600      0.1563361   0.0017056604     0.12474939   0.0013548394     0.19820313   0.0024881183
