# pt_bbZ-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            410     0.31875346    0.017452339     0.25132848    0.013201896     0.40763457    0.025075428
            415     0.30373088    0.016540111     0.24334638    0.012972328     0.37806656    0.022887644
            420     0.29265216    0.016834834     0.23228534    0.012967012     0.36973828    0.023817219
            425     0.26556307    0.015584091     0.21191323    0.011921507     0.33216323    0.023111736
            430     0.26820289    0.015908404     0.21025506    0.012065925     0.34463388    0.022617644
            435     0.27206512    0.016021426      0.2108944    0.011952364     0.35570222    0.022742889
            440     0.22057211    0.014476573      0.1744039    0.011024418      0.2799489    0.020453522
            445     0.25076201    0.033095642     0.19519264    0.022366057     0.32564377    0.051290299
            450     0.20645151    0.014355606     0.16252976    0.010747555     0.26381956    0.021068109
            455     0.20517596    0.013545979     0.16174382    0.010547258     0.26129378    0.018944472
            460     0.17102718    0.012963882     0.13379581   0.0096517034     0.22028837    0.018647059
            465     0.17628616    0.013479282     0.13678797   0.0099985584     0.22968876    0.019441113
            470      0.1538726      0.0123976     0.11884089   0.0091108411     0.20193888    0.017895868
            475     0.14510388    0.012102196     0.11499461   0.0091193579     0.18276294    0.017372931
            480     0.14417655    0.011754669     0.11111054    0.008698377     0.19005687    0.016882699
            485     0.13978949    0.011950214     0.10679143   0.0087038257     0.18625695    0.017439237
            490     0.15104447     0.01190494     0.11825815   0.0090651039     0.19420665    0.017452292
            495     0.13177681    0.010708163     0.12067636    0.020331187     0.13546148     0.01260932
            500     0.14300526    0.023735257      0.1101707    0.016044298     0.18788666    0.036772082
            505     0.12784728    0.010856374     0.10069163   0.0083441819     0.16308416    0.015014075
            510     0.10715508   0.0099915201    0.085514376   0.0077180362     0.13430138    0.014207253
            515     0.11767821    0.010514644    0.088331457   0.0076819029     0.16048264    0.015123017
            520     0.10932073    0.010564217    0.088464114   0.0084013014      0.1338927    0.016761144
            525      0.1486987    0.038099079     0.11570563     0.03181372     0.19246579    0.052210416
            530    0.079989015   0.0090203546    0.062062146   0.0066547888     0.10378714    0.013075881
            535    0.093780216    0.009377289    0.078122356   0.0084511773     0.10988517    0.015191126
            540    0.083363444   0.0086851027    0.066619992   0.0065832492      0.1037685     0.01274179
            545    0.075270315   0.0087601484    0.060179697   0.0064164685    0.093440393    0.012938745
            550    0.060557677   0.0079575736    0.047971358   0.0057867093    0.076650315      0.0119852
            555    0.082819349    0.016507116    0.065056946    0.011219961     0.10598252    0.025787633
            560    0.093345748   0.0095635341    0.069896358   0.0070084661     0.12757904    0.013718077
            565    0.062619941     0.00755959    0.047986187   0.0055374036    0.082931398    0.010978235
            570    0.065846457   0.0078586302    0.051714705   0.0061475881    0.084409213    0.011478611
            575     0.06187124   0.0076473784    0.049451909   0.0057663547    0.076940295    0.010995369
            580    0.059660905   0.0073119142    0.046121516   0.0054852402    0.078050118    0.010346845
            585    0.072242893    0.016104762    0.055537146    0.011094277    0.094929132    0.024494192
            590    0.054210334   0.0067773362    0.041544587    0.005189944    0.071630217   0.0092449353
            595    0.039210787   0.0066161768    0.032071634   0.0048139403    0.047277402    0.010114899
            600      0.0500775   0.0066537926    0.041772402   0.0064507698    0.057986635    0.012016239
            605    0.035147401   0.0063210953    0.028272835   0.0047873264    0.043652951   0.0089569629
            610     0.03973563   0.0063372732    0.032521555   0.0047486047    0.047411496    0.010021603
            615     0.03721626   0.0059890762    0.029715138   0.0046001111    0.046393839   0.0081875672
            620    0.039935374   0.0060737419      0.0302175   0.0044974827    0.053815217   0.0085762336
            625     0.03920996   0.0056740871    0.029460669   0.0042838682    0.053192421    0.007827986
            630    0.039078878   0.0057452079    0.029520689   0.0042950234    0.052575768   0.0080072382
            635    0.031955216   0.0058667695    0.025636693   0.0043723601      0.0394925   0.0082996837
            640    0.024207677   0.0046158422    0.018486634   0.0034128877    0.032117992   0.0065753921
            645    0.038338307   0.0070986348    0.029198031   0.0050568822    0.051096673    0.010474756
            650    0.037404646   0.0060185821    0.028582126   0.0043686224    0.049790492   0.0088025392
            655    0.022250295   0.0042713075    0.016802028    0.003179876    0.030035748   0.0059699647
            660     0.03428309   0.0052919278    0.025508819   0.0039105309    0.047202244   0.0075961517
            665    0.024666634   0.0046218462     0.01910124   0.0034713628    0.032074272   0.0065253797
            670    0.031730532   0.0058680504    0.024285964   0.0042305298     0.04196565   0.0085916039
            675    0.021417283   0.0047066294    0.016259685   0.0033739945    0.028726122   0.0070657427
            680    0.029593464   0.0070084642    0.022120059   0.0048526059    0.040302047    0.010678242
            685    0.027758524   0.0050969834     0.02106941   0.0036139795    0.037324272    0.007724945
            690    0.023342834   0.0045070386    0.017276693   0.0033180089    0.032346595   0.0063514545
            695    0.023242972   0.0042525541    0.017521713    0.003224765    0.031304036    0.005826713
            700    0.027320689   0.0050426546    0.022109705   0.0040010966    0.032870315   0.0069299746
            705    0.020872027   0.0042997505    0.016429764   0.0032737841     0.02642498    0.005918095
            710    0.014063366   0.0034917101    0.011328524   0.0027602377    0.017243169   0.0045941381
            715     0.02329752   0.0063578138    0.017532028   0.0042732425     0.03171239    0.010273161
            720    0.029465807    0.017849227    0.021096971    0.011879225    0.042226024    0.027803625
            725    0.016173602    0.003530109    0.012607402   0.0027902672    0.020725453   0.0046791129
            730    0.013501752   0.0043703344    0.010673268   0.0031464781    0.017084232   0.0064128744
            735    0.013032224   0.0036751901   0.0098698623   0.0026504255    0.017545098   0.0053643971
            740    0.015227815   0.0037899345    0.011798878   0.0028413828    0.019890138   0.0053307516
            745    0.010626654   0.0033449306   0.0093724586   0.0025787594    0.011073228   0.0046412255
            750   0.0096843701    0.004020611   0.0084226379   0.0028910331    0.010611673   0.0053984876
            755    0.015273996   0.0040254761    0.011027205   0.0028603321    0.021777657   0.0058860538
            760    0.010982716   0.0031380093   0.0096115551   0.0027378831    0.011598386   0.0041162875
            765    0.017746457   0.0038563551    0.013698898   0.0029369197    0.023062933   0.0055821962
            770    0.017798779    0.004985878    0.012651358   0.0034593833    0.025793662   0.0074611524
            775   0.0098035236   0.0032545862   0.0073522244   0.0023279288    0.013343799   0.0047943887
