#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      41746.264      9.4353043       33099.83      6.6640065      59833.485       71.97567
              1      41746.264      9.4353043       33099.83      6.6640065      59833.485       71.97567
