#    pt_j2-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1259.8094      3.7543356      968.14562      2.6216184      2764.7473      36.705077
              1      2014.8183      4.4700634      1562.5597      3.2119253      4244.1252        29.0848
              2      2110.0967      4.0073833       1662.334      2.9792536      3224.1555      10.194619
              3      2056.3872      3.6638083      1629.9277      2.7933866      2858.9515      6.5705693
              4      1934.0425      3.4155669      1538.5047      2.6393697      2605.1307      5.9022855
              5      1773.7451       3.178985      1413.3159      2.4702155      2349.0922      5.1197626
              6      1626.1015      2.9887507      1297.7843      2.3447198      2128.9707      4.4312818
              7      1488.3523      2.8158214      1188.1213      2.2023289      1934.7857      4.0232714
              8      1358.6051      2.6669784      1085.7793      2.0937618      1757.2458      3.8125054
              9      1244.7092      2.5383455      995.16418      2.0554818      1605.3008      3.5133086
             10      1135.1929      2.3991804      907.29624      1.8903401      1461.1131      3.3307735
             11      1034.1207       2.279434      826.92657      1.8038572      1328.2077      3.1124206
             12      952.42851      2.1766947      761.87262      1.7212516      1222.3658      2.9947147
             13      874.43564      2.0816646      699.63009      1.6742714      1120.6559      2.8658358
             14      799.79127      1.9807511      639.18765      1.5693599      1026.2341      2.7208096
             15        741.284      1.9017179      592.64191      1.5226139      949.07676      2.5855742
             16      679.44498      1.8272146       543.3864      1.4562588      869.51142      2.4633969
             17      629.55281      1.7611138      503.59949      1.4130737      805.19028      2.3909208
             18      583.12877         1.6819      466.06926      1.3305442      746.23593      2.2806768
             19      539.53195      1.6069991      431.04117      1.2770246      690.34346      2.1965499
             20      500.93999      1.5451356      400.19565      1.2260983      640.83771      2.0773617
             21      464.86851      1.4887429      371.31752      1.1854784      595.32813       2.073042
             22      434.16146      1.4344828      346.56762      1.1399485      555.59841       1.932047
             23      405.04508      1.3875216      323.29775      1.0990482      518.34969      1.8628431
             24      375.41679      1.3311236      299.94069      1.0621326      479.76173       1.813072
             25      353.41525      1.3225485      281.88772      1.0679132      452.86754      1.8025961
             26      328.52762      1.2435754      262.03918     0.98546525      420.70153      1.6704108
             27      308.35624      1.2013297      245.72953     0.94918236      395.18239      1.6048482
             28      288.77071       1.161545      230.36742      0.9235767      369.53664      1.5614956
             29      268.97106      1.1229901      214.38376     0.88788086      344.61182        1.50662
             30      254.85265      1.0908305      202.98324     0.86293986      326.79658      1.4624482
             31      238.39373      1.0553252       189.9753      0.8387265      305.46107      1.4310763
             32      227.36359      1.0241814      181.12966     0.81277588      291.42661       1.376702
             33      212.33701     0.99209676      169.11046     0.78863041      272.16731      1.3418268
             34      199.50112     0.96815415      158.80546     0.76486707      256.25558      1.3487964
             35      189.69857     0.93999141      150.94842     0.74318742      243.42574       1.264751
             36      178.10205     0.90879069      141.40842     0.71557321      229.41623      1.2230842
             37      170.26856     0.88443506      135.13859      0.6963147      219.23822      1.1822999
             38        158.745     0.85572491      126.31169     0.67632128      203.81663      1.1501772
             39      151.87041     0.83659096      120.55001     0.65840517      195.53787      1.1211248
             40      144.14923     0.81578965      114.37677     0.64548482      185.74559      1.0900981
             41      137.00868     0.79338477      108.84273     0.62561304      176.18763      1.0646243
             42      129.31215     0.77217563      102.78189     0.60977706      166.16104      1.0384712
             43       123.3564     0.75240104      97.752137     0.59271465      159.14749      1.0038177
             44      116.68706     0.73005923      92.657262     0.57588128      150.08478     0.97906937
             45      111.50238     0.71576078      88.325892     0.56332086      143.91336     0.96329562
             46      104.75416     0.69454014      83.092182     0.54739568      134.98771     0.93239803
             47      100.44426     0.68496737      79.686673     0.53430819      129.51517     0.98536866
             48      95.193525     0.66004914      75.507031      0.5199572      123.07259      1.0036275
             49      92.931659     0.65465833      73.718607      0.5158757      119.66363     0.88173366
             50      92.931659     0.65465833      73.718607      0.5158757      119.66363     0.88173366
