#pt_bbZ-mbbZ150        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      771.10349      1.3526414      580.06618     0.91758175      1935.2536      12.903914
              5      752.16963     0.98643572      588.15095     0.73936677      1056.1326      1.8421737
             10      543.51325     0.76690659      428.06496     0.59096444       719.2887      1.1786871
             15      413.71581     0.64502298      326.93995      0.5010351      538.07368     0.92392521
             20      325.32934     0.56057493      257.44628     0.43667373      419.78404     0.77624862
             25      259.51449      0.4932802      205.40736     0.38596066      333.84558     0.68678865
             30      210.15806     0.44229693      166.49896     0.34861195      269.73643     0.60947212
             35      170.72666     0.38841685      135.16921      0.3045072      219.21634     0.52711923
             40       140.4868     0.34909548      111.21799     0.27499942      180.26235      0.4750356
             45      115.45955     0.31333648      91.268862      0.2451183      148.46377     0.42355458
             50       96.40654     0.28429663      76.250426     0.22280313      123.81992     0.38434817
             55      79.879411     0.25839825      63.200219     0.20282729      102.54619     0.35021129
             60       66.37725     0.23440207      52.515434      0.1838699      85.285264     0.33389507
             65      55.447333     0.21410334      43.883635     0.16842318      71.137724     0.29184152
             70      46.036584     0.19452137      36.463602     0.15282731      59.014326      0.2645707
             75      38.877909     0.17859011      30.794875     0.14393253      49.819556     0.25319221
             80      32.839017     0.16411659      26.016601     0.12864479      42.063818      0.2216269
             85      27.476078     0.14987567      21.728048      0.1184968      35.284297     0.20644428
             90      23.418019     0.13846049      18.600599     0.11203579      29.900083     0.19779901
             95      19.816246     0.12719646      15.687913     0.10005304      25.414388     0.17295448
            100      16.606868     0.11624993      13.155077    0.091510907      21.284955     0.15828885
            105      14.095956     0.10744821      11.161944    0.084195881      18.073691     0.14555958
            110      12.218527      0.1000101      9.6935947    0.078601517       15.62606     0.13540504
            115      10.370362    0.092469551      8.2332583    0.072511625      13.248578     0.12647855
            120      8.9580194    0.085573221      7.1018671    0.067319264      11.465241     0.11610793
            125      7.6817188    0.079535793       6.091188    0.062257509      9.8286197     0.10756449
            130      6.5792278    0.073612708      5.2336462    0.057829336      8.3863539      0.1007684
            135       5.615082     0.06807933      4.4630539    0.053427015      7.1862757    0.092936408
            140      4.6462439    0.062173489      3.6995912    0.048787075      5.9191645      0.0863988
            145      4.2153106    0.058983101      3.3377067    0.046009754      5.4193837    0.080309437
            150      3.5523628    0.054160003      2.8257257    0.042617685      4.5322541    0.074645763
            155      3.1407039    0.051108411       2.495283    0.040319061      4.0119293    0.071440141
            160      2.6836218    0.047102978      2.1421475    0.037535128      3.4046461    0.066793513
            165      2.3876868    0.044072111      1.9041892    0.035558274      3.0324511    0.064076478
            170       2.018199     0.04079519      1.6013678    0.032449408      2.5821489    0.057238659
            175      1.8441354    0.039068699      1.4573005    0.030541641      2.3694662    0.054212972
            180      1.5383938    0.035674777      1.2081897     0.02749433      1.9941942    0.049501711
            185      1.3530672    0.033758002      1.0793523     0.02654613      1.7129682    0.047976068
            190      1.1807377    0.031354654     0.93558074     0.02530401      1.5110936    0.045906166
            195      1.1040883     0.03013083     0.87292832    0.023854294      1.4158217    0.043380382
            200     0.95190914    0.028225663     0.74971638    0.021674847      1.2269169    0.039560529
            205      0.7938128    0.025607771     0.62592167     0.01991676       1.021268    0.036240135
            210      0.7040524    0.024233819     0.55114712    0.018629845     0.91542958    0.033619771
            215     0.59453571    0.022447418     0.47264088     0.01765577     0.75571243    0.030974681
            220     0.56527268    0.021725229     0.44320604    0.016685611     0.73230474    0.030285069
            225     0.50168329    0.021665268     0.39340076    0.016424437     0.64906649    0.030821582
            230     0.48136656    0.020006022     0.37283049    0.015255849      0.6339189    0.027915848
            235     0.37534266    0.017935698     0.29727841    0.013708089     0.47927834    0.025257868
            240     0.36821114     0.01763886     0.28599748    0.013382396     0.48266671    0.024671106
            245     0.32100319    0.016527948      0.2522553    0.012571093      0.4137726    0.023397364
            250     0.29335612    0.015699622      0.2290138    0.012016431     0.38158619    0.022062849
            255     0.26631943    0.014901842     0.20897589    0.011413562     0.34369142    0.021025616
            260     0.24103557     0.01443124     0.19110039    0.011050723     0.30663362    0.020860641
            265     0.21694242     0.01345978     0.16922409    0.010395045     0.28191282    0.018717846
            270     0.19208272    0.013053158     0.14972122   0.0098242961     0.25025043    0.018505529
            275     0.17444085    0.012965134     0.13837323   0.0097198773      0.2216231    0.018859227
            280     0.15514254    0.011235876      0.1198922   0.0085865351     0.20424626    0.015667612
            285     0.15355248    0.011128801      0.1173534   0.0084680253     0.20598592    0.015551458
            290      0.1367035    0.011062615     0.11023626    0.008485212     0.16869158    0.015828215
            295     0.11408772    0.010798667     0.08854788   0.0079331573     0.14947331     0.01574805
            300    0.098902028   0.0088183317    0.073957953   0.0065914853     0.13615215    0.012427224
            305     0.09417254   0.0093638717    0.072495339   0.0067908016     0.12421496    0.014026163
            310    0.080224095   0.0084518768    0.062710945   0.0063484099     0.10400835    0.012045988
            315    0.073315611     0.00798216    0.056983236   0.0059202987    0.096002795    0.012095644
            320    0.062465532   0.0075139999    0.050735648   0.0059621437    0.076552206    0.011200948
            325    0.068527185   0.0078110902    0.053133311   0.0058621536    0.090046693    0.011149147
            330     0.04220689    0.006559983    0.038186972   0.0050476201    0.043459193    0.011458042
            335    0.064479528   0.0074379496    0.050297303   0.0058559284    0.083394882    0.010792808
            340    0.041787559   0.0062810537    0.035478396   0.0047154455    0.047614114   0.0092647673
            345    0.042951674   0.0063226717    0.033313943   0.0045852876    0.055956122   0.0094762673
            350    0.049150847   0.0065149657    0.039599764   0.0051412218    0.060834075   0.0092186485
            355     0.03463378   0.0053872795    0.027122965   0.0041229088    0.044382931   0.0076193039
            360    0.027050709    0.004827483    0.021288622   0.0036739734    0.034471122   0.0067758767
            365    0.026852146   0.0047899762    0.020099961   0.0033666139    0.036577461   0.0078641297
            370    0.026085414   0.0047284724    0.020373799   0.0036281182    0.033692288   0.0065853792
            375    0.025571359   0.0047121109    0.019831691   0.0034615089    0.033465768   0.0071268586
            380    0.021861398   0.0050840277     0.01809811   0.0036251001    0.025654587   0.0081128075
            385    0.031393268   0.0052489251    0.025220526   0.0039894655    0.038612165   0.0076464919
            390    0.022203898   0.0041229542    0.016348976   0.0030552826    0.031004193   0.0058247032
            395    0.016081221   0.0039777906  -0.0049487401    0.027262614    0.022809313    0.009924416
            400    0.023893189   0.0046851814     0.01928002   0.0036986569    0.029087874   0.0067127928
            405    0.017693012   0.0038124094    0.013964764   0.0030022662    0.022311909   0.0050965836
            410    0.012250846   0.0035909808    0.010892618   0.0066090873    0.013096181   0.0037636118
            415    0.010834606   0.0028976562   0.0085555118   0.0024156241    0.013846496   0.0041619167
            420   0.0084222245   0.0027604182   0.0062261418   0.0019007812    0.011789705   0.0044372908
            425   0.0086482679   0.0035642615   0.0029361615   0.0087236443    0.010047661   0.0026944403
            430    0.018380925   0.0037518043    0.013142303   0.0026960209    0.026720059   0.0054952823
            435    0.011605532   0.0029986495   0.0085843307   0.0022290151    0.016093327   0.0041794032
            440    0.011506122   0.0033421342    0.010078425   0.0028461908    0.012558208   0.0045941658
            445   0.0038282874   0.0020256172   0.0027434056   0.0013734603   0.0055082679   0.0031583108
            450   0.0085332481   0.0027932203   0.0067396221   0.0019704553    0.010846752   0.0045054521
            455   0.0084793505    0.002980427   0.0069638582   0.0021447387   0.0099320867   0.0045482852
            460   0.0054686024   0.0025741825   0.0042623031   0.0017690951   0.0071273425   0.0041280365
            465   0.0086227166   0.0028226386   0.0066659647   0.0021020269    0.011332421    0.004047631
            470   0.0053646064   0.0020275347   0.0037748229   0.0014377836   0.0079735433   0.0030457264
            475  0.00076578741   0.0017118974  0.00014809041   0.0028329802   0.0009358661   0.0012501603
            480    0.005359626    0.002296834    0.004168504   0.0016032716   0.0069251771   0.0035565266
            485   0.0045939174   0.0018753651    0.003440059   0.0014381765   0.0062574803   0.0026740674
            490    0.007656378   0.0024210383   0.0051915551   0.0016467851    0.011795059   0.0037452163
            495   0.0053595473   0.0020256172   0.0039466535   0.0014998636    0.007473937   0.0028507308
            500   0.0031216733   0.0021869859   0.0027916928   0.0016514034   0.0032636812   0.0031027336
            505   0.0015312599   0.0015311637   0.0012019292  0.00093072773   0.0019527756   0.0026986516
            510  0.00076566929    0.000765631  0.00056112203  0.00056109398   0.0010702165    0.001070163
            515   0.0025609056   0.0014940968   0.0019728937   0.0011611587   0.0033891732   0.0019683593
            520   0.0015313976   0.0015312522  0.00083336608   0.0019725132   0.0016990355   0.0013602097
            525   0.0022969685   0.0013260891   0.0015847244  0.00091765089   0.0034806693   0.0020176546
            530   0.0030628347   0.0018753571   0.0022019725   0.0028198811   0.0031162008   0.0018077453
            535   0.0030626181   0.0015312325   0.0021466929   0.0010771456   0.0045538977   0.0022890024
            540   0.0015313189   0.0010827518   0.0010224016   0.0007229418   0.0023893898   0.0016895037
            545   0.0022970275    0.001711959   0.0020126181   0.0012123475   0.0023780906   0.0017910454
            550   0.0015313189   0.0010827518   0.0011674409  0.00083128595   0.0020119292   0.0014464336
            555  0.00076482284   0.0013255552   0.0006228739   0.0021153414  0.00089005914   0.0014735889
            560   0.0022968701   0.0013260323    0.001603937  0.00094578607    0.003452874   0.0020766293
            565              0              0              0              0              0              0
            570   0.0015312599   0.0010827101   0.0010289567  0.00073078908    0.002394626   0.0017030582
            575  9.8444882e-08    0.001082724 -0.00099966544   0.0015264808  0.00036492122  0.00089601736
            580   0.0015312796    0.001082724  0.00099783466  0.00070622523   0.0024622835   0.0017428835
