#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       467.0314      1.7007834      365.36857      1.2843223      713.48681      9.9421762
              1      1305.0843      2.8718893      1021.2025      2.1540815      2028.5334       16.07342
              2      1911.2464      3.3958514       1493.306       2.529499       2933.221      19.755117
              3      2246.6094      3.6756457      1756.8072      2.7435216      3433.9172      20.862574
              4      2378.4258      3.7683418      1862.0264      2.8155517      3610.1976      21.438598
              5      2372.9833      3.7784139      1860.2244      2.8292624      3577.5689      20.870343
              6      2269.4876       3.714375      1782.0225      2.8041783      3396.9513      19.597305
              7      2139.5197      3.6143869      1682.6442      2.7609465      3177.5411      18.464149
              8      1977.0327      3.4566636      1556.4256      2.6044738      2942.7109      17.423756
              9      1814.7335      3.3245852      1429.8248      2.5238581      2666.9407      15.958844
             10      1659.9676      3.2049802      1309.6089      2.4215035      2397.0482      15.376757
             11      1513.3116      3.0484133      1195.6294      2.3055967      2187.7397       14.51867
             12      1382.0139      2.9138432      1093.4525       2.211336      1976.7508      13.401096
             13      1260.1815       2.774516      998.34912      2.1217682      1809.3967      12.456485
             14      1150.7358      2.6756174      912.61152      2.0395689      1632.2067      11.645834
             15       1048.944      2.5420334       833.1821       1.958334      1496.7348      10.614009
             16      958.36866      2.4420107      761.69473      1.8674761      1347.0459      10.171384
             17      876.69508      2.3220442        697.223      1.7750248      1227.1313      10.117771
             18      804.72825      2.2356857      640.78736      1.7127526       1125.416      9.6798644
             19      742.33275       2.135909      591.70237      1.6389968      1036.5378      8.2083331
             20      678.33593      2.0514357      541.17297      1.5763115      935.69399      8.3374107
             21      628.18177      1.9604298      501.35046      1.5106424      859.42744      7.0864268
             22      580.68869      1.9032721      464.25722      1.4675857      809.17638      7.6568224
             23      534.19707      1.8105876      427.51277      1.3997614      720.54637      6.2517236
             24      495.89372      1.7511321       396.9906      1.3481169      680.57332      6.6837486
             25      457.85209       1.667629      367.00304      1.3017151      614.14246      5.8291316
             26      427.47956      1.6212819      342.45004      1.2521741      582.62798      5.8595735
             27      396.10882      1.5640108      317.93741      1.2159588      530.35997      5.9446987
             28      367.55957      1.5126409      295.29769      1.1804975      492.77785      4.8855106
             29      345.25639      1.4582161       277.2176      1.1318275      456.98786      5.2333596
             30      321.01169      1.4020123      257.87291      1.0909611      430.70328      4.5968158
             31      302.46169      1.3584364      243.40493      1.0580053      401.97176      4.5949542
             32       284.0883      1.3224473      228.62952      1.0260967      383.04273      4.3290815
             33      263.35889      1.2808592      212.41037      1.0273267      345.24463      4.6891753
             34      248.76887      1.2318813      200.54249     0.96215701      327.29474      4.3992948
             35      234.86964      1.1955243      189.28678     0.93557686      307.95719      3.6230011
             36      219.17435      1.1506538      176.82529        0.90359      285.92434      3.8630509
             37       205.6782      1.1128134      166.19763     0.87707664       271.1544      3.5703654
             38      194.59217      1.0844088       156.8528      0.8464785      255.74402      3.9215363
             39       182.2296      1.0645175      147.14878      0.8285162      239.69019      3.3284373
             40      173.72068      1.0285328      140.48927       0.812057      224.64614      3.5035083
             41      164.70483      1.0043199      133.47186     0.79859444      214.26911      3.0949127
             42      154.98314     0.97315315       125.4894     0.77223686      200.82122      3.1181146
             43      146.01986     0.93887372      118.24406     0.73966176      187.75169      2.9089213
             44      137.60172     0.91237848      111.72252     0.72624403      178.42229      2.6433232
             45      130.21364     0.88532465      105.55226     0.69576907      168.01257      2.4908132
             46      123.30843      0.8673726      100.05934     0.68255985      160.97394      2.4859428
             47      117.67878     0.86108893      95.301881     0.67987931      151.53651      2.9745608
             48      112.27111     0.82034298      91.163149     0.65210169      143.44394      2.5855162
             49      106.57991     0.79917132      86.450533     0.63189749      136.93324      2.1337666
             50      106.57991     0.79917132      86.450533     0.63189749      136.93324      2.1337666
