# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ500
              0      285.74485      2.3122961      206.10803      1.4688805      461.98833      15.336971
              1      1020.2332      4.1989359       742.1048      2.7391895      4435.0272      49.059043
              2      1227.8377      3.9052851      932.91952      2.7212439      2920.6154      24.032809
              3      1271.7458      3.5701499      983.47719      2.5687226      2287.0224      12.559569
              4      1245.0588      3.2833476       972.3302      2.4182544      1965.3693      8.6836547
              5      1198.4915      3.0821662      940.39029       2.302767      1771.2361      6.6654783
              6      1142.7708      2.8705789      899.32668      2.1625419      1624.1256      5.7079793
              7      1095.1353      2.7313299      863.50473      2.0812037      1518.0101      4.8922215
              8      1042.1655      2.6071671      823.37612      1.9962258      1416.9485      4.5632621
              9      988.15726      2.4952959      781.67222       1.908919      1333.1297      4.1233256
             10      947.41789      2.3970823      750.27766      1.8401691      1269.3433      3.8137474
             11      907.81249      2.3156353      719.85859      1.8029567      1206.4925      3.6632164
             12      867.49129      2.2417667      687.97764      1.7497397      1148.7171      3.5667401
             13      830.57727      2.1751935      659.24314      1.6834587      1089.5355      3.3057469
             14      794.83822      2.1035299      631.53431      1.6454002      1041.3749      3.1455401
             15      768.97284      2.0521588      611.10427      1.6030554      1004.2101      2.9494387
             16      737.40826       1.999449       586.0384      1.5643515      960.47667      2.8471559
             17      710.20078      1.9519825      564.89775      1.5238395      922.58447      2.7683415
             18      685.87829      1.9091584       545.9913      1.5102805      888.48045      2.6995515
             19      658.95336       1.861449      524.81593      1.4676429      851.53559      2.6575223
             20      637.88807      1.8206214      507.93404      1.4322577       823.4836      2.5582922
             21      615.30548      1.7790391      489.87009      1.3977172       793.1591      2.5623595
             22      595.99721      1.7554809      474.98659      1.3871166      766.28552      2.4276592
             23      575.23073      1.7112801       458.1736      1.3466562      740.90114      2.3969857
             24      554.23958      1.6741974      441.55299      1.3193265      713.02721      2.2916251
             25      536.24132      1.6620139      427.92851      1.4014062      687.88699      2.2528562
             26      518.63608      1.6115503      413.24886      1.2705282      665.98185      2.1874941
             27      500.55422      1.5847798      398.94892      1.2518979      642.16556      2.1774302
             28       484.2165       1.548087      386.19122      1.2220824      620.38796      2.1675486
             29      469.28741      1.5200901      374.07221      1.1995771      600.74565      2.0860577
             30      453.67774      1.4909372      362.01397      1.1840444      580.16607       2.035136
             31      440.61993      1.4649062      351.65476      1.1609252      563.56206      1.9785718
             32      425.59601      1.4407649      339.52255      1.1408885      544.20712      1.9366926
             33      411.54294      1.4129318      328.40218      1.1211272      526.48835      1.9731114
             34      399.42141      1.4288346      318.91024      1.1396921      510.03128      1.9193391
             35      387.01492      1.3650854       308.9279      1.0816289        494.321      1.8346387
             36      373.63559      1.3363123      298.08414       1.058044      477.45711      1.7922856
             37      362.63401      1.3156585       289.2812      1.0423275      463.22851      1.7564701
             38         350.51      1.2905458      280.07994      1.0253237      446.88473      1.7403985
             39      341.61178      1.2713548      272.66767      1.0055731      435.89903      1.7110039
             40      330.57316      1.2467132      263.83205     0.98784162      421.86456      1.6683054
             41      320.41624      1.2257544      255.72254     0.97270985      408.73371      1.6477595
             42      309.78955      1.2090791      247.37586     0.95670914      394.82679      1.6186092
             43      300.93511      1.1845256      240.28227      0.9375996      383.55885      1.5893262
             44      291.38644      1.1665804      232.65404      0.9300738      371.36408      1.5580236
             45      283.73824      1.1548863      226.52241     0.93938921      361.74392      1.5458229
             46      273.23703      1.1349461      218.13277      0.8975075      348.29818      1.5179129
             47      263.68923      1.1048535      210.61669     0.87496667      335.79973      1.4770599
             48      255.32772      1.0909148       203.6543     0.86474845      325.98927       1.461048
             49      249.99317      1.0723992      199.64547     0.85091101      318.43283      1.4260955
             50      249.99317      1.0723992      199.64547     0.85091101      318.43283      1.4260955
