#         pt_b2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2885.6954      1.6735288      2261.6101      1.2405591      4381.3701       10.38714
              5      2630.4214      1.6116749      2079.0112      1.2155922      3812.8146      8.3235233
             10      1246.9871      1.1836883      994.88121     0.90844954      1710.3941      4.8323425
             15      619.37086     0.85413854      497.68057     0.66194344      826.74486      2.9207045
             20      337.54812     0.63609862      272.63766      0.5038839      441.23515      1.8890716
             25      198.30844      0.4919839      160.91341     0.38788937      254.28505      1.4075942
             30      123.67209     0.38956693      100.72604     0.31027141       157.9174      1.0826916
             35       81.55008      0.3148607      66.557422     0.25014101      103.06691     0.74944338
             40      56.121211     0.26195018      45.847976     0.20842782      70.459263      0.3799469
             45      38.795275     0.21798174      31.812399     0.17875783      48.327451     0.33385906
             50      27.992039     0.19239234      22.885935     0.15324827      35.058759     0.38923482
             55      20.661561     0.16056487      16.906316     0.12999992      25.798396     0.23230902
             60      15.997753     0.13994632      13.048907     0.11184742      19.870139     0.20326878
             65       12.06297     0.12227654      9.8444257    0.097358622      15.112519     0.17434852
             70      9.5596268     0.11612476      7.8062127    0.091308902      12.003078     0.18430839
             75      7.5282556    0.098884672      6.1452316    0.078789457      9.3362977     0.13728732
             80        5.91214    0.087891681      4.8113728     0.06962521      7.3242996     0.14184479
             85      4.8003425    0.077844955      3.9313566    0.062240543      5.9638636     0.10851661
             90      3.9394911    0.070633628      3.1942699    0.056137784      4.9359726    0.094399169
             95      3.1530287    0.063026426      2.5802994    0.050191619      3.9122082    0.085831169
            100      2.7042025    0.062156786      2.2060267    0.048835332      3.3579689    0.087582916
            105       2.269907    0.053014738      1.8459266    0.042082885       2.833374    0.072825357
            110      1.8873206    0.047905921      1.5406607    0.038856123      2.3435416    0.065818134
            115      1.5501775    0.046247212       1.272464    0.036314166      1.9164778    0.065995259
            120      1.3431243    0.042917219      1.1133303    0.033534923      1.6379115    0.062128873
            125      1.0984567    0.038649761     0.91901092    0.031634823      1.3155393    0.061514742
            130     0.96516216    0.037326088     0.79258642    0.029588368       1.198613    0.052222779
            135     0.80492094     0.03304237     0.65938015    0.026084139     0.99814391    0.045227613
            140     0.76017423    0.031976745     0.61318863    0.025083276     0.96277141    0.043510135
            145     0.56928643    0.028490919     0.47203172    0.022205702     0.69070709    0.039858238
            150      0.5658294    0.027675988     0.46132525    0.021898253     0.71472381    0.039713278
            155     0.45083514    0.024872292     0.37018624    0.019850955     0.55497882    0.033928897
            160     0.41378862     0.02373379     0.33788539    0.018574826       0.512001    0.032398337
            165     0.35414264    0.022956779     0.28695062    0.018043276     0.44220598    0.031228311
            170     0.33112813    0.021065464     0.26979394    0.016634018      0.4117673    0.028351129
            175     0.26965889    0.019880313     0.22200352    0.015596509     0.33605481    0.031627129
            180     0.25427468    0.018499488     0.20562888      0.0143784     0.31794774    0.025194662
            185     0.23525219    0.019160372     0.19211935    0.015122781     0.29542447    0.026247946
            190     0.21301067    0.016907768     0.17291389    0.013277881     0.26658082    0.023034875
            195     0.19870545    0.016928736     0.16461464     0.01320101     0.24229063    0.023696087
            200     0.16674642    0.016359246     0.13563837    0.012743226     0.21041565    0.022892548
            205     0.14853947    0.014531548     0.12208868    0.011511431     0.18254797    0.019683567
            210     0.13766224     0.01409212     0.11374409    0.011345526     0.16790258    0.019170042
            215     0.12217543     0.01257436    0.097788681   0.0099342934     0.15693094    0.016912375
            220     0.10051594    0.012947736     0.08544315    0.010430893     0.11774264    0.017633954
            225      0.1173472    0.012753328    0.094757677   0.0098586387     0.14854823    0.017922103
            230    0.079235059    0.011636282    0.064208348    0.008870776    0.098918407    0.016190921
            235    0.073182283    0.010667248    0.060396279   0.0081456305    0.089338543    0.014810414
            240    0.072579074    0.010806982    0.059907126   0.0083056712    0.088379528    0.015165558
            245    0.065090984     0.01378049    0.051400905   0.0099536945    0.084089291    0.019975363
            250    0.062307087    0.010255373    0.054334193   0.0081866333    0.070603579    0.014304533
            255    0.047543543   0.0083497708    0.038508095   0.0063866886    0.059731417    0.011575543
            260     0.04296874   0.0086480058    0.035049055   0.0066951884    0.052801851    0.011972211
            265    0.052414213   0.0083233563    0.041891956   0.0063795174    0.066711102    0.011489072
            270    0.041844586   0.0069288421    0.034637047   0.0056094892    0.050409291   0.0089564683
            275    0.042112598   0.0073483534    0.033272284   0.0057758881    0.054666693   0.0097758311
            280    0.040975708   0.0076656909    0.033118669   0.0060103757    0.051758642    0.010357651
            285     0.03731124   0.0076138191    0.031340138   0.0059770654    0.044172305     0.01035045
            290    0.036530079   0.0077392527    0.030171693   0.0058447529    0.044270531    0.010882431
            295    0.030150807   0.0073895275    0.023418209    0.005644665    0.040484586    0.010293633
            300    0.020551516    0.005135459    0.018707756   0.0047156462    0.021414488    0.006600453
            305    0.024738602   0.0067345637    0.019796673   0.0052094546    0.031560689    0.009211592
            310    0.018994213   0.0070533134    0.016675335   0.0055485171    0.021804902   0.0095340596
            315    0.022551437    0.007195845    0.017179508   0.0052230879    0.030384547    0.010384852
            320    0.018363976   0.0055680701    0.015008228   0.0042992987    0.022769941   0.0075531681
            325    0.014449193   0.0047884761    0.010967717    0.003683725    0.019825158   0.0065694931
            330    0.012862185   0.0045088553    0.010430295   0.0034362511    0.016100197   0.0062984646
            335   0.0072682088   0.0042757247   0.0059901968   0.0032575916   0.0089446457   0.0059585567
            340    0.021515059   0.0063723888    0.017723189   0.0050072627    0.026962067   0.0086846489
            345    0.018951043   0.0066801123    0.015390925   0.0050947573    0.024132107   0.0092449295
            350    0.020416634   0.0054200126    0.015937893   0.0041749775    0.026878346   0.0073610604
            355     0.01500563   0.0053747055    0.012415433   0.0042968798    0.018935138   0.0073640305
            360   0.0074911812    0.002929518   0.0063976378   0.0021279986   0.0084370472   0.0050677072
            365   0.0078311024   0.0041021428   0.0071385513   0.0050673884    0.007911378   0.0042804703
            370    0.011489921   0.0035230823   0.0090505512   0.0028008465    0.014997835   0.0046127265
            375    0.012200413   0.0041211597    0.010285551   0.0034781394    0.014714842   0.0053951404
            380   0.0085011022   0.0043221404   0.0076889369   0.0033941723   0.0090556101   0.0060335933
            385    0.017106851   0.0049493784    0.014347106   0.0041055471    0.020816358   0.0063078133
            390   0.0048295472   0.0019829479   0.0040247441   0.0016974188   0.0055189232   0.0024997237
            395   0.0037132874   0.0033889091   0.0027162797   0.0044089895   0.0039673426    0.002906866
            400   0.0054446456   0.0022807358       0.003945   0.0016757186   0.0077384251   0.0032091069
            405    0.001857067   0.0043558803   0.0014358071   0.0035348122   0.0020111223   0.0058081497
            410    0.011730059    0.003804422   0.0091886417   0.0029554743    0.015340079   0.0050767705
            415   0.0048240748   0.0024669303   0.0035702953   0.0018351217   0.0067662795   0.0034469079
            420  0.00099582676    0.003244997  0.00030887795   0.0045689172   0.0012271456   0.0024407079
            425   0.0069299213   0.0029464684   0.0053894882   0.0023133094   0.0092061418   0.0039222488
            430    0.001624685   0.0011499434   0.0013658268  0.00097470581   0.0018773426   0.0013336082
            435   0.0033112599   0.0019344313    0.002674311   0.0015697418   0.0041664961   0.0024255729
            440   0.0069707085   0.0026946974    0.005298248   0.0020582436   0.0094274215    0.003676066
            445   0.0059737992   0.0034800258   0.0049450392   0.0027393218   0.0074213385   0.0046566538
            450   0.0013940157   0.0028142327   0.0010568307   0.0020714787   0.0019866729   0.0040492812
            455   0.0088830315    0.003027311    0.006855748   0.0023545977    0.011764587   0.0040040573
            460   0.0020862992   0.0015264527   0.0016361811   0.0011808188      0.0026825   0.0020177826
            465  0.00046718503   0.0018041345  0.00040966532   0.0020041694  0.00052043315   0.0023721448
            470 -0.00076568897  0.00076565068  -0.0012767913   0.0012767275 -0.00046732283  0.00046729946
            475   0.0031011024   0.0018212826   0.0024940551   0.0014889751   0.0039129725   0.0022689598
            480    0.003717126   0.0022238211    0.002808071   0.0017066953   0.0051365552   0.0030491563
            485  0.00081137815   0.0024517602  0.00058076772   0.0033492668  0.00090464557   0.0022709215
            490   0.0024895276   0.0017610359   0.0019655905   0.0013899971   0.0032420474   0.0023022553
            495   0.0022470472   0.0022469349   0.0021204724   0.0021203664   0.0025555119   0.0025553842
            500   0.0022470472   0.0022469349   0.0021204724   0.0021203664   0.0025555119   0.0025553842
