# total-CMS-1bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      3309.1005      4.3058977      2687.6756      3.4010353      4245.7972      12.809822
              1      3309.1005      4.3058977      2687.6756      3.4010353      4245.7972      12.809822
