# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      350.50912      2.5102713      274.89454      1.9071115      455.38011      3.5386388
     0.31415927      380.78991      2.3317701      298.39014      1.8113649      495.25217      3.2025878
     0.62831853      394.94208      2.4869187      309.50606      1.9163355      513.51723      3.4683046
      0.9424778       419.1066      2.4647523      327.24989      1.9024425      547.49565      3.4255139
      1.2566371      466.80611      2.6552592      363.03775      2.0332765       613.1642      3.7069067
      1.5707963      558.29538      2.8891226      433.29109      2.2094067      735.26956      4.0361908
      1.8849556      709.89137      3.3983697      551.58523      2.7081063      933.27599      4.9468756
      2.1991149      969.64378      4.0658557      753.71463      3.0592247      1273.6767      5.7900121
      2.5132741       1394.242      4.4800637      1090.9354      3.4804128      1814.7765       6.282533
      2.8274334       1959.865      5.4064331      1548.0797      4.2250454      2517.4857      7.6002294
      3.1415927       1959.865      5.4064331      1548.0797      4.2250454      2517.4857      7.6002294
