#    pt_j1-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      226.85101      1.9774358      163.94448      1.2667439      342.32054       13.34189
              1       1074.924      4.3247887      783.83088      2.8209469       4502.395      50.689053
              2      1290.6269      3.9703756      987.83624      2.7883108       2927.407      19.401271
              3      1286.2637      3.5309871      1001.3546      2.5667133      2200.7997      10.488554
              4      1247.9418      3.2549594      978.17393      2.4105901      1917.3356      7.4045614
              5      1182.5809      3.0084805      932.06075      2.2779742      1712.5288      6.3076878
              6      1129.0805      2.8243856      891.37059      2.1382881       1586.283      5.4382347
              7      1073.3773      2.6814819       849.1502      2.0419217      1476.6286      4.5535736
              8      1016.6927      2.5566329      805.14883      1.9575226      1381.2695      4.4018343
              9      970.64089      2.4557134      769.94427       1.888561      1303.0338       4.237678
             10      922.90431      2.3582714      732.52537      1.8193046      1229.8792      3.6750727
             11      886.14561      2.2967337      704.55864      1.7958279      1171.7213      3.6479118
             12      849.90136      2.2090863      675.51865      1.7149875      1116.9281       3.291678
             13      815.67344      2.1435785      649.07698      1.6778213      1069.8142      3.2624294
             14      785.56176      2.0885313      625.11368      1.6305775      1026.7761      2.9973408
             15       751.1972      2.0272808      598.27406      1.5887076      978.87098      2.9033075
             16      727.17368      1.9880689      579.81696       1.563555      943.82866       2.805377
             17      703.35783      1.9399446      560.57499      1.5274887      911.92739      2.7252011
             18      676.05381        1.91323      539.28998      1.5820773      876.19067      2.8285999
             19      654.87343      1.8721971       522.4343      1.4885441      845.88746      2.7030066
             20      632.39304      1.8146956      504.50128      1.4266654      816.43162      2.6283022
             21      611.45625      1.7818825      488.25441      1.4104447      786.57929      2.4929862
             22      593.65069      1.7485699      474.27967      1.3830794      762.21769       2.485749
             23      576.05898      1.7116897      459.67542      1.3504506      740.63159      2.3462388
             24      556.26172      1.6983187      444.01444      1.3518264       714.9362      2.3288957
             25      536.93305       1.646731      428.69327      1.2992099      689.10985      2.2262133
             26      522.78541      1.6219285      417.98115      1.2918963      669.61845      2.2197078
             27      506.89607      1.5951859      405.07521       1.273517      649.38698      2.1576152
             28      487.28384      1.5588699       389.5597      1.2368024      623.59682      2.1399571
             29      473.35775      1.6069442      378.12583      1.2675751      606.30068      2.1826608
             30      457.58312      1.5021605      365.77304      1.1891283      584.98491      2.0124039
             31      444.63526      1.4744252      355.59048      1.1743851      567.97283      1.9871344
             32      431.34508      1.4534644      344.75769      1.1522189      551.55482      2.0218333
             33      418.03378      1.4302271      334.46548       1.137142      533.08381      1.9331875
             34      403.02179      1.4009418      322.41243      1.1129722      514.03646      1.9169121
             35      390.92347      1.3770718      312.72809      1.0965569      498.64184      1.8525566
             36      380.97785      1.3563327      304.73589      1.0817867      485.84556      1.8272638
             37      369.59944      1.3329412      295.43569      1.0557535      471.59933      1.7874014
             38      357.95943      1.3121787      286.46345      1.0569275      456.25727      1.7695824
             39      347.28624      1.2887273       277.5813      1.0213446      443.10157      1.7296574
             40      337.89849      1.2754641      270.30449      1.0113726      430.56831       1.739866
             41      328.15933      1.2517115      262.54463     0.99314196      418.39326      1.6762403
             42      321.05434       1.235064      256.52857     0.97840408      409.88029      1.6553448
             43      309.96419        1.21023      248.07146      0.9605414      394.77368      1.6216244
             44      300.04905      1.1903901      240.08122     0.94422401      382.17685       1.590415
             45      291.16529      1.1698006      232.88255      0.9312188       370.8241      1.5550994
             46      281.57487      1.1509911      225.46601     0.93831342      358.07731      1.5437922
             47      273.37548      1.1642111      218.89523     0.96601354      347.71806      1.6007338
             48      267.11928      1.1179202      213.65864      0.8905655      340.37182       1.490711
             49      258.26826      1.0980876      206.63171     0.87544783      329.23367      1.5365117
             50      258.26826      1.0980876      206.63171     0.87544783      329.23367      1.5365117
