#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      3036.8295      1.6978061      2396.1892      1.2676729       4494.777      9.9162429
             15      1820.6238      1.3867271      1437.4453      1.0432521       2655.692      7.1813077
             20      1014.5955      1.0738219      803.21683     0.81649609      1447.4933      5.0806027
             25      621.33427     0.85555811      493.20485     0.65470072      873.88557      3.7670644
             30      406.53706      0.7027762      323.64989     0.54216898      562.96399      2.8697569
             35       282.9988     0.58751314      225.67795      0.4519778      389.79614      2.1838255
             40      205.65818     0.50650659      164.41291     0.39106552      281.51052      1.7932668
             45       153.7918     0.43377242      123.20937     0.33680787      205.85782      1.4526256
             50      118.26183     0.39438928      94.914048     0.30659517      157.22966      1.3345924
             55      94.193853     0.34650051      75.690153     0.27080345       126.9433       1.141478
             60      75.200927     0.30789246      60.575701     0.24119428      98.886334      1.0344698
             65      61.681401     0.27880271      49.713859     0.21801905      80.607299     0.85987228
             70      51.254004     0.25521158      41.358997     0.20094934      66.230971     0.80831395
             75      42.419393     0.23033584      34.302398     0.18641861      56.127244     0.75290718
             80      35.822354     0.21214885      28.991404     0.16730102      46.623215      0.5903541
             85      30.649717     0.19564191      24.820901     0.15462801      39.470192     0.55587609
             90      26.591882     0.18992066      21.617237     0.17953326      34.230068     0.45100966
             95      22.887115     0.17182753      18.567785     0.13507571      30.004549     0.44138166
            100      22.887115     0.17182753      18.567785     0.13507571      30.004549     0.44138166
