#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100       478.1503     0.78445901      370.64623      0.5719504       776.1329      4.9831944
            105      492.90751     0.79247098      383.82158     0.58469302      773.12934      4.8744333
            110      471.41127     0.77194561      368.03262     0.57061126      730.56568      4.4534649
            115      432.31068     0.74040727       338.7159     0.54940949      648.51059      4.1267946
            120      392.36864     0.70145143      308.14763     0.52243137      585.56804      3.7540014
            125      354.58658     0.66664252      279.14376     0.50170274      520.81648      3.2627841
            130      317.42269     0.62820511      250.42817     0.47260322      460.64392      3.1026762
            135      287.58954     0.59974241      227.27818     0.45505623      419.21632      2.7704251
            140      260.79207     0.56785846      206.44241     0.43001969      371.15214       2.499887
            145      237.04611     0.53870428      187.96325     0.40988288      334.92224      2.3955916
            150      216.27221     0.51430108      171.62376     0.39247798      305.80493      2.1250749
            155      198.20319     0.49099605      157.46857     0.37515749      274.99026      1.9606727
            160      181.57466     0.46925537      144.47161     0.36045018      250.65636      1.8659826
            165      167.51468     0.44963878      133.42397     0.34555918      231.32519       1.856952
            170      155.24622     0.42891453      123.79005     0.33248097      206.23126      1.6581918
            175      144.22053     0.41959335      115.15045     0.32421588      196.74949      1.5025288
            180      133.23114     0.39759812      106.45868     0.30982333      181.04048      1.3980945
            185      124.45525     0.38216464      99.534665      0.2979365       168.8267      1.3359099
            190      116.73627     0.37039074      93.323771     0.29131074      157.35627      1.2448796
            195      109.03545     0.35922751      87.194837     0.28136405      146.30979      1.2488399
            200      101.72097     0.34476086      81.495433     0.26859551      135.81056        1.09369
            205      96.442092     0.33484854      77.269841     0.26097766      127.29331      1.0638556
            210      91.075896     0.32518382      72.954123     0.25441766      120.44361     0.96220388
            215      85.306619     0.31586265      68.426632     0.24610076      113.27503      0.9979578
            220      81.336481     0.30576662      65.212828     0.24096551      107.43628      0.9205324
            225      76.381998     0.29571719      61.325033     0.23248153      100.95427      0.8546207
            230      72.273332     0.28765713      58.080666     0.22614954      96.113628     0.85405936
            235      69.162624     0.28918272      55.509303     0.22601467      91.711681     0.78348801
            240      65.485788     0.27756942        52.6029      0.2181458      86.342139     0.69223884
            245      62.017355      0.2657287      49.884087     0.21007459      82.240346     0.70423795
            250      62.017355      0.2657287      49.884087     0.21007459      82.240346     0.70423795
