# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj60
              0      1328.8554       4.498326      1059.5252      3.5250423      1694.9925      6.0812077
     0.31415927      1430.8118      4.4993273      1143.4839      3.6389911      1821.1992      6.3418475
     0.62831853      1496.4893      4.6540263      1192.5897      3.6729136      1909.7707      6.2671328
      0.9424778      1595.8492       4.750505      1269.0225      3.7543226      2042.2684      6.4121831
      1.2566371      1777.0869       5.047967      1410.8299      3.9803046      2279.2389      6.8459918
      1.5707963      2113.5224      5.5012817      1675.5863      4.3223292      2715.5134      7.4637775
      1.8849556      2635.9216      6.2077037      2089.5533      4.9504394      3386.0433      8.5582115
      2.1991149      3442.0757      7.1568655      2731.2977      5.5872837       4414.846      9.7857801
      2.5132741      4568.3118      8.0435482      3638.8822      6.4802037      5827.7944      11.100548
      2.8274334      5710.4648      9.0905583      4566.8097      7.1949337      7241.8772      12.438965
      3.1415927      5710.4648      9.0905583      4566.8097      7.1949337      7241.8772      12.438965
