#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      25971.966      20.832783      20910.633      16.167702      35178.687      88.218339
     0.31415927      19812.428      18.442289      15761.281      14.119391      27812.346       83.21497
     0.62831853      15624.203      16.690767       12359.47      12.684366      22218.579      77.250158
      0.9424778      13003.531      15.415488      10264.609      11.742355      18738.217      75.119406
      1.2566371      11315.545      14.556984      8914.0091      10.996433      16606.866      71.552124
      1.5707963      10243.155      14.054766      8067.1482      10.745607      15004.163      71.513346
      1.8849556      9587.9093      13.648623      7546.2841      10.283889      14229.008      69.945861
      2.1991149      9234.7079      13.588456      7270.1265      10.258232      13828.747      69.665355
      2.5132741      9046.0471      13.516731      7131.2474      10.176674      13363.954      68.928676
      2.8274334      9042.9942      13.573327      7135.2239       10.19981       13475.33      67.868155
      3.1415927      9042.9942      13.573327      7135.2239       10.19981       13475.33      67.868155
