#y_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5     0.61464764     0.31246747     0.41552657     0.19316392      1.3300217      2.1671853
           -4.9     0.36088189      1.0874262     -0.1787313       1.736921        2.53162      6.4200684
           -4.8      3.7075374     0.51543149      2.6513974     0.34576728      6.2247195      1.2941437
           -4.7      12.008401      1.0092286       8.649348     0.66972245      25.282945      11.044882
           -4.6      27.257928      1.4465427      20.091339     0.99914835      64.071693      9.7054597
           -4.5      57.076521      2.1085371      42.823678      1.4652074      114.56827      14.983687
           -4.4      109.17963      2.8985671      81.819104       2.024736      212.90397      19.394134
           -4.3      189.15468      3.8720541      142.69714      2.7129746      328.88679      28.438924
           -4.2      304.81453      4.8857683      231.10413      3.4370204      574.78095      35.792855
           -4.1       465.1208      5.9419574      353.50905      4.2458648      860.87283      37.449571
             -4      654.63762      6.9802065      499.65989       4.988694      1133.1546      45.443934
           -3.9      879.46982      8.0576268      675.85538      5.8127286      1386.6165      54.113506
           -3.8      1126.9922      9.0912907      868.81657      6.5799775      1824.1389      56.666415
           -3.7      1420.3053      10.048197      1096.3519      7.3312753      2271.7532      61.635416
           -3.6      1717.2955      11.090384      1331.7373      8.1428647       2757.131      61.520813
           -3.5      2060.5473      11.996847      1599.7356      8.7898886      3324.9016      68.099365
           -3.4      2408.1003      12.853083      1872.3197      9.4577676      3758.0346      72.269633
           -3.3      2732.3055      13.541709      2131.1845      10.013608      4202.0994      70.173384
           -3.2      3067.4481      14.323675      2396.4791      10.641625       4630.745      76.786558
           -3.1      3420.3624      15.144257      2678.7752      11.308297      5228.7278      73.829743
             -3      3736.0116      15.733689      2928.3107      11.673892      5550.0572      79.189034
           -2.9      4022.2478      16.196203      3162.2702      12.109198        5894.54      82.625146
           -2.8      4295.6318      16.647846      3380.6964      12.531139      6296.6767      80.822984
           -2.7      4601.3125      17.123172       3624.555       12.87609       6871.397      84.671425
           -2.6      4903.9133      17.863308      3867.2594      13.575506      7110.9303      83.770257
           -2.5      5166.6428      17.961664      4082.4092      13.806634      7528.9561      80.795217
           -2.4      5365.5463      18.220521      4241.8869      13.796053      7787.5982      81.568024
           -2.3      5580.6494      18.657994      4414.3452      14.138478      7961.8363      86.636822
           -2.2      5744.2571      18.806442      4549.3271       14.33793      8343.6105      86.956869
           -2.1      5959.5638      19.060291      4721.8047      14.542408      8413.8414      90.754365
             -2      6109.3819      19.245494      4849.2449      14.712645      8759.8002      85.815518
           -1.9      6255.3731      19.438102      4967.4358      15.102337      8901.0558      83.922003
           -1.8      6430.0424       19.58349      5109.1854      15.017449      9064.8349      91.175626
           -1.7      6497.9595      19.647408       5162.006      15.138285      9202.8725      83.605204
           -1.6      6603.3301      19.787526      5253.8526      15.294162       9330.813      86.388952
           -1.5      6682.8053      20.041683      5320.0723      15.370787      9353.0544      91.817173
           -1.4      6827.2021      20.137107      5436.7062      15.462715      9674.0271      88.897574
           -1.3      6861.1419      20.104727      5463.3548      15.486241      9530.0212      91.009654
           -1.2      6942.1758      20.220723      5532.4188      15.692448      9694.2231      89.517874
           -1.1      6937.3297        20.1751      5524.6384      15.585144      9851.1786      84.210169
             -1      7010.5579      20.270611      5586.8187      15.651412      9723.3921       87.58326
           -0.9      7049.4321       20.31131      5615.7564      15.673942      9777.5525      84.320033
           -0.8       7058.747      20.254544      5620.1659       15.68872      9890.0635      82.580773
           -0.7      7109.5805      20.461418      5662.3874      15.724406      10042.536      86.006643
           -0.6       7120.749      20.385649      5679.5047      16.115686      9832.2435      85.939242
           -0.5      7174.1159      20.540534      5715.4282      15.953342      10093.105      90.849859
           -0.4      7171.5173      20.535746      5722.4402      15.992458      10048.928      83.985115
           -0.3      7163.0337      20.493227      5705.7803       15.79316       10013.39      86.890284
           -0.2      7196.9544      20.513889      5732.1984      15.803983      10187.288      89.202982
