# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2221.9108      11.798629      1800.8476      9.3598306      2798.8475      18.014792
            0.1      983.16425      7.8943334      796.08338      6.1886367      1266.4976      20.564338
            0.2      471.37647      5.5040245      383.06703       4.343985      583.21482      9.7477716
            0.3      259.62688      4.0818002      211.74701      3.2386529      335.36248       7.488123
            0.4      156.92645      3.2544713      128.94773      2.5787876      200.87356      7.8495222
            0.5      97.297366      2.5814349      79.971648       2.053871      119.47519      4.1733345
            0.6      56.918568      1.9599383      46.795136       1.561184      70.640531       2.939724
            0.7      31.451439      1.5363395      26.190914      1.2188318      38.790303      2.1895227
            0.8      11.398694     0.65708561      9.5029085      0.5205527      13.532571     0.91586166
              1      11.398694     0.65708561      9.5029085      0.5205527      13.532571     0.91586166
