#pt_bbZ-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.18470041    0.012637828     0.14895244   0.0099660013     0.22740702    0.017539063
            420     0.18806419    0.012883874     0.14972101    0.010079461     0.23644828    0.018420389
            425     0.15893063    0.011901108     0.13012482   0.0092558212     0.19088014    0.018351665
            430     0.17487425    0.012460044      0.1395548   0.0096617219     0.21923742    0.017665664
            435     0.16614516    0.012074298     0.12846209   0.0090265818     0.21813008    0.017165385
            440     0.13596378    0.011063961     0.10757159   0.0085265662     0.17222994    0.015643598
            445     0.12636372    0.010861819    0.099839055   0.0082378401     0.16069487    0.015277148
            450     0.11121163    0.010337689    0.088840725   0.0078062469     0.13896077    0.015351682
            455     0.12306835    0.010299175    0.095749409   0.0078302502     0.15965783    0.014312582
            460     0.10163882      0.0101342    0.080810531   0.0075522522     0.12779468    0.014795712
            465     0.10308268    0.010466343    0.079967612   0.0076345494     0.13428031    0.015475502
            470    0.097619448    0.010010863    0.074755413   0.0072366133     0.12968909    0.014725315
            475    0.080521023   0.0089488635    0.066158681   0.0068447457    0.095664648    0.013062108
            480    0.091409429   0.0090719603    0.070157012    0.006716724      0.1211028    0.013011265
            485    0.081119212   0.0091362395    0.060455341   0.0066053006     0.11143628    0.013352582
            490    0.086790295   0.0083798818    0.068758347   0.0065679151     0.10966743    0.012554286
            495    0.077273307   0.0080927538    0.056013549    0.049211067    0.079961539    0.018136787
            500     0.06262559   0.0076152401    0.050283838   0.0057821532    0.077388925    0.010746588
            505    0.073738346   0.0082448145    0.058101969   0.0062944053    0.094027238    0.011534123
            510     0.06524809   0.0075365281    0.051348819   0.0058449749    0.083344987    0.010359578
            515    0.064979291   0.0074231725    0.049198543   0.0055235321    0.087723307    0.010520477
            520    0.059113484    0.007563579    0.046276358   0.0056692388     0.07571937    0.010870993
            525     0.10451707      0.0375688    0.081961634    0.028148051      0.1360862    0.051556895
            530    0.045851594   0.0066347041    0.036359153   0.0050229749    0.057507104    0.009476963
            535     0.05137059   0.0068016119    0.042658307    0.005949483    0.060433496    0.010361823
            540    0.043125964   0.0061584465    0.034181536   0.0046523495    0.054336457   0.0089143144
            545    0.044200984   0.0065227279    0.035008673   0.0047685015    0.055511594   0.0097467395
            550    0.035855669   0.0058260116    0.028810079   0.0043285393    0.044502047   0.0088591194
            555    0.051640058    0.015376159    0.040482017    0.010278398     0.06623677    0.024245791
            560    0.055267736   0.0068410385    0.041147992   0.0050713697    0.076140473   0.0096890246
            565    0.026552165   0.0050561495    0.020876994   0.0036586968    0.033969961   0.0076098225
            570    0.039117815   0.0059936479    0.030169823   0.0047650842    0.051493347   0.0090969321
            575    0.032181909   0.0054171754    0.025956752   0.0042102446    0.039395492   0.0073447309
            580     0.03457061   0.0057066087    0.027022441   0.0042590912    0.044525453   0.0081964247
            585    0.032279193   0.0053224773    0.026144921    0.004054648    0.039215846   0.0078326949
            590    0.028737402   0.0049722465    0.022255925   0.0038281076    0.037403406   0.0068171948
            595    0.022440512   0.0048221298    0.018478858   0.0035993791    0.026761339   0.0074164542
            600    0.025269842   0.0046575861    0.023342068   0.0098692505    0.025410413   0.0048331459
            605    0.018877244   0.0041619104     0.01503437   0.0032582356    0.023820941   0.0057179583
            610    0.019308307   0.0041562853    0.016787717   0.0033601653    0.020799236   0.0060122527
            615    0.019534271   0.0044816513    0.015814547   0.0034103344    0.023841929   0.0062026248
            620    0.016856457   0.0039062798    0.012584724   0.0028486226    0.023143327   0.0056145115
            625    0.019305216   0.0038631799    0.014319823   0.0028820475    0.026681339   0.0053867736
            630    0.015313681   0.0037508869    0.011837539   0.0028090083    0.019944016    0.005294581
