# y_bbZ-mbbZ750        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5     0.61464764     0.31246747     0.41552657     0.19316392      1.3300217      2.1671853
           -4.9     0.36088189      1.0874262     -0.1787313       1.736921        2.53162      6.4200684
           -4.8      3.7075374     0.51543149      2.6513974     0.34576728      6.2247195      1.2941437
           -4.7      12.008401      1.0092286       8.649348     0.66972245      25.282945      11.044882
           -4.6      27.257928      1.4465427      20.091339     0.99914835      64.071693      9.7054597
           -4.5      57.076521      2.1085371      42.823678      1.4652074      114.56827      14.983687
           -4.4      109.17963      2.8985671      81.819104       2.024736      212.90397      19.394134
           -4.3      189.15468      3.8720541      142.69714      2.7129746      328.88679      28.438924
           -4.2      304.81453      4.8857683      231.10413      3.4370204      574.78095      35.792855
           -4.1       465.1208      5.9419574      353.50905      4.2458648      860.87283      37.449571
             -4      654.63762      6.9802065      499.65989       4.988694      1133.1546      45.443934
           -3.9      879.46982      8.0576268      675.85538      5.8127286      1386.6165      54.113506
           -3.8      1126.9922      9.0912907      868.81657      6.5799775      1824.1389      56.666415
           -3.7      1420.3053      10.048197      1096.3519      7.3312753      2271.7532      61.635416
           -3.6      1717.2955      11.090384      1331.7373      8.1428647       2757.131      61.520813
           -3.5      2060.5473      11.996847      1599.7356      8.7898886      3324.9016      68.099365
           -3.4      2408.1003      12.853083      1872.3197      9.4577676      3758.0346      72.269633
           -3.3      2732.3055      13.541709      2131.1845      10.013608      4202.0994      70.173384
           -3.2      3067.4481      14.323675      2396.4791      10.641625       4630.745      76.786558
           -3.1      3420.3624      15.144257      2678.7752      11.308297      5228.7278      73.829743
             -3      3736.0116      15.733689      2928.3107      11.673892      5550.0572      79.189034
           -2.9      4022.2478      16.196203      3162.2702      12.109198        5894.54      82.625146
           -2.8      4295.6318      16.647846      3380.6964      12.531139      6296.6767      80.822984
           -2.7      4601.1853      17.122852      3624.4464      12.875799      6871.2303      84.671314
           -2.6      4903.6176      17.862847      3867.0188       13.57511      7110.5388      83.770083
           -2.5      5164.5083      17.958577        4080.67      13.803956      7526.1709      80.794029
           -2.4      5361.9231      18.214791       4238.903      13.790944      7782.9626      81.565852
           -2.3      5572.8809      18.643254      4408.0229      14.126129      7951.8149      86.631038
           -2.2       5732.125      18.788133      4539.3752      14.321958      8328.1363        86.9501
           -2.1      5939.4393      19.029803       4705.189      14.515508       8388.122       90.74337
             -2      6085.0355      19.208402      4829.2067      14.680283       8728.994      85.801428
           -1.9      6219.2667      19.384365      4937.8601      15.056604      8854.7371      83.900689
           -1.8      6383.8218      19.515764      5070.9721      14.958752      9006.4217      91.150551
           -1.7      6437.8062      19.549567      5112.4365      15.054981      9126.3821      83.562143
           -1.6      6534.5974      19.689323      5197.2191      15.209576      9243.7512      86.351006
           -1.5      6604.1455      19.857345      5255.2765      15.221054      9252.9612      91.742437
           -1.4      6735.2894      20.000434      5360.7808       15.34412      9556.0325      88.806715
           -1.3      6762.7937      19.936053      5382.0938       15.34344      9404.1407      90.925027
           -1.2      6833.0101      20.052583      5442.2566      15.549904      9556.2653      89.448475
           -1.1      6818.7277      19.946831      5427.3967      15.396297      9699.9972      84.109262
             -1      6895.7896      20.100407      5491.8128      15.502314      9579.4805      87.516097
           -0.9      6927.0486      20.118379      5514.5508      15.506806       9624.242      84.240596
           -0.8      6936.5681      20.070596      5519.4032      15.532282      9736.2443      82.504086
           -0.7       6983.119      20.283587      5557.8884      15.570745       9885.316      85.925836
           -0.6      6992.7371      20.184771       5573.992      15.948626      9669.9067      85.850427
           -0.5      7038.5522      20.333965      5603.5771       15.77978      9922.8919        90.7699
           -0.4      7040.0678      20.321429      5614.1601      15.808762      9884.5717      83.870305
           -0.3      7029.8616      20.294842      5596.3253      15.625943       9834.337      86.348334
           -0.2      7065.5511      20.305911       5623.329      15.615963      10022.418      89.115979
