# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0       16.11317     0.41397612      13.119948     0.32717336      20.079857     0.56726591
            0.6       55.00424     0.74323903      44.642348     0.58907037      69.145433      1.5887598
            1.2      105.54021      1.0680159      86.163582     0.84414358      130.98086      1.7039789
            1.8      162.08315      1.3374888       131.7442      1.0488515      204.04186      3.4599875
            2.4      204.13214      2.0720443      165.51249      1.6366684      259.00102      4.8793532
            2.7      232.20256      2.2098321      188.49919      1.7645563       289.4389      3.3587097
              3      149.06081      1.8186779      120.96051      1.4352404       192.5125      6.2275232
            3.3      53.415106     0.66957663      42.909767     0.53619402       68.88952      1.3145467
              4      12.244387     0.26973937      9.6905796     0.21100782       15.92649     0.40846616
              5      12.244387     0.26973937      9.6905796     0.21100782       15.92649     0.40846616
