#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
            420     0.23633041    0.015413736     0.19023373    0.011984336     0.29414091     0.02128501
            425     0.24424968    0.015460553     0.19457183    0.012120003     0.30861105    0.020880434
            430     0.23824212    0.015193363     0.18936057     0.01202435      0.3033866    0.020668846
            435     0.20249498    0.014199014     0.15972519    0.010918526     0.25975185    0.019601642
            440     0.19409589     0.01377038      0.1526347    0.010522944     0.24966061     0.01891503
            445     0.16606988    0.013237807     0.15145675    0.021232152     0.16961437    0.014999141
            450     0.16467677    0.012696107     0.13147478   0.0098391477     0.20785819    0.017438471
            455     0.17313764    0.013105929     0.13680519   0.0098925056     0.22065669    0.018810702
            460     0.16347667    0.012730111     0.12784437   0.0097561108     0.21169649    0.017430908
            465     0.13899191    0.011917692     0.10866624   0.0090997306      0.1808275    0.016459481
            470     0.13579344    0.011568084     0.11201886    0.010093804     0.16388498    0.017624922
            475     0.12052033    0.011533554    0.097759982   0.0089549245     0.14861036    0.016003197
            480     0.13818342    0.011600907     0.10948841   0.0091859229     0.17590601    0.015879416
            485     0.11977114    0.010511707    0.093880531   0.0081154606     0.15472028    0.014400731
            490     0.11932185    0.011143238    0.095575171   0.0086083369     0.14933251    0.015296447
            495     0.10228898   0.0096601683     0.07970809   0.0074688762      0.1329149    0.013117777
            500     0.10111915    0.010731758    0.082264941   0.0083157791     0.12423669    0.015216498
            505    0.095447145   0.0095026357    0.076387578   0.0074530907     0.11901097    0.012723559
            510     0.10256104   0.0099166094    0.081066949   0.0077038203     0.13083478    0.013426168
            515    0.083751377   0.0090543977    0.065849882   0.0070338358     0.10789519    0.012251439
            520    0.080643582   0.0083738572    0.064031811   0.0070459764     0.10230014    0.012156808
            525    0.088585039   0.0090311932    0.068592815   0.0068939173     0.11670482     0.01241593
            530    0.083051181   0.0092814503    0.066020315   0.0071509659     0.10508161    0.012682309
            535    0.069407224   0.0082177468    0.052596457   0.0061916697    0.093722224    0.011314716
            540    0.063075925   0.0079405999    0.050041421   0.0061196474    0.080316496      0.0109866
            545     0.06399624   0.0077750553    0.049237067   0.0059221005    0.084324783    0.010796908
            550    0.065075118   0.0079802722    0.052668183    0.006228942    0.080253563    0.010908544
            555    0.076918878    0.010310661    0.059254193   0.0075851538     0.10155362     0.01462643
            560    0.057426279   0.0078957227     0.04636941   0.0061169498    0.070941594    0.010655638
            565    0.058530748   0.0072226934    0.045285846   0.0056439207    0.077187145   0.0098254727
            570    0.051910768   0.0069419867    0.040740335   0.0053190245    0.066593583    0.009428456
            575    0.063738563   0.0077588238    0.049185315   0.0058868145    0.083829685    0.010636852
            580    0.038717953   0.0061263741    0.029523169   0.0044867475     0.05168065   0.0088560039
            585    0.054140236   0.0076906155    0.042397421   0.0057205801    0.070099213    0.011749873
            590     0.05072687   0.0068914939    0.040685352   0.0052393654    0.062519921    0.010251534
            595    0.037471142      0.0060192    0.029800071   0.0045449584    0.047434547   0.0085111734
            600    0.034736102   0.0060314454    0.027747795   0.0046767163    0.043678405   0.0081349297
            605    0.033704232   0.0061078128    0.026311339     0.00467601    0.043983307   0.0084658877
            610    0.034648858   0.0055166063     0.02649122   0.0042523222    0.046303051   0.0074356251
            615    0.029008051   0.0052643965    0.022933799   0.0040581276    0.036811949   0.0071576058
            620    0.034742736   0.0058491973    0.027123307   0.0045149679    0.045039313   0.0079706001
            625    0.027708031   0.0059470687    0.022596831   0.0044503414    0.033786851   0.0088464387
            630    0.030743405   0.0053127025    0.023221831   0.0039938227     0.04152122   0.0073284995
            635    0.032352579   0.0057476514    0.025844724   0.0044769634    0.040665689   0.0077894117
            640    0.028667224   0.0054774397    0.022545748   0.0041458067    0.036450059   0.0076783292
            645    0.024437972   0.0059053426    0.020256535   0.0045128459    0.029545512   0.0088312313
            650    0.023303583   0.0045975642    0.017758031   0.0034585188    0.031235315   0.0063837792
            655    0.013280413   0.0036187869    0.010008484   0.0025508314     0.01801376     0.00546207
            660    0.027998169   0.0051895473    0.021910118   0.0039644294    0.036055177   0.0070897286
            665    0.038852283     0.01515853    0.029310079    0.010343463    0.052451535    0.023084041
            670     0.02361876   0.0054601135    0.018784843   0.0040708694    0.030004685   0.0078083415
            675    0.021762894   0.0046113705    0.017187028   0.0035269418    0.027702795   0.0063869697
