#    pt_ep-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16.182233     0.32313994        12.7484     0.24329631      24.167468      1.6913008
              1      47.195551     0.56062182       37.38197     0.45251444      68.145516      2.8222468
              2      77.516803     0.70589203      61.235951     0.54235126      117.21217      3.2988122
              3      108.12391     0.83626315      85.440457     0.63398229      159.70617       3.971913
              4      139.35537      0.9470063      109.92522      0.7205665      208.98738      4.7380975
              5      169.55305       1.073502      134.07442     0.82717925      247.56382      5.4753394
              6      201.25762      1.1435713      159.02961     0.86596327      299.73575      6.0578087
              7      233.47328      1.2184471      184.49521     0.92358244      350.26642      5.8038905
              8      266.13893      1.3019716       210.1425     0.98173721      389.33661      6.5033474
              9      300.07205       1.381852      237.26582      1.0508704       428.1856      7.4238577
             10      331.49255      1.4483229      261.87598      1.0966538      494.25556      7.3107611
             11      365.88446      1.5201113       289.2256      1.1524472      541.19412      7.2724577
             12      402.44509      1.5908085      318.26208      1.2107349      589.52978      8.0384471
             13       434.0681      1.6764275      343.32964      1.2739118      632.73233      8.2940868
             14       471.3937      1.7415004      372.94854      1.3140504      683.02475      8.6080736
             15      511.84478       1.792694      404.90668      1.3636345      745.38013      8.0148012
             16      540.62075      1.8490293      427.71466      1.3986097      793.52784      9.1795448
             17      580.95614       1.911079      459.70237      1.4700341       847.0488      9.0847747
             18      618.67028      1.9839041       489.5349      1.5578961      911.70869      9.9324171
             19       651.5286      2.0353398      515.45087       1.542711      955.81332      10.091458
             20      690.10531      2.0923915      546.10354      1.5854782      1014.4206      10.641782
             21      727.69748      2.1406343      575.34378      1.6343092      1070.6536      10.832853
             22      760.96852      2.1906198      601.23846      1.6621686      1111.7022      11.178819
             23      796.96445       2.251366      629.70428      1.6945217      1168.8358      11.163408
             24      828.04251      2.2964056      654.40021      1.7461165       1200.749      11.463988
             25      862.46426      2.3967488      680.99762      1.8195489      1267.0075      11.910367
             26      892.53802      2.3814737      704.93861      1.8029945      1306.1075      11.486805
             27      923.30472      2.4328986      728.45672      1.8362557      1365.5591      12.090599
             28      950.04536      2.4756485      749.29179      1.8672006      1419.2297      13.057573
             29      977.70131      2.4980521      770.70549      1.8838366      1471.3122      12.509307
             30       999.3269      2.5328408      787.31858      1.9031268      1499.9185      12.769983
             31      1018.2542      2.5616349      802.59489      1.9315625      1531.5763      13.463118
             32      1032.0957      2.5978982      812.93812      1.9519163      1558.8397      13.482685
             33      1040.2491      2.6085166      819.19606      1.9555444      1570.4189      13.460186
             34      1043.7984      2.6095202       821.1767      1.9565699      1595.8258      14.126308
             35      1035.3351       2.627222      814.82531      1.9663867      1581.4631      14.137094
             36      1030.5388      2.6070552      810.56412       1.942867       1567.041      14.563049
             37      1010.5236      2.5938451      795.30714      1.9468079      1520.8308      14.165179
